,index,common_entity,entity1,entity3,entity2
44,44,D. Mertens,Napoli,14.0,Belgium
45,45,M. Hummels,Borussia Dortmund,15.0,Germany
46,46,T. Alderweireld,Tottenham Hotspur,4.0,Belgium
47,47,Jordi Alba,FC Barcelona,18.0,Spain
48,48,Thiago,FC Bayern München,6.0,Spain
49,49,K. Navas,Real Madrid CF,1.0,Costa Rica
50,50,L. Insigne,Napoli,24.0,Italy
51,51,H. Son,Tottenham Hotspur,7.0,Korea Republic
52,52,Casemiro,Real Madrid CF,14.0,Brazil
53,53,A. Laporte,Manchester City,14.0,France
54,54,Bernardo Silva,Manchester City,20.0,Portugal
55,55,I. Rakitić,FC Barcelona,4.0,Croatia
56,56,M. Pjanić,Juventus,5.0,Bosnia and Herzegovina
57,57,Á. Di María,Paris Saint-Germain,11.0,Argentina
58,58,L. Bonucci,Juventus,19.0,Italy
59,59,W. Szczęsny,Juventus,1.0,Poland
60,60,Coutinho,FC Bayern München,10.0,Brazil
61,61,Parejo,Valencia CF,10.0,Spain
62,62,T. Müller,FC Bayern München,25.0,Germany
63,63,C. Immobile,Lazio,17.0,Italy
64,64,A. Lacazette,Arsenal,9.0,France
65,65,Isco,Real Madrid CF,22.0,Spain
66,66,M. Verratti,Paris Saint-Germain,6.0,Italy
67,67,Roberto Firmino,Liverpool,9.0,Brazil
68,68,S. Umtiti,FC Barcelona,23.0,France
69,69,Marquinhos,Paris Saint-Germain,5.0,Brazil
70,70,J. Kimmich,FC Bayern München,32.0,Germany
71,71,L. Sané,Manchester City,19.0,Germany
72,72,M. Škriniar,Intermilan,37.0,Slovakia
73,73,Z. Ibrahimović,LA Galaxy,9.0,Sweden
74,74,A. Gómez,Atalanta,10.0,Argentina
75,75,G. Higuaín,Juventus,21.0,Argentina
76,76,B. Matuidi,Juventus,14.0,France
77,77,G. Bale,Real Madrid CF,11.0,Wales
78,78,Marcelo,Real Madrid CF,12.0,Brazil
79,79,A. Witsel,Borussia Dortmund,28.0,Belgium
80,80,P. Gulácsi,RB Leipzig,1.0,Hungary
81,81,R. Bürki,Borussia Dortmund,1.0,Switzerland
82,82,Alex Sandro,Juventus,12.0,Brazil
83,83,R. Lukaku,Intermilan,9.0,Belgium
84,84,Iago Aspas,RC Celta de Vigo,10.0,Spain
85,85,K. Manolas,Napoli,44.0,Greece
86,86,Koke,Atlético de Madrid,6.0,Spain
87,87,Neto,FC Barcelona,13.0,Brazil
88,88,D. Alaba,FC Bayern München,27.0,Austria
89,89,J. Rodríguez,Real Madrid CF,16.0,Colombia
90,90,A. Lopes,Olympique Lyonnais,1.0,Portugal
91,91,Allan,Napoli,5.0,Brazil
92,92,M. Icardi,Intermilan,36.0,Argentina
93,93,R. Varane,Real Madrid CF,5.0,France
94,94,Carvajal,Real Madrid CF,2.0,Spain
95,95,Saúl,Atlético de Madrid,8.0,Spain
96,96,H. Ziyech,Ajax,22.0,Morocco
97,97,Fabinho,Liverpool,3.0,Brazil
98,98,N. Süle,FC Bayern München,4.0,Germany
99,99,Bruno Fernandes,Sporting CP,8.0,Portugal
100,100,A. Robertson,Liverpool,26.0,Scotland
101,101,J. Giménez,Atlético de Madrid,2.0,Uruguay
102,102,C. Lenglet,FC Barcelona,15.0,France
103,103,S. Milinković-Savić,Lazio,21.0,Serbia
104,104,F. de Jong,FC Barcelona,21.0,Netherlands
105,105,G. Donnarumma,AC Milan,99.0,Italy
106,106,Rodri,Manchester City,16.0,Spain
107,107,M. de Ligt,Juventus,4.0,Netherlands
108,108,Pepe,FC Porto,3.0,Portugal
109,109,João Moutinho,Wolverhampton Wanderers,28.0,Portugal
110,110,S. Ruffier,AS Saint-Étienne,16.0,France
111,111,S. Sirigu,Torino F.C.,39.0,Italy
112,112,M. Hamšík,Dalian Professional Football Club,17.0,Slovakia
113,113,Sokratis,Arsenal,5.0,Greece
114,114,Lucas Leiva,Lazio,6.0,Brazil
115,115,M. Özil,Arsenal,10.0,Germany
116,116,Javi Martínez,FC Bayern München,8.0,Spain
117,117,Y. Sommer,Borussia Mönchengladbach,1.0,Switzerland
118,118,E. Džeko,Roma,9.0,Bosnia and Herzegovina
119,119,G. Wijnaldum,Liverpool,5.0,Netherlands
120,120,I. Perišić,FC Bayern München,14.0,Croatia
121,121,M. Mandžukić,Juventus,17.0,Croatia
122,122,A. Vidal,FC Barcelona,22.0,Chile
123,123,J. Boateng,FC Bayern München,17.0,Germany
124,124,Azpilicueta,Chelsea,28.0,Spain
125,125,José Callejón,Napoli,7.0,Spain
126,126,İ. Gündoğan,Manchester City,8.0,Germany
127,127,Paulinho,Guangzhou FC,8.0,Brazil
128,128,K. Walker,Manchester City,2.0,England
129,129,Canales,Real Betis Balompié,10.0,Spain
130,130,Douglas Costa,Juventus,11.0,Brazil
131,131,B. Leno,Arsenal,1.0,Germany
132,132,Pizzi,SL Benfica,21.0,Portugal
133,133,S. de Vrij,Intermilan,6.0,Netherlands
134,134,Luis Alberto,Lazio,10.0,Spain
135,135,D. Tadić,Ajax,10.0,Serbia
136,136,J. Iličić,Atalanta,72.0,Slovenia
137,137,Felipe Anderson,West Ham United,8.0,Brazil
138,138,M. Depay,Olympique Lyonnais,11.0,Netherlands
139,139,R. Mahrez,Manchester City,26.0,Algeria
140,140,E. Višća,İstanbul Başakşehir FK,7.0,Bosnia and Herzegovina
141,141,S. Gnabry,FC Bayern München,22.0,Germany
142,142,Kepa,Chelsea,1.0,Spain
143,143,Felipe,Atlético de Madrid,18.0,Brazil
144,144,L. Goretzka,FC Bayern München,18.0,Germany
145,145,João Cancelo,Manchester City,27.0,Portugal
146,146,D. Alli,Tottenham Hotspur,20.0,England
147,147,J. Brandt,Borussia Dortmund,19.0,Germany
148,148,Alex Telles,FC Porto,13.0,Brazil
149,149,K. Coman,FC Bayern München,29.0,France
150,150,N. Fekir,Real Betis Balompié,8.0,France
151,151,L. Hernández,FC Bayern München,21.0,France
152,152,Arthur,FC Barcelona,8.0,Brazil
153,153,O. Dembélé,FC Barcelona,11.0,France
154,154,J. Sancho,Borussia Dortmund,7.0,England
155,155,K. Havertz,Bayer 04 Leverkusen,29.0,Germany
156,156,J. Pavlenka,SV Werder Bremen,1.0,Czech Republic
157,157,Iniesta,Vissel Kobe,8.0,Spain
158,158,G. Buffon,Juventus,77.0,Italy
159,159,Casillas,FC Porto,1.0,Spain
160,160,R. Jarstein,Hertha BSC,22.0,Norway
161,161,V. Kompany,RSC Anderlecht,4.0,Belgium
162,162,Raúl Albiol,Villarreal CF,3.0,Spain
163,163,F. Quagliarella,U.C. Sampdoria,27.0,Italy
164,164,K. Schmeichel,Leicester City,1.0,Denmark
165,165,Falcao,AS Monaco,9.0,Colombia
166,166,Miranda,Jiangsu FC,13.0,Brazil
167,167,C. Vela,Los Angeles FC,10.0,Mexico
168,168,E. Garay,Valencia CF,24.0,Argentina
169,169,Rui Patrício,Wolverhampton Wanderers,11.0,Portugal
170,170,R. Nainggolan,Cagliari,4.0,Belgium
171,171,É. Banega,Sevilla FC,10.0,Argentina
172,172,Diego Costa,Atlético de Madrid,19.0,Spain
173,173,S. Khedira,Juventus,6.0,Germany
174,174,David Luiz,Arsenal,23.0,Brazil
175,175,M. Kruse,Fenerbahçe SK,10.0,Germany
176,176,J. Henderson,Liverpool,14.0,England
177,177,G. Sigurðsson,Everton,10.0,Iceland
178,178,A. Ramsey,Juventus,8.0,Wales
179,179,Oscar,Shanghai Port FC,8.0,Brazil
180,180,K. Trapp,Eintracht Frankfurt,1.0,Germany
181,181,Illarramendi,Real Sociedad,4.0,Spain
182,182,D. Blind,Ajax,17.0,Netherlands
183,183,L. Hrádecký,Bayer 04 Leverkusen,1.0,Finland
184,184,N. Otamendi,Manchester City,30.0,Argentina
185,185,K. Casteels,VfL Wolfsburg,1.0,Belgium
186,186,J. Cuadrado,Juventus,16.0,Colombia
187,187,I. Gueye,Paris Saint-Germain,27.0,Senegal
188,188,K. Kampl,RB Leipzig,44.0,Slovenia
189,189,Bartra,Real Betis Balompié,5.0,Spain
190,190,Rodrigo,Valencia CF,19.0,Spain
191,191,W. Zaha,Crystal Palace,11.0,Côte d'Ivoire
192,192,Pablo Sarabia,Paris Saint-Germain,19.0,Spain
193,193,C. Aránguiz,Bayer 04 Leverkusen,20.0,Chile
194,194,W. Ben Yedder,AS Monaco,22.0,France
195,195,F. Acerbi,Lazio,33.0,Italy
196,196,J. Cillessen,Valencia CF,13.0,Netherlands
197,197,Paco Alcácer,Borussia Dortmund,9.0,Spain
198,198,L. Digne,Everton,12.0,France
199,199,Danilo Pereira,FC Porto,22.0,Portugal
200,200,Lucas Moura,Tottenham Hotspur,27.0,Brazil
201,201,Morata,Atlético de Madrid,9.0,Spain
202,202,J. Draxler,Paris Saint-Germain,23.0,Germany
203,203,J. Stones,Manchester City,5.0,England
204,204,J. Pickford,Everton,1.0,England
205,205,F. Thauvin,Olympique de Marseille,26.0,France
206,206,A. Milik,Napoli,99.0,Poland
207,207,Jorginho,Chelsea,5.0,Italy
208,208,S. Haller,West Ham United,22.0,France
209,209,William Carvalho,Real Betis Balompié,14.0,Portugal
210,210,Y. Carrasco,Dalian Professional Football Club,10.0,Belgium
211,211,A. Rabiot,Juventus,25.0,France
212,212,Grimaldo,SL Benfica,3.0,Spain
213,213,A. Romagnoli,AC Milan,13.0,Italy
214,214,A. Martial,Manchester United,9.0,France
215,215,T. Werner,RB Leipzig,11.0,Germany
216,216,F. Bernardeschi,Juventus,33.0,Italy
217,217,Anderson Talisca,Guangzhou FC,9.0,Brazil
218,218,J. Tah,Bayer 04 Leverkusen,4.0,Germany
219,219,T. Lemar,Atlético de Madrid,11.0,France
220,220,A. Kramarić,TSG Hoffenheim,27.0,Croatia
221,221,D. Djené,Getafe CF,2.0,Togo
222,222,C. Tolisso,FC Bayern München,24.0,France
223,223,D. Sánchez,Tottenham Hotspur,6.0,Colombia
224,224,Marco Asensio,Real Madrid CF,20.0,Spain
225,225,Pau López,Roma,12.0,Spain
226,226,Borja Iglesias,Real Betis Balompié,9.0,Spain
227,227,Gonçalo Guedes,Valencia CF,7.0,Portugal
228,228,N. Pépé,Arsenal,19.0,Côte d'Ivoire
229,229,G. Lo Celso,Tottenham Hotspur,18.0,Argentina
230,230,Fabián,Napoli,8.0,Spain
231,231,M. Akanji,Borussia Dortmund,16.0,Switzerland
232,232,Louri Beretta,Clube Atlético Mineiro,9.0,Brazil
233,233,Josué Chiamulera,Grêmio,3.0,Brazil
234,234,Ronaldo Cabrais,Grêmio,10.0,Brazil
235,235,T. Alexander-Arnold,Liverpool,66.0,England
236,236,M. Rashford,Manchester United,10.0,England
237,237,L. Jović,Real Madrid CF,18.0,Serbia
238,238,Pepe Reina,AC Milan,25.0,Spain
239,239,D. De Rossi,Boca Juniors,16.0,Italy
240,240,Aduriz,Athletic Club de Bilbao,20.0,Spain
241,241,Jesús Navas,Sevilla FC,16.0,Spain
242,242,Santi Cazorla,Villarreal CF,8.0,Spain
243,243,H. Herrera,Atlético de Madrid,16.0,Mexico
244,244,L. Biglia,AC Milan,21.0,Argentina
245,245,Ł. Fabiański,West Ham United,1.0,Poland
246,246,E. Viviano,Sporting CP,58.0,Italy
247,247,Juan Mata,Manchester United,8.0,Spain
248,248,O. Giroud,Chelsea,18.0,France
249,249,Sergio Asenjo,Villarreal CF,1.0,Spain
250,250,S. Kjær,Sevilla FC,4.0,Denmark
251,251,Willian,Chelsea,10.0,Brazil
252,252,V. Ćorluka,FC Lokomotiv Moscow,14.0,Croatia
253,253,M. Arnautović,Shanghai Port FC,7.0,Austria
254,254,A. Sánchez,Manchester United,7.0,Chile
255,255,Giuliano,Al Nassr,77.0,Brazil
256,256,A. Kolarov,Roma,11.0,Serbia
257,257,M. Balotelli,Brescia,45.0,Italy
258,258,Marlos,Shakhtar Donetsk,11.0,Ukraine
259,259,Taison,Shakhtar Donetsk,7.0,Brazil
260,260,B. Dost,Sporting CP,28.0,Netherlands
261,261,G. Bonaventura,AC Milan,5.0,Italy
262,262,Pedro,Chelsea,11.0,Spain
263,263,Muniain,Athletic Club de Bilbao,10.0,Spain
264,264,L. de Jong,Sevilla FC,19.0,Netherlands
265,265,S. El Shaarawy,Shanghai Shenhua FC,22.0,Italy
266,266,Ander Herrera,Paris Saint-Germain,21.0,Spain
267,267,M. Götze,Borussia Dortmund,10.0,Germany
268,268,A. Areola,Paris Saint-Germain,16.0,France
269,269,T. Delaney,Borussia Dortmund,6.0,Denmark
270,270,X. Shaqiri,Liverpool,23.0,Switzerland
271,271,Mário Fernandes,PFC CSKA Moscow,2.0,Russia
272,272,O. Baumann,TSG Hoffenheim,1.0,Germany
273,273,Willian José,Real Sociedad,9.0,Brazil
274,274,J. Matip,Liverpool,32.0,Cameroon
275,275,S. Coates,Sporting CP,4.0,Uruguay
276,276,M. Perin,Juventus,22.0,Italy
277,277,C. Bakambu,Beijing Guoan FC,17.0,Congo DR
278,278,Sergi Roberto,FC Barcelona,20.0,Spain
279,279,N. Schulz,Borussia Dortmund,14.0,Germany
280,280,K. Volland,Bayer 04 Leverkusen,31.0,Germany
281,281,Nacho Fernández,Real Madrid CF,6.0,Spain
282,282,B. Lecomte,AS Monaco,40.0,France
283,283,Gabriel Paulista,Valencia CF,5.0,Brazil
284,284,T. Meunier,Paris Saint-Germain,12.0,Belgium
285,285,J. Roussillon,VfL Wolfsburg,15.0,France
286,286,Suso,AC Milan,8.0,Spain
287,287,K. Bellarabi,Bayer 04 Leverkusen,38.0,Germany
288,288,H. Maguire,Manchester United,5.0,England
289,289,T. Hazard,Borussia Dortmund,23.0,Belgium
290,290,S. Savić,Atlético de Madrid,15.0,Montenegro
291,291,A. Rüdiger,Chelsea,2.0,Germany
292,292,M. Kovačić,Chelsea,17.0,Croatia
293,293,J. Lingard,Manchester United,14.0,England
294,294,E. Forsberg,RB Leipzig,10.0,Sweden
295,295,F. Kostić,Eintracht Frankfurt,10.0,Serbia
296,296,A. Belotti,Torino F.C.,9.0,Italy
297,297,Q. Promes,Ajax,11.0,Netherlands
298,298,J. Vardy,Leicester City,9.0,England
299,299,Pacheco,Deportivo Alavés,1.0,Spain
300,300,T. Partey,Atlético de Madrid,5.0,Ghana
301,301,Ricardo Pereira,Leicester City,21.0,Portugal
302,302,N. Tagliafico,Ajax,31.0,Argentina
303,303,D. Rugani,Juventus,24.0,Italy
304,304,K. Demirbay,Bayer 04 Leverkusen,10.0,Germany
305,305,T. Strakosha,Lazio,1.0,Albania
306,306,Á. Correa,Atlético de Madrid,10.0,Argentina
307,307,D. Zapata,Atalanta,91.0,Colombia
308,308,Iñaki Williams,Athletic Club de Bilbao,9.0,Spain
309,309,M. Politano,Intermilan,16.0,Italy
310,310,Morales,Levante Unión Deportiva,11.0,Spain
311,311,Rafa,SL Benfica,27.0,Portugal
312,312,N. Keïta,Liverpool,8.0,Guinea
313,313,H. Lozano,PSV,11.0,Mexico
314,314,David Soria,Getafe CF,13.0,Spain
315,315,L. Torreira,Arsenal,11.0,Uruguay
316,316,Rúben Neves,Wolverhampton Wanderers,8.0,Portugal
317,317,P. Kimpembe,Paris Saint-Germain,3.0,France
318,318,S. Bergwijn,PSV,10.0,Netherlands
319,319,A. Onana,Ajax,24.0,Cameroon
320,320,Gelson Martins,AS Monaco,11.0,Portugal
321,321,Nélson Semedo,FC Barcelona,2.0,Portugal
322,322,L. Bailey,Bayer 04 Leverkusen,9.0,Jamaica
323,323,Oyarzabal,Real Sociedad,10.0,Spain
324,324,Raphaelito Anjos,Grêmio,1.0,Brazil
325,325,Juiano Mestres,Cruzeiro,3.0,Brazil
326,326,Rosberto Dourado,Clube Atlético Mineiro,6.0,Brazil
327,327,Gabriel Jesus,Manchester City,9.0,Brazil
328,330,Quaresma,Beşiktaş JK,7.0,Portugal
329,331,J. Mathieu,Sporting CP,22.0,France
330,332,J. Milner,Liverpool,7.0,England
331,333,L. López,Racing Club,15.0,Argentina
332,334,B. Gomis,Al Hilal,18.0,France
333,335,M. Dembélé,Guangzhou City,8.0,Belgium
334,336,Cesc Fàbregas,AS Monaco,4.0,Spain
335,337,A. Consigli,U.S. Sassuolo Calcio,47.0,Italy
336,338,L. Koscielny,FC Girondins de Bordeaux,6.0,France
337,339,Jardel,SL Benfica,33.0,Brazil
338,340,Renato Augusto,Beijing Guoan FC,5.0,Brazil
339,341,José Fonte,LOSC Lille,6.0,Portugal
340,342,A. Guardado,Real Betis Balompié,18.0,Mexico
341,343,Ł. Piszczek,Borussia Dortmund,26.0,Poland
342,344,K. Gameiro,Valencia CF,9.0,France
343,345,D. Payet,Olympique de Marseille,10.0,France
344,346,Beñat,Athletic Club de Bilbao,7.0,Spain
345,347,Adán,Atlético de Madrid,1.0,Spain
346,348,B. Höwedes,FC Lokomotiv Moscow,5.0,Germany
347,349,F. Muslera,Galatasaray SK,1.0,Uruguay
348,350,M. Sissoko,Tottenham Hotspur,17.0,France
349,351,M. Parolo,Lazio,16.0,Italy
350,352,Fernando,Sevilla FC,25.0,Brazil
351,353,N. Gaitán,Chicago Fire Football Club,20.0,Argentina
352,354,S. Giovinco,Al Hilal,9.0,Italy
353,355,Luiz Gustavo,Olympique de Marseille,19.0,Brazil
354,356,N. Nkoulou,Torino F.C.,33.0,Cameroon
355,357,A. Ljajić,Beşiktaş JK,22.0,Serbia
356,358,N. Matić,Manchester United,31.0,Serbia
357,359,Marcos Alonso,Chelsea,3.0,Spain
358,360,H. Mkhitaryan,Arsenal,7.0,Armenia
359,361,J. Corona,FC Porto,17.0,Mexico
360,362,André Almeida,SL Benfica,34.0,Portugal
361,363,G. Xhaka,Arsenal,34.0,Switzerland
362,364,Jordi Masip,Real Valladolid CF,1.0,Spain
363,365,T. Horn,1. FC Köln,1.0,Germany
364,366,Rafinha,FC Barcelona,12.0,Brazil
365,367,G. Kondogbia,Valencia CF,6.0,Central African Republic
366,368,A. Florenzi,Roma,24.0,Italy
367,369,T. Vaclík,Sevilla FC,1.0,Czech Republic
368,370,E. Zahavi,Guangzhou City,7.0,Israel
369,371,W. Orban,RB Leipzig,4.0,Hungary
370,372,M. Sabitzer,RB Leipzig,7.0,Austria
371,373,A. Cragno,Cagliari,28.0,Italy
372,374,L. Shaw,Manchester United,23.0,England
373,375,L. Milivojević,Crystal Palace,4.0,Serbia
374,376,A. Plea,Borussia Mönchengladbach,14.0,France
375,377,F. Vázquez,Sevilla FC,22.0,Argentina
376,378,Y. Poulsen,RB Leipzig,9.0,Denmark
377,379,R. Fraser,AFC Bournemouth,24.0,Scotland
378,380,M. GIntermilan,Borussia Mönchengladbach,28.0,Germany
379,381,J. Martínez,Atlanta United,7.0,Venezuela
380,382,Gerard Moreno,Villarreal CF,7.0,Spain
381,383,A. Doucouré,Watford,16.0,France
382,384,E. Can,Juventus,23.0,Germany
383,385,Lucas Vázquez,Real Madrid CF,17.0,Spain
384,386,R. Guerreiro,Borussia Dortmund,13.0,Portugal
385,387,P. Zieliński,Napoli,20.0,Poland
386,388,Gayà,Valencia CF,14.0,Spain
387,389,João Mário,Intermilan,15.0,Portugal
388,390,Thiago Mendes,Olympique Lyonnais,12.0,Brazil
389,391,G. Rulli,Montpellier Hérault SC,1.0,Argentina
390,392,A. Izzo,Torino F.C.,5.0,Italy
391,393,Dani García,Athletic Club de Bilbao,14.0,Spain
392,394,M. Brozović,Intermilan,77.0,Croatia
393,395,D. van de Beek,Ajax,6.0,Netherlands
394,396,V. Lindelöf,Manchester United,2.0,Sweden
395,397,Dani Ceballos,Arsenal,8.0,Spain
396,398,W. Weghorst,VfL Wolfsburg,9.0,Netherlands
397,399,M. Acuña,Sporting CP,9.0,Argentina
398,400,Pablo Fornals,West Ham United,18.0,Spain
399,401,W. Ndidi,Leicester City,25.0,Nigeria
400,402,Laure Santeiro,Fluminense,10.0,Brazil
401,403,L. Martínez,Intermilan,10.0,Argentina
402,404,H. Aouar,Olympique Lyonnais,8.0,France
403,405,T. Ndombele,Tottenham Hotspur,28.0,France
404,406,David Neres,Ajax,7.0,Brazil
405,407,Éder Militão,Real Madrid CF,3.0,Brazil
406,412,Joaquín,Real Betis Balompié,17.0,Spain
407,413,W. Rooney,D.C. United,9.0,England
408,414,Moyá,Real Sociedad,13.0,Spain
409,415,Nani,Orlando City Soccer Club,17.0,Portugal
410,416,J. Mascherano,Hebei FC,14.0,Argentina
411,417,Diego López,RCD Espanyol de Barcelona,13.0,Spain
412,418,I. Akinfeev,PFC CSKA Moscow,35.0,Russia
413,419,A. Gignac,Tigres U.A.N.L.,10.0,France
414,420,Jorge Molina,Getafe CF,19.0,Spain
415,421,B. Costil,FC Girondins de Bordeaux,1.0,France
416,422,L. Perrin,AS Saint-Étienne,24.0,France
417,423,B. Foster,Watford,26.0,England
418,424,T. Heaton,Aston Villa,1.0,England
419,425,S. Mandanda,Olympique de Marseille,30.0,France
420,426,Charles,SD Eibar,19.0,Brazil
421,427,Ş. Radu,Lazio,26.0,Romania
422,428,D. Rose,Tottenham Hotspur,3.0,England
423,429,E. Lamela,Tottenham Hotspur,11.0,Argentina
424,430,Raúl García,Athletic Club de Bilbao,22.0,Spain
425,431,Naldo,AS Monaco,27.0,Brazil
426,432,D. Wass,Valencia CF,18.0,Denmark
427,433,S. Romero,Manchester United,22.0,Argentina
428,434,Pedro León,SD Eibar,21.0,Spain
429,435,I. Piatti,Club de Foot Montréal,10.0,Argentina
430,436,D. Ospina,Napoli,25.0,Colombia
431,437,M. Díaz,Racing Club,21.0,Chile
432,438,M. Valbuena,Olympiacos CFP,28.0,France
433,439,L. Bender,Bayer 04 Leverkusen,8.0,Germany
434,440,S. Bender,Bayer 04 Leverkusen,5.0,Germany
435,441,E. Capoue,Watford,29.0,France
436,442,Antunes,Getafe CF,3.0,Portugal
437,443,R. Fährmann,Norwich City,21.0,Germany
438,444,F. Fazio,Roma,20.0,Argentina
439,445,M. Hasebe,Eintracht Frankfurt,20.0,Japan
440,446,Sidnei,Real Betis Balompié,12.0,Brazil
441,447,D. Perotti,Roma,8.0,Argentina
442,448,L. Pratto,River Plate,27.0,Argentina
443,449,S. Feghouli,Galatasaray SK,89.0,Algeria
444,450,K. Trippier,Atlético de Madrid,23.0,England
445,451,M. Musacchio,AC Milan,22.0,Argentina
446,452,Y. M'Vila,AS Saint-Étienne,6.0,France
447,453,L. Stindl,Borussia Mönchengladbach,13.0,Germany
448,454,F. Smolov,FC Lokomotiv Moscow,9.0,Russia
449,455,S. Nzonzi,Galatasaray SK,4.0,France
450,456,M. Lanzini,West Ham United,10.0,Argentina
451,457,F. Coquelin,Valencia CF,17.0,France
452,458,Hulk,Shanghai Port FC,10.0,Brazil
453,459,K. Strootman,Olympique de Marseille,12.0,Netherlands
454,460,C. Smalling,Manchester United,12.0,England
455,461,K. Glik,AS Monaco,25.0,Poland
456,462,J. Zoet,PSV,1.0,Netherlands
457,463,E. Salvio,Boca Juniors,11.0,Argentina
458,464,D. Subašić,AS Monaco,1.0,Croatia
459,465,K. Vogt,TSG Hoffenheim,22.0,Germany
460,466,R. Pereyra,Watford,37.0,Argentina
461,467,R. Rodríguez,AC Milan,45.0,Switzerland
462,468,Y. Belhanda,Galatasaray SK,10.0,Morocco
463,469,Sergi Enrich,SD Eibar,9.0,Spain
464,470,D. Lovren,Liverpool,6.0,Croatia
465,471,S. Verdi,Napoli,9.0,Italy
466,472,C. Wilson,AFC Bournemouth,13.0,England
467,473,J. Guilavogui,VfL Wolfsburg,23.0,France
468,474,A. Oxlade-Chamberlain,Liverpool,15.0,England
469,475,M. Ryan,Brighton & Hove Albion,1.0,Australia
470,476,L. Muriel,Atalanta,9.0,Colombia
471,477,D. Vida,Beşiktaş JK,24.0,Croatia
472,478,Ibai Gómez,Athletic Club de Bilbao,19.0,Spain
473,479,Sergi Gómez,Sevilla FC,3.0,Spain
474,480,Campaña,Levante Unión Deportiva,24.0,Spain
475,481,H. Vanaken,Club Brugge KV,20.0,Belgium
476,482,S. Berghuis,Feyenoord,10.0,Netherlands
477,483,Cristian Tello,Real Betis Balompié,11.0,Spain
478,484,Ismaily,Shakhtar Donetsk,31.0,Brazil
479,485,A. Mandi,Real Betis Balompié,23.0,Algeria
480,486,F. Ghoulam,Napoli,31.0,Algeria
481,487,M. HIntermilanegger,Eintracht Frankfurt,13.0,Austria
482,488,S. Sané,FC Schalke 04,26.0,Senegal
483,489,Deulofeu,Watford,7.0,Spain
484,490,Sergi Darder,RCD Espanyol de Barcelona,10.0,Spain
485,491,S. Zaza,Torino F.C.,11.0,Italy
486,492,D. Klaassen,SV Werder Bremen,30.0,Netherlands
487,493,P. Kadeřábek,TSG Hoffenheim,3.0,Czech Republic
488,494,Héctor Bellerín,Arsenal,2.0,Spain
489,495,Š. Vrsaljko,Atlético de Madrid,24.0,Croatia
490,496,Pozuelo,Toronto FC,10.0,Spain
491,497,C. Kramer,Borussia Mönchengladbach,6.0,Germany
492,498,K. Zouma,Chelsea,15.0,France
493,499,Iñigo Martínez,Athletic Club de Bilbao,4.0,Spain
494,500,R. Jiménez,Wolverhampton Wanderers,9.0,Mexico
495,501,B. Mendy,Manchester City,22.0,France
496,502,Bernat,Paris Saint-Germain,14.0,Spain
497,503,Portu,Real Sociedad,7.0,Spain
498,504,M. Nastasić,FC Schalke 04,5.0,Serbia
499,505,Bernard,Everton,20.0,Brazil
500,506,E. Andrada,Boca Juniors,1.0,Argentina
