,player_name,club_name,city_name
70,J. Kimmich,FC Bayern München,Munich
71,L. Sané,Manchester City,Manchester
72,M. Škriniar,Inter,Milan
73,Z. Ibrahimović,LA Galaxy,Los Angeles
74,A. Gómez,Atalanta,Bergamo
75,G. Higuaín,Juventus,Turin
76,B. Matuidi,Juventus,Turin
77,G. Bale,Real Madrid CF,Madrid
78,Marcelo,Real Madrid CF,Madrid
79,A. Witsel,Borussia Dortmund,Dortmund
80,P. Gulácsi,RB Leipzig,Leipzig
81,R. Bürki,Borussia Dortmund,Dortmund
82,Alex Sandro,Juventus,Turin
83,R. Lukaku,Inter,Milan
84,Iago Aspas,RC Celta de Vigo,Vigo
85,K. Manolas,Napoli,Naples
86,Koke,Atlético de Madrid,Madrid
87,Neto,FC Barcelona,Barcelona
88,D. Alaba,FC Bayern München,Munich
89,J. Rodríguez,Real Madrid CF,Madrid
90,A. Lopes,Olympique Lyonnais,Lyon
91,Allan,Napoli,Naples
92,M. Icardi,Inter,Milan
93,R. Varane,Real Madrid CF,Madrid
94,Carvajal,Real Madrid CF,Madrid
95,Saúl,Atlético de Madrid,Madrid
96,H. Ziyech,Ajax,Amsterdam
97,Fabinho,Liverpool,Liverpool
98,N. Süle,FC Bayern München,Munich
99,Bruno Fernandes,Sporting CP,Lisbon
100,A. Robertson,Liverpool,Liverpool
101,J. Giménez,Atlético de Madrid,Madrid
102,C. Lenglet,FC Barcelona,Barcelona
103,S. Milinković-Savić,Lazio,Rome
104,F. de Jong,FC Barcelona,Barcelona
105,G. Donnarumma,AC Milan,Milan
106,Rodri,Manchester City,Manchester
107,M. de Ligt,Juventus,Turin
108,Pepe,FC Porto,Porto
109,João Moutinho,Wolverhampton Wanderers,Wolverhampton
110,S. Ruffier,AS Saint-Étienne,Saint-Étienne
111,S. Sirigu,Torino F.C.,Turin
112,M. Hamšík,Dalian Professional Football Club,Dalian
113,Sokratis,Arsenal,London
114,Lucas Leiva,Lazio,Rome
115,M. Özil,Arsenal,London
116,Javi Martínez,FC Bayern München,Munich
117,Y. Sommer,Borussia Mönchengladbach,Mönchengladbach
118,E. Džeko,Roma,Rome
119,G. Wijnaldum,Liverpool,Liverpool
120,I. Perišić,FC Bayern München,Munich
121,M. Mandžukić,Juventus,Turin
122,A. Vidal,FC Barcelona,Barcelona
123,J. Boateng,FC Bayern München,Munich
124,Azpilicueta,Chelsea,London
125,José Callejón,Napoli,Naples
126,İ. Gündoğan,Manchester City,Manchester
127,Paulinho,Guangzhou FC,Guangzhou
128,K. Walker,Manchester City,Manchester
129,Canales,Real Betis Balompié,Seville
130,Douglas Costa,Juventus,Turin
131,B. Leno,Arsenal,London
132,Pizzi,SL Benfica,Lisbon
133,S. de Vrij,Inter,Milan
134,Luis Alberto,Lazio,Rome
135,D. Tadić,Ajax,Amsterdam
136,J. Iličić,Atalanta,Bergamo
137,Felipe Anderson,West Ham United,London
138,M. Depay,Olympique Lyonnais,Lyon
139,R. Mahrez,Manchester City,Manchester
140,E. Višća,İstanbul Başakşehir FK,Istanbul
141,S. Gnabry,FC Bayern München,Munich
142,Kepa,Chelsea,London
143,Felipe,Atlético de Madrid,Madrid
144,L. Goretzka,FC Bayern München,Munich
145,João Cancelo,Manchester City,Manchester
146,D. Alli,Tottenham Hotspur,London
147,J. Brandt,Borussia Dortmund,Dortmund
148,Alex Telles,FC Porto,Porto
149,K. Coman,FC Bayern München,Munich
150,N. Fekir,Real Betis Balompié,Seville
151,L. Hernández,FC Bayern München,Munich
152,Arthur,FC Barcelona,Barcelona
153,O. Dembélé,FC Barcelona,Barcelona
154,J. Sancho,Borussia Dortmund,Dortmund
155,K. Havertz,Bayer 04 Leverkusen,Leverkusen
156,J. Pavlenka,SV Werder Bremen,Bremen
157,Iniesta,Vissel Kobe,Kobe
158,G. Buffon,Juventus,Turin
159,Casillas,FC Porto,Porto
160,R. Jarstein,Hertha BSC,Berlin
161,V. Kompany,RSC Anderlecht,Brussels
162,Raúl Albiol,Villarreal CF,Villarreal
163,F. Quagliarella,U.C. Sampdoria,Genoa
164,K. Schmeichel,Leicester City,Leicester
165,Falcao,AS Monaco,Monaco
166,Miranda,Jiangsu FC,Nanjing
167,C. Vela,Los Angeles FC,Los Angeles
168,E. Garay,Valencia CF,Valencia
169,Rui Patrício,Wolverhampton Wanderers,Wolverhampton
170,R. Nainggolan,Cagliari,Cagliari
171,É. Banega,Sevilla FC,Seville
172,Diego Costa,Atlético de Madrid,Madrid
173,S. Khedira,Juventus,Turin
174,David Luiz,Arsenal,London
175,M. Kruse,Fenerbahçe SK,Istanbul
176,J. Henderson,Liverpool,Liverpool
177,G. Sigurðsson,Everton,Liverpool
178,A. Ramsey,Juventus,Turin
179,Oscar,Shanghai Port FC,Shanghai
180,K. Trapp,Eintracht Frankfurt,Frankfurt
181,Illarramendi,Real Sociedad,San Sebastian
182,D. Blind,Ajax,Amsterdam
183,L. Hrádecký,Bayer 04 Leverkusen,Leverkusen
184,N. Otamendi,Manchester City,Manchester
185,K. Casteels,VfL Wolfsburg,Wolfsburg
186,J. Cuadrado,Juventus,Turin
187,I. Gueye,Paris Saint-Germain,Paris
188,K. Kampl,RB Leipzig,Leipzig
189,Bartra,Real Betis Balompié,Seville
190,Rodrigo,Valencia CF,Valencia
191,W. Zaha,Crystal Palace,London
192,Pablo Sarabia,Paris Saint-Germain,Paris
193,C. Aránguiz,Bayer 04 Leverkusen,Leverkusen
194,W. Ben Yedder,AS Monaco,Monaco
195,F. Acerbi,Lazio,Rome
196,J. Cillessen,Valencia CF,Valencia
197,Paco Alcácer,Borussia Dortmund,Dortmund
198,L. Digne,Everton,Liverpool
199,Danilo Pereira,FC Porto,Porto
200,Lucas Moura,Tottenham Hotspur,London
201,Morata,Atlético de Madrid,Madrid
202,J. Draxler,Paris Saint-Germain,Paris
203,J. Stones,Manchester City,Manchester
204,J. Pickford,Everton,Liverpool
205,F. Thauvin,Olympique de Marseille,Marseille
206,A. Milik,Napoli,Naples
207,Jorginho,Chelsea,London
208,S. Haller,West Ham United,London
209,William Carvalho,Real Betis Balompié,Seville
210,Y. Carrasco,Dalian Professional Football Club,Dalian
211,A. Rabiot,Juventus,Turin
212,Grimaldo,SL Benfica,Lisbon
213,A. Romagnoli,AC Milan,Milan
214,A. Martial,Manchester United,Manchester
215,T. Werner,RB Leipzig,Leipzig
216,F. Bernardeschi,Juventus,Turin
217,Anderson Talisca,Guangzhou FC,Guangzhou
218,J. Tah,Bayer 04 Leverkusen,Leverkusen
219,T. Lemar,Atlético de Madrid,Madrid
220,A. Kramarić,TSG Hoffenheim,Sinsheim
221,D. Djené,Getafe CF,Getafe
222,C. Tolisso,FC Bayern München,Munich
223,D. Sánchez,Tottenham Hotspur,London
224,Marco Asensio,Real Madrid CF,Madrid
225,Pau López,Roma,Rome
226,Borja Iglesias,Real Betis Balompié,Seville
227,Gonçalo Guedes,Valencia CF,Valencia
228,N. Pépé,Arsenal,London
229,G. Lo Celso,Tottenham Hotspur,London
230,Fabián,Napoli,Naples
231,M. Akanji,Borussia Dortmund,Dortmund
232,Louri Beretta,Clube Atlético Mineiro,Belo Horizonte
233,Josué Chiamulera,Grêmio,Porto Alegre
234,Ronaldo Cabrais,Grêmio,Porto Alegre
235,T. Alexander-Arnold,Liverpool,Liverpool
236,M. Rashford,Manchester United,Manchester
237,L. Jović,Real Madrid CF,Madrid
238,Pepe Reina,AC Milan,Milan
239,D. De Rossi,Boca Juniors,Buenos Aires
240,Aduriz,Athletic Club de Bilbao,Bilbao
241,Jesús Navas,Sevilla FC,Seville
242,Santi Cazorla,Villarreal CF,Villarreal
243,H. Herrera,Atlético de Madrid,Madrid
244,L. Biglia,AC Milan,Milan
245,Ł. Fabiański,West Ham United,London
246,E. Viviano,Sporting CP,Lisbon
247,Juan Mata,Manchester United,Manchester
248,O. Giroud,Chelsea,London
249,Sergio Asenjo,Villarreal CF,Villarreal
250,S. Kjær,Sevilla FC,Seville
251,Willian,Chelsea,London
252,V. Ćorluka,FC Lokomotiv Moscow,Moscow
253,M. Arnautović,Shanghai Port FC,Shanghai
254,A. Sánchez,Manchester United,Manchester
255,Giuliano,Al Nassr,Riyadh
256,A. Kolarov,Roma,Rome
257,M. Balotelli,Brescia,Brescia
258,Marlos,Shakhtar Donetsk,Donetsk
259,Taison,Shakhtar Donetsk,Donetsk
260,B. Dost,Sporting CP,Lisbon
261,G. Bonaventura,AC Milan,Milan
262,Pedro,Chelsea,London
263,Muniain,Athletic Club de Bilbao,Bilbao
264,L. de Jong,Sevilla FC,Seville
265,S. El Shaarawy,Shanghai Shenhua FC,Shanghai
266,Ander Herrera,Paris Saint-Germain,Paris
267,M. Götze,Borussia Dortmund,Dortmund
268,A. Areola,Paris Saint-Germain,Paris
269,T. Delaney,Borussia Dortmund,Dortmund
270,X. Shaqiri,Liverpool,Liverpool
271,Mário Fernandes,PFC CSKA Moscow,Moscow
272,O. Baumann,TSG Hoffenheim,Sinsheim
273,Willian José,Real Sociedad,San Sebastian
274,J. Matip,Liverpool,Liverpool
275,S. Coates,Sporting CP,Lisbon
276,M. Perin,Juventus,Turin
277,C. Bakambu,Beijing Guoan FC,Beijing
278,Sergi Roberto,FC Barcelona,Barcelona
279,N. Schulz,Borussia Dortmund,Dortmund
280,K. Volland,Bayer 04 Leverkusen,Leverkusen
281,Nacho Fernández,Real Madrid CF,Madrid
282,B. Lecomte,AS Monaco,Monaco
283,Gabriel Paulista,Valencia CF,Valencia
284,T. Meunier,Paris Saint-Germain,Paris
285,J. Roussillon,VfL Wolfsburg,Wolfsburg
286,Suso,AC Milan,Milan
287,K. Bellarabi,Bayer 04 Leverkusen,Leverkusen
288,H. Maguire,Manchester United,Manchester
289,T. Hazard,Borussia Dortmund,Dortmund
290,S. Savić,Atlético de Madrid,Madrid
291,A. Rüdiger,Chelsea,London
292,M. Kovačić,Chelsea,London
293,J. Lingard,Manchester United,Manchester
294,E. Forsberg,RB Leipzig,Leipzig
295,F. Kostić,Eintracht Frankfurt,Frankfurt
296,A. Belotti,Torino F.C.,Turin
297,Q. Promes,Ajax,Amsterdam
298,J. Vardy,Leicester City,Leicester
299,Pacheco,Deportivo Alavés,Vitoria-Gasteiz
300,T. Partey,Atlético de Madrid,Madrid
301,Ricardo Pereira,Leicester City,Leicester
302,N. Tagliafico,Ajax,Amsterdam
303,D. Rugani,Juventus,Turin
304,K. Demirbay,Bayer 04 Leverkusen,Leverkusen
305,T. Strakosha,Lazio,Rome
306,Á. Correa,Atlético de Madrid,Madrid
307,D. Zapata,Atalanta,Bergamo
308,Iñaki Williams,Athletic Club de Bilbao,Bilbao
309,M. Politano,Inter,Milan
310,Morales,Levante Unión Deportiva,Valencia
311,Rafa,SL Benfica,Lisbon
312,N. Keïta,Liverpool,Liverpool
313,H. Lozano,PSV,Eindhoven
314,David Soria,Getafe CF,Getafe
315,L. Torreira,Arsenal,London
316,Rúben Neves,Wolverhampton Wanderers,Wolverhampton
317,P. Kimpembe,Paris Saint-Germain,Paris
318,S. Bergwijn,PSV,Eindhoven
319,A. Onana,Ajax,Amsterdam
320,Gelson Martins,AS Monaco,Monaco
321,Nélson Semedo,FC Barcelona,Barcelona
322,L. Bailey,Bayer 04 Leverkusen,Leverkusen
323,Oyarzabal,Real Sociedad,San Sebastian
324,Raphaelito Anjos,Grêmio,Porto Alegre
325,Juiano Mestres,Cruzeiro,Belo Horizonte
326,Rosberto Dourado,Clube Atlético Mineiro,Belo Horizonte
327,Gabriel Jesus,Manchester City,Manchester
328,Quaresma,Beşiktaş JK,Istanbul
329,J. Mathieu,Sporting CP,Lisbon
330,J. Milner,Liverpool,Liverpool
331,L. López,Racing Club,Avellaneda
332,B. Gomis,Al Hilal,Riyadh
333,M. Dembélé,Guangzhou City,Guangzhou
334,Cesc Fàbregas,AS Monaco,Monaco
335,A. Consigli,U.S. Sassuolo Calcio,Sassuolo
336,L. Koscielny,FC Girondins de Bordeaux,Bordeaux
337,Jardel,SL Benfica,Lisbon
338,Renato Augusto,Beijing Guoan FC,Beijing
339,José Fonte,LOSC Lille,Lille
340,A. Guardado,Real Betis Balompié,Seville
341,Ł. Piszczek,Borussia Dortmund,Dortmund
342,K. Gameiro,Valencia CF,Valencia
343,D. Payet,Olympique de Marseille,Marseille
344,Beñat,Athletic Club de Bilbao,Bilbao
345,Adán,Atlético de Madrid,Madrid
346,B. Höwedes,FC Lokomotiv Moscow,Moscow
347,F. Muslera,Galatasaray SK,Istanbul
348,M. Sissoko,Tottenham Hotspur,London
349,M. Parolo,Lazio,Rome
350,Fernando,Sevilla FC,Seville
351,N. Gaitán,Chicago Fire Football Club,Chicago
352,S. Giovinco,Al Hilal,Riyadh
353,Luiz Gustavo,Olympique de Marseille,Marseille
354,N. Nkoulou,Torino F.C.,Turin
355,A. Ljajić,Beşiktaş JK,Istanbul
356,N. Matić,Manchester United,Manchester
357,Marcos Alonso,Chelsea,London
358,H. Mkhitaryan,Arsenal,London
359,J. Corona,FC Porto,Porto
360,André Almeida,SL Benfica,Lisbon
361,G. Xhaka,Arsenal,London
362,Jordi Masip,Real Valladolid CF,Valladolid
363,T. Horn,1. FC Köln,Cologne
364,Rafinha,FC Barcelona,Barcelona
365,G. Kondogbia,Valencia CF,Valencia
366,A. Florenzi,Roma,Rome
367,T. Vaclík,Sevilla FC,Seville
368,E. Zahavi,Guangzhou City,Guangzhou
369,W. Orban,RB Leipzig,Leipzig
370,M. Sabitzer,RB Leipzig,Leipzig
371,A. Cragno,Cagliari,Cagliari
372,L. Shaw,Manchester United,Manchester
373,L. Milivojević,Crystal Palace,London
374,A. Plea,Borussia Mönchengladbach,Mönchengladbach
375,F. Vázquez,Sevilla FC,Seville
376,Y. Poulsen,RB Leipzig,Leipzig
377,R. Fraser,AFC Bournemouth,Bournemouth
378,M. Ginter,Borussia Mönchengladbach,Mönchengladbach
379,J. Martínez,Atlanta United,Atlanta
380,Gerard Moreno,Villarreal CF,Villarreal
381,A. Doucouré,Watford,Watford
382,E. Can,Juventus,Turin
383,Lucas Vázquez,Real Madrid CF,Madrid
384,R. Guerreiro,Borussia Dortmund,Dortmund
385,P. Zieliński,Napoli,Naples
386,Gayà,Valencia CF,Valencia
387,João Mário,Inter,Milan
388,Thiago Mendes,Olympique Lyonnais,Lyon
389,G. Rulli,Montpellier Hérault SC,Montpellier
390,A. Izzo,Torino F.C.,Turin
391,Dani García,Athletic Club de Bilbao,Bilbao
392,M. Brozović,Inter,Milan
393,D. van de Beek,Ajax,Amsterdam
394,V. Lindelöf,Manchester United,Manchester
395,Dani Ceballos,Arsenal,London
396,W. Weghorst,VfL Wolfsburg,Wolfsburg
397,M. Acuña,Sporting CP,Lisbon
398,Pablo Fornals,West Ham United,London
399,W. Ndidi,Leicester City,Leicester
400,Laure Santeiro,Fluminense,Rio de Janeiro
401,L. Martínez,Inter,Milan
402,H. Aouar,Olympique Lyonnais,Lyon
403,T. Ndombele,Tottenham Hotspur,London
404,David Neres,Ajax,Amsterdam
405,Éder Militão,Real Madrid CF,Madrid
406,Joaquín,Real Betis Balompié,Seville
407,W. Rooney,D.C. United,"Washington, D.C."
408,Moyá,Real Sociedad,San Sebastián
409,Nani,Orlando City Soccer Club,Orlando
410,J. Mascherano,Hebei FC,Shijiazhuang
411,Diego López,RCD Espanyol de Barcelona,Barcelona
412,I. Akinfeev,PFC CSKA Moscow,Moscow
413,A. Gignac,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
414,Jorge Molina,Getafe CF,Getafe
415,B. Costil,FC Girondins de Bordeaux,Bordeaux
416,L. Perrin,AS Saint-Étienne,Saint-Étienne
417,B. Foster,Watford,Watford
418,T. Heaton,Aston Villa,Birmingham
419,S. Mandanda,Olympique de Marseille,Marseille
420,Charles,SD Eibar,Eibar
421,Ş. Radu,Lazio,Rome
422,D. Rose,Tottenham Hotspur,London
423,E. Lamela,Tottenham Hotspur,London
424,Raúl García,Athletic Club de Bilbao,Bilbao
425,Naldo,AS Monaco,Monaco
426,D. Wass,Valencia CF,Valencia
427,S. Romero,Manchester United,Manchester
428,Pedro León,SD Eibar,Eibar
429,I. Piatti,Club de Foot Montréal,Montreal
430,D. Ospina,Napoli,Naples
431,M. Díaz,Racing Club,Avellaneda
432,M. Valbuena,Olympiacos CFP,Piraeus
433,L. Bender,Bayer 04 Leverkusen,Leverkusen
434,S. Bender,Bayer 04 Leverkusen,Leverkusen
435,E. Capoue,Watford,Watford
436,Antunes,Getafe CF,Getafe
437,R. Fährmann,Norwich City,Norwich
438,F. Fazio,Roma,Rome
439,M. Hasebe,Eintracht Frankfurt,Frankfurt
440,Sidnei,Real Betis Balompié,Seville
441,D. Perotti,Roma,Rome
442,L. Pratto,River Plate,Buenos Aires
443,S. Feghouli,Galatasaray SK,Istanbul
444,K. Trippier,Atlético de Madrid,Madrid
445,M. Musacchio,AC Milan,Milan
446,Y. M'Vila,AS Saint-Étienne,Saint-Étienne
447,L. Stindl,Borussia Mönchengladbach,Mönchengladbach
448,F. Smolov,FC Lokomotiv Moscow,Moscow
449,S. Nzonzi,Galatasaray SK,Istanbul
450,M. Lanzini,West Ham United,London
451,F. Coquelin,Valencia CF,Valencia
452,Hulk,Shanghai Port FC,Shanghai
453,K. Strootman,Olympique de Marseille,Marseille
454,C. Smalling,Manchester United,Manchester
455,K. Glik,AS Monaco,Monaco
456,J. Zoet,PSV,Eindhoven
457,E. Salvio,Boca Juniors,Buenos Aires
458,D. Subašić,AS Monaco,Monaco
459,K. Vogt,TSG Hoffenheim,Sinsheim
460,R. Pereyra,Watford,Watford
461,R. Rodríguez,AC Milan,Milan
462,Y. Belhanda,Galatasaray SK,Istanbul
463,Sergi Enrich,SD Eibar,Eibar
464,D. Lovren,Liverpool,Liverpool
465,S. Verdi,Napoli,Naples
466,C. Wilson,AFC Bournemouth,Bournemouth
467,J. Guilavogui,VfL Wolfsburg,Wolfsburg
468,A. Oxlade-Chamberlain,Liverpool,Liverpool
469,M. Ryan,Brighton & Hove Albion,Brighton
470,L. Muriel,Atalanta,Bergamo
471,D. Vida,Beşiktaş JK,Istanbul
472,Ibai Gómez,Athletic Club de Bilbao,Bilbao
473,Sergi Gómez,Sevilla FC,Seville
474,Campaña,Levante Unión Deportiva,Valencia
475,H. Vanaken,Club Brugge KV,Bruges
476,S. Berghuis,Feyenoord,Rotterdam
477,Cristian Tello,Real Betis Balompié,Seville
478,Ismaily,Shakhtar Donetsk,Donetsk
479,A. Mandi,Real Betis Balompié,Seville
480,F. Ghoulam,Napoli,Naples
481,M. Hinteregger,Eintracht Frankfurt,Frankfurt
482,S. Sané,FC Schalke 04,Gelsenkirchen
483,Deulofeu,Watford,Watford
484,Sergi Darder,RCD Espanyol de Barcelona,Barcelona
485,S. Zaza,Torino F.C.,Turin
486,D. Klaassen,SV Werder Bremen,Bremen
487,P. Kadeřábek,TSG Hoffenheim,Sinsheim
488,Héctor Bellerín,Arsenal,London
489,Š. Vrsaljko,Atlético de Madrid,Madrid
490,Pozuelo,Toronto FC,Toronto
491,C. Kramer,Borussia Mönchengladbach,Mönchengladbach
492,K. Zouma,Chelsea,London
493,Iñigo Martínez,Athletic Club de Bilbao,Bilbao
494,R. Jiménez,Wolverhampton Wanderers,Wolverhampton
495,B. Mendy,Manchester City,Manchester
496,Bernat,Paris Saint-Germain,Paris
497,Portu,Real Sociedad,San Sebastián
498,M. Nastasić,FC Schalke 04,Gelsenkirchen
499,Bernard,Everton,Liverpool
500,E. Andrada,Boca Juniors,Buenos Aires
501,T. Stepanenko,Shakhtar Donetsk,Donetsk
502,Manu Trigueros,Villarreal CF,Villarreal
503,L. Paredes,Paris Saint-Germain,Paris
504,M. Keane,Everton,Liverpool
505,H. Çalhanoğlu,AC Milan,Milan
506,Gabriel,SL Benfica,Lisbon
507,M. Dabbur,Sevilla FC,Seville
508,N. Aké,AFC Bournemouth,Bournemouth
509,J. Quintero,River Plate,Buenos Aires
510,Samu Castillejo,AC Milan,Milan
511,M. Halstenberg,RB Leipzig,Leipzig
512,E. Hysaj,Napoli,Naples
513,André Gomes,Everton,Liverpool
514,M. Dembélé,Olympique Lyonnais,Lyon
515,O. Vlachodimos,SL Benfica,Lisbon
516,Santi Mina,RC Celta de Vigo,Vigo
517,Rony Lopes,Sevilla FC,Seville
518,A. Christensen,Chelsea,London
519,F. Armani,River Plate,Buenos Aires
520,I. Marcone,Boca Juniors,Buenos Aires
521,W. Benítez,OGC Nice,Nice
522,J. Correa,Lazio,Rome
523,M. Maignan,LOSC Lille,Lille
524,K. Baldé,AS Monaco,Monaco
525,Y. Tielemans,Leicester City,Leicester
526,T. Bakayoko,Chelsea,London
527,M. Vecino,Inter,Milan
528,A. Rebić,Eintracht Frankfurt,Frankfurt
529,M. Dúbravka,Newcastle United,Newcastle upon Tyne
530,M. Caldara,AC Milan,Milan
531,J. Weigl,Borussia Dortmund,Dortmund
532,H. Winks,Tottenham Hotspur,London
533,Jony,Lazio,Rome
534,K. Piątek,AC Milan,Milan
535,Mata,Getafe CF,Getafe
536,V. Rongier,FC Nantes,Nantes
537,N. Barella,Inter,Milan
538,Diogo Jota,Wolverhampton Wanderers,Wolverhampton
539,J. Gomez,Liverpool,Liverpool
540,E. Bailly,Manchester United,Manchester
541,Marcos Llorente,Atlético de Madrid,Madrid
542,M. Eggestein,SV Werder Bremen,Bremen
543,M. Dmitrović,SD Eibar,Eibar
544,M. Marega,FC Porto,Porto
545,Yeray,Athletic Club de Bilbao,Bilbao
546,F. Mendy,Real Madrid CF,Madrid
547,Mario Hermoso,Atlético de Madrid,Madrid
548,Everton Andrão,Fluminense,Rio de Janeiro
549,Welington Dano,Cruzeiro,Belo Horizonte
550,M. Almirón,Newcastle United,Newcastle upon Tyne
551,Odriozola,Real Madrid CF,Madrid
552,Carlos Soler,Valencia CF,Valencia
553,M. Lazzari,Lazio,Rome
554,Melendo,RCD Espanyol de Barcelona,Barcelona
555,M. Gómez,Valencia CF,Valencia
556,Rúben Dias,SL Benfica,Lisbon
557,D. Livaković,Dinamo Zagreb,Zagreb
558,Loren,Real Betis Balompié,Seville
559,João Félix,Atlético de Madrid,Madrid
560,David Villa,Vissel Kobe,Kobe
561,B. Yılmaz,Beşiktaş JK,Istanbul
562,A. Mirante,Roma,Rome
563,S. Kalou,Hertha BSC,Berlin
564,Dante,OGC Nice,Nice
565,M. Debuchy,AS Saint-Étienne,Saint-Étienne
566,E. Lavezzi,Hebei FC,Shijiazhuang
567,Borja Valero,Inter,Milan
568,M. Škrtel,Atalanta,Bergamo
569,J. Evans,Leicester City,Leicester
570,D. Valeri,Portland Timbers,Portland
571,N. Moisander,SV Werder Bremen,Bremen
572,D. Criscito,Genoa,Genoa
573,A. Candreva,Inter,Milan
574,Marcano,FC Porto,Porto
575,K. Boateng,Fiorentina,Florence
576,A. Fernández,Beijing Renhe FC,Beijing
577,N. Guzmán,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
578,Nacho Monreal,Arsenal,London
579,Ángel,Getafe CF,Getafe
580,Granero,RCD Espanyol de Barcelona,Barcelona
581,Éder,Jiangsu FC,Nanjing
582,R. Vormer,Club Brugge KV,Bruges
583,S. Coleman,Everton,Liverpool
584,A. Lallana,Liverpool,Liverpool
585,A. Modeste,1. FC Köln,Cologne
586,M. Gradel,Toulouse Football Club,Toulouse
587,M. Sakho,Crystal Palace,London
588,Yuri Berchiche,Athletic Club de Bilbao,Bilbao
589,Mariano,Galatasaray SK,Istanbul
590,Ö. Toprak,SV Werder Bremen,Bremen
591,J. King,AFC Bournemouth,Bournemouth
592,N. Kalinić,Atlético de Madrid,Madrid
593,C. Stuani,Girona FC,Girona
594,S. Ulreich,FC Bayern München,Munich
595,K. Asamoah,Inter,Milan
596,Alex Teixeira,Jiangsu FC,Nanjing
597,S. Lulić,Lazio,Rome
598,S. Rondón,Dalian Professional Football Club,Dalian
599,S. Kagawa,Real Zaragoza,Zaragoza
600,J. Wilshere,West Ham United,London
601,Guaita,Crystal Palace,London
602,Cote,SD Eibar,Eibar
603,Iago Falqué,Torino F.C.,Turin
604,J. Pastore,Roma,Rome
605,Maicon,Al Nassr,Riyadh
606,S. Mustafi,Arsenal,London
607,F. Orellana,SD Eibar,Eibar
608,Elkeson,Guangzhou FC,Guangzhou
609,Kike García,SD Eibar,Eibar
610,Escudero,Sevilla FC,Seville
611,Mario Gaspar,Villarreal CF,Villarreal
612,L. Cabrera,Getafe CF,Getafe
613,Herrerín,Athletic Club de Bilbao,Bilbao
614,H. Seferović,SL Benfica,Lisbon
615,Víctor Ruiz,Beşiktaş JK,Istanbul
616,G. Pezzella,Fiorentina,Florence
617,Laguardia,Deportivo Alavés,Vitoria-Gasteiz
618,I. Belfodil,TSG Hoffenheim,Sinsheim
