,entity1,entity2,common_entity,entity3
54,Bernardo Silva,Manchester City,manchester, 
55,I. Rakitić,FC Barcelona,barcelona,"1992,"
56,M. Pjanić,Juventus,turin, 
57,Á. Di María,Paris Saint-Germain,paris,"1924,1900,"
58,L. Bonucci,Juventus,turin, 
59,W. Szczęsny,Juventus,turin, 
60,Coutinho,FC Bayern München,munich,"1972,"
61,Parejo,Valencia CF,valencia, 
62,T. Müller,FC Bayern München,munich,"1972,"
63,C. Immobile,Lazio,rome,"1960,"
64,A. Lacazette,Arsenal,london,"2012,1948,1908,"
65,Isco,Real Madrid CF,madrid, 
66,M. Verratti,Paris Saint-Germain,paris,"1924,1900,"
67,Roberto Firmino,Liverpool,liverpool, 
68,S. Umtiti,FC Barcelona,barcelona,"1992,"
69,Marquinhos,Paris Saint-Germain,paris,"1924,1900,"
70,J. Kimmich,FC Bayern München,munich,"1972,"
71,L. Sané,Manchester City,manchester, 
72,M. Škriniar,Inter,milan, 
73,Z. Ibrahimović,LA Galaxy,los angeles,"1984,1932,"
74,A. Gómez,Atalanta,bergamo, 
75,G. Higuaín,Juventus,turin, 
76,B. Matuidi,Juventus,turin, 
77,G. Bale,Real Madrid CF,madrid, 
78,Marcelo,Real Madrid CF,madrid, 
79,A. Witsel,Borussia Dortmund,dortmund, 
80,P. Gulácsi,RB Leipzig,leipzig, 
81,R. Bürki,Borussia Dortmund,dortmund, 
82,Alex Sandro,Juventus,turin, 
83,R. Lukaku,Inter,milan, 
84,Iago Aspas,RC Celta de Vigo,vigo, 
85,K. Manolas,Napoli,naples, 
86,Koke,Atlético de Madrid,madrid, 
87,Neto,FC Barcelona,barcelona,"1992,"
88,D. Alaba,FC Bayern München,munich,"1972,"
89,J. Rodríguez,Real Madrid CF,madrid, 
90,A. Lopes,Olympique Lyonnais,lyon, 
91,Allan,Napoli,naples, 
92,M. Icardi,Inter,milan, 
93,R. Varane,Real Madrid CF,madrid, 
94,Carvajal,Real Madrid CF,madrid, 
95,Saúl,Atlético de Madrid,madrid, 
96,H. Ziyech,Ajax,amsterdam,"1928,"
97,Fabinho,Liverpool,liverpool, 
98,N. Süle,FC Bayern München,munich,"1972,"
99,Bruno Fernandes,Sporting CP,lisbon, 
100,A. Robertson,Liverpool,liverpool, 
101,J. Giménez,Atlético de Madrid,madrid, 
102,C. Lenglet,FC Barcelona,barcelona,"1992,"
103,S. Milinković-Savić,Lazio,rome,"1960,"
104,F. de Jong,FC Barcelona,barcelona,"1992,"
105,G. Donnarumma,AC Milan,milan, 
106,Rodri,Manchester City,manchester, 
107,M. de Ligt,Juventus,turin, 
108,Pepe,FC Porto,porto, 
109,João Moutinho,Wolverhampton Wanderers,wolverhampton, 
110,S. Ruffier,AS Saint-Étienne,saint-étienne, 
111,S. Sirigu,Torino F.C.,turin, 
112,M. Hamšík,Dalian Professional Football Club,dalian, 
113,Sokratis,Arsenal,london,"2012,1948,1908,"
114,Lucas Leiva,Lazio,rome,"1960,"
115,M. Özil,Arsenal,london,"2012,1948,1908,"
116,Javi Martínez,FC Bayern München,munich,"1972,"
117,Y. Sommer,Borussia Mönchengladbach,mönchengladbach, 
118,E. Džeko,Roma,rome,"1960,"
119,G. Wijnaldum,Liverpool,liverpool, 
120,I. Perišić,FC Bayern München,munich,"1972,"
121,M. Mandžukić,Juventus,turin, 
122,A. Vidal,FC Barcelona,barcelona,"1992,"
123,J. Boateng,FC Bayern München,munich,"1972,"
124,Azpilicueta,Chelsea,london,"2012,1948,1908,"
125,José Callejón,Napoli,naples, 
126,İ. Gündoğan,Manchester City,manchester, 
127,Paulinho,Guangzhou FC,guangzhou, 
128,K. Walker,Manchester City,manchester, 
129,Canales,Real Betis Balompié,seville, 
130,Douglas Costa,Juventus,turin, 
131,B. Leno,Arsenal,london,"2012,1948,1908,"
132,Pizzi,SL Benfica,lisbon, 
133,S. de Vrij,Inter,milan, 
134,Luis Alberto,Lazio,rome,"1960,"
135,D. Tadić,Ajax,amsterdam,"1928,"
136,J. Iličić,Atalanta,bergamo, 
137,Felipe Anderson,West Ham United,london,"2012,1948,1908,"
138,M. Depay,Olympique Lyonnais,lyon, 
139,R. Mahrez,Manchester City,manchester, 
140,E. Višća,İstanbul Başakşehir FK,istanbul, 
141,S. Gnabry,FC Bayern München,munich,"1972,"
142,Kepa,Chelsea,london,"2012,1948,1908,"
143,Felipe,Atlético de Madrid,madrid, 
144,L. Goretzka,FC Bayern München,munich,"1972,"
145,João Cancelo,Manchester City,manchester, 
146,D. Alli,Tottenham Hotspur,london,"2012,1948,1908,"
147,J. Brandt,Borussia Dortmund,dortmund, 
148,Alex Telles,FC Porto,porto, 
149,K. Coman,FC Bayern München,munich,"1972,"
150,N. Fekir,Real Betis Balompié,seville, 
151,L. Hernández,FC Bayern München,munich,"1972,"
152,Arthur,FC Barcelona,barcelona,"1992,"
153,O. Dembélé,FC Barcelona,barcelona,"1992,"
154,J. Sancho,Borussia Dortmund,dortmund, 
155,K. Havertz,Bayer 04 Leverkusen,leverkusen, 
156,J. Pavlenka,SV Werder Bremen,bremen, 
157,Iniesta,Vissel Kobe,kobe, 
158,G. Buffon,Juventus,turin, 
159,Casillas,FC Porto,porto, 
160,R. Jarstein,Hertha BSC,berlin,"1936,"
161,V. Kompany,RSC Anderlecht,brussels, 
162,Raúl Albiol,Villarreal CF,villarreal, 
163,F. Quagliarella,U.C. Sampdoria,genoa, 
164,K. Schmeichel,Leicester City,leicester, 
165,Falcao,AS Monaco,monaco, 
166,Miranda,Jiangsu FC,nanjing, 
167,C. Vela,Los Angeles FC,los angeles,"1984,1932,"
168,E. Garay,Valencia CF,valencia, 
169,Rui Patrício,Wolverhampton Wanderers,wolverhampton, 
170,R. Nainggolan,Cagliari,cagliari, 
171,É. Banega,Sevilla FC,seville, 
172,Diego Costa,Atlético de Madrid,madrid, 
173,S. Khedira,Juventus,turin, 
174,David Luiz,Arsenal,london,"2012,1948,1908,"
175,M. Kruse,Fenerbahçe SK,istanbul, 
176,J. Henderson,Liverpool,liverpool, 
177,G. Sigurðsson,Everton,liverpool, 
178,A. Ramsey,Juventus,turin, 
179,Oscar,Shanghai Port FC,shanghai, 
180,K. Trapp,Eintracht Frankfurt,frankfurt, 
181,Illarramendi,Real Sociedad,san sebastian, 
182,D. Blind,Ajax,amsterdam,"1928,"
183,L. Hrádecký,Bayer 04 Leverkusen,leverkusen, 
184,N. Otamendi,Manchester City,manchester, 
185,K. Casteels,VfL Wolfsburg,wolfsburg, 
186,J. Cuadrado,Juventus,turin, 
187,I. Gueye,Paris Saint-Germain,paris,"1924,1900,"
188,K. Kampl,RB Leipzig,leipzig, 
189,Bartra,Real Betis Balompié,seville, 
190,Rodrigo,Valencia CF,valencia, 
191,W. Zaha,Crystal Palace,london,"2012,1948,1908,"
192,Pablo Sarabia,Paris Saint-Germain,paris,"1924,1900,"
193,C. Aránguiz,Bayer 04 Leverkusen,leverkusen, 
194,W. Ben Yedder,AS Monaco,monaco, 
195,F. Acerbi,Lazio,rome,"1960,"
196,J. Cillessen,Valencia CF,valencia, 
197,Paco Alcácer,Borussia Dortmund,dortmund, 
198,L. Digne,Everton,liverpool, 
199,Danilo Pereira,FC Porto,porto, 
200,Lucas Moura,Tottenham Hotspur,london,"2012,1948,1908,"
201,Morata,Atlético de Madrid,madrid, 
202,J. Draxler,Paris Saint-Germain,paris,"1924,1900,"
203,J. Stones,Manchester City,manchester, 
204,J. Pickford,Everton,liverpool, 
205,F. Thauvin,Olympique de Marseille,marseille, 
206,A. Milik,Napoli,naples, 
207,Jorginho,Chelsea,london,"2012,1948,1908,"
208,S. Haller,West Ham United,london,"2012,1948,1908,"
209,William Carvalho,Real Betis Balompié,seville, 
210,Y. Carrasco,Dalian Professional Football Club,dalian, 
211,A. Rabiot,Juventus,turin, 
212,Grimaldo,SL Benfica,lisbon, 
213,A. Romagnoli,AC Milan,milan, 
214,A. Martial,Manchester United,manchester, 
215,T. Werner,RB Leipzig,leipzig, 
216,F. Bernardeschi,Juventus,turin, 
217,Anderson Talisca,Guangzhou FC,guangzhou, 
218,J. Tah,Bayer 04 Leverkusen,leverkusen, 
219,T. Lemar,Atlético de Madrid,madrid, 
220,A. Kramarić,TSG Hoffenheim,sinsheim, 
221,D. Djené,Getafe CF,getafe, 
222,C. Tolisso,FC Bayern München,munich,"1972,"
223,D. Sánchez,Tottenham Hotspur,london,"2012,1948,1908,"
224,Marco Asensio,Real Madrid CF,madrid, 
225,Pau López,Roma,rome,"1960,"
226,Borja Iglesias,Real Betis Balompié,seville, 
227,Gonçalo Guedes,Valencia CF,valencia, 
228,N. Pépé,Arsenal,london,"2012,1948,1908,"
229,G. Lo Celso,Tottenham Hotspur,london,"2012,1948,1908,"
230,Fabián,Napoli,naples, 
231,M. Akanji,Borussia Dortmund,dortmund, 
232,Louri Beretta,Clube Atlético Mineiro,belo horizonte, 
233,Josué Chiamulera,Grêmio,porto alegre, 
234,Ronaldo Cabrais,Grêmio,porto alegre, 
235,T. Alexander-Arnold,Liverpool,liverpool, 
236,M. Rashford,Manchester United,manchester, 
237,L. Jović,Real Madrid CF,madrid, 
238,Pepe Reina,AC Milan,milan, 
239,D. De Rossi,Boca Juniors,buenos aires, 
240,Aduriz,Athletic Club de Bilbao,bilbao, 
241,Jesús Navas,Sevilla FC,seville, 
242,Santi Cazorla,Villarreal CF,villarreal, 
243,H. Herrera,Atlético de Madrid,madrid, 
244,L. Biglia,AC Milan,milan, 
245,Ł. Fabiański,West Ham United,london,"2012,1948,1908,"
246,E. Viviano,Sporting CP,lisbon, 
247,Juan Mata,Manchester United,manchester, 
248,O. Giroud,Chelsea,london,"2012,1948,1908,"
249,Sergio Asenjo,Villarreal CF,villarreal, 
250,S. Kjær,Sevilla FC,seville, 
251,Willian,Chelsea,london,"2012,1948,1908,"
252,V. Ćorluka,FC Lokomotiv Moscow,moscow,"1980,"
253,M. Arnautović,Shanghai Port FC,shanghai, 
254,A. Sánchez,Manchester United,manchester, 
255,Giuliano,Al Nassr,riyadh, 
256,A. Kolarov,Roma,rome,"1960,"
257,M. Balotelli,Brescia,brescia, 
258,Marlos,Shakhtar Donetsk,donetsk, 
259,Taison,Shakhtar Donetsk,donetsk, 
260,B. Dost,Sporting CP,lisbon, 
261,G. Bonaventura,AC Milan,milan, 
262,Pedro,Chelsea,london,"2012,1948,1908,"
263,Muniain,Athletic Club de Bilbao,bilbao, 
264,L. de Jong,Sevilla FC,seville, 
265,S. El Shaarawy,Shanghai Shenhua FC,shanghai, 
266,Ander Herrera,Paris Saint-Germain,paris,"1924,1900,"
267,M. Götze,Borussia Dortmund,dortmund, 
268,A. Areola,Paris Saint-Germain,paris,"1924,1900,"
269,T. Delaney,Borussia Dortmund,dortmund, 
270,X. Shaqiri,Liverpool,liverpool, 
271,Mário Fernandes,PFC CSKA Moscow,moscow,"1980,"
272,O. Baumann,TSG Hoffenheim,sinsheim, 
273,Willian José,Real Sociedad,san sebastian, 
274,J. Matip,Liverpool,liverpool, 
275,S. Coates,Sporting CP,lisbon, 
276,M. Perin,Juventus,turin, 
277,C. Bakambu,Beijing Guoan FC,beijing,"2008,"
278,Sergi Roberto,FC Barcelona,barcelona,"1992,"
279,N. Schulz,Borussia Dortmund,dortmund, 
280,K. Volland,Bayer 04 Leverkusen,leverkusen, 
281,Nacho Fernández,Real Madrid CF,madrid, 
282,B. Lecomte,AS Monaco,monaco, 
283,Gabriel Paulista,Valencia CF,valencia, 
284,T. Meunier,Paris Saint-Germain,paris,"1924,1900,"
285,J. Roussillon,VfL Wolfsburg,wolfsburg, 
286,Suso,AC Milan,milan, 
287,K. Bellarabi,Bayer 04 Leverkusen,leverkusen, 
288,H. Maguire,Manchester United,manchester, 
289,T. Hazard,Borussia Dortmund,dortmund, 
290,S. Savić,Atlético de Madrid,madrid, 
291,A. Rüdiger,Chelsea,london,"2012,1948,1908,"
292,M. Kovačić,Chelsea,london,"2012,1948,1908,"
293,J. Lingard,Manchester United,manchester, 
294,E. Forsberg,RB Leipzig,leipzig, 
295,F. Kostić,Eintracht Frankfurt,frankfurt, 
296,A. Belotti,Torino F.C.,turin, 
297,Q. Promes,Ajax,amsterdam,"1928,"
298,J. Vardy,Leicester City,leicester, 
299,Pacheco,Deportivo Alavés,vitoria-gasteiz, 
300,T. Partey,Atlético de Madrid,madrid, 
301,Ricardo Pereira,Leicester City,leicester, 
302,N. Tagliafico,Ajax,amsterdam,"1928,"
303,D. Rugani,Juventus,turin, 
304,K. Demirbay,Bayer 04 Leverkusen,leverkusen, 
305,T. Strakosha,Lazio,rome,"1960,"
306,Á. Correa,Atlético de Madrid,madrid, 
307,D. Zapata,Atalanta,bergamo, 
308,Iñaki Williams,Athletic Club de Bilbao,bilbao, 
309,M. Politano,Inter,milan, 
310,Morales,Levante Unión Deportiva,valencia, 
311,Rafa,SL Benfica,lisbon, 
312,N. Keïta,Liverpool,liverpool, 
313,H. Lozano,PSV,eindhoven, 
314,David Soria,Getafe CF,getafe, 
315,L. Torreira,Arsenal,london,"2012,1948,1908,"
316,Rúben Neves,Wolverhampton Wanderers,wolverhampton, 
317,P. Kimpembe,Paris Saint-Germain,paris,"1924,1900,"
318,S. Bergwijn,PSV,eindhoven, 
319,A. Onana,Ajax,amsterdam,"1928,"
320,Gelson Martins,AS Monaco,monaco, 
321,Nélson Semedo,FC Barcelona,barcelona,"1992,"
322,L. Bailey,Bayer 04 Leverkusen,leverkusen, 
323,Oyarzabal,Real Sociedad,san sebastian, 
324,Raphaelito Anjos,Grêmio,porto alegre, 
325,Juiano Mestres,Cruzeiro,belo horizonte, 
326,Rosberto Dourado,Clube Atlético Mineiro,belo horizonte, 
327,Gabriel Jesus,Manchester City,manchester, 
328,Quaresma,Beşiktaş JK,istanbul, 
329,J. Mathieu,Sporting CP,lisbon, 
330,J. Milner,Liverpool,liverpool, 
331,L. López,Racing Club,avellaneda, 
332,B. Gomis,Al Hilal,riyadh, 
333,M. Dembélé,Guangzhou City,guangzhou, 
334,Cesc Fàbregas,AS Monaco,monaco, 
335,A. Consigli,U.S. Sassuolo Calcio,sassuolo, 
336,L. Koscielny,FC Girondins de Bordeaux,bordeaux, 
337,Jardel,SL Benfica,lisbon, 
338,Renato Augusto,Beijing Guoan FC,beijing,"2008,"
339,José Fonte,LOSC Lille,lille, 
340,A. Guardado,Real Betis Balompié,seville, 
341,Ł. Piszczek,Borussia Dortmund,dortmund, 
342,K. Gameiro,Valencia CF,valencia, 
343,D. Payet,Olympique de Marseille,marseille, 
344,Beñat,Athletic Club de Bilbao,bilbao, 
345,Adán,Atlético de Madrid,madrid, 
346,B. Höwedes,FC Lokomotiv Moscow,moscow,"1980,"
347,F. Muslera,Galatasaray SK,istanbul, 
348,M. Sissoko,Tottenham Hotspur,london,"2012,1948,1908,"
349,M. Parolo,Lazio,rome,"1960,"
350,Fernando,Sevilla FC,seville, 
351,N. Gaitán,Chicago Fire Football Club,chicago, 
352,S. Giovinco,Al Hilal,riyadh, 
353,Luiz Gustavo,Olympique de Marseille,marseille, 
354,N. Nkoulou,Torino F.C.,turin, 
355,A. Ljajić,Beşiktaş JK,istanbul, 
356,N. Matić,Manchester United,manchester, 
357,Marcos Alonso,Chelsea,london,"2012,1948,1908,"
358,H. Mkhitaryan,Arsenal,london,"2012,1948,1908,"
359,J. Corona,FC Porto,porto, 
360,André Almeida,SL Benfica,lisbon, 
361,G. Xhaka,Arsenal,london,"2012,1948,1908,"
362,Jordi Masip,Real Valladolid CF,valladolid, 
363,T. Horn,1. FC Köln,cologne, 
364,Rafinha,FC Barcelona,barcelona,"1992,"
365,G. Kondogbia,Valencia CF,valencia, 
366,A. Florenzi,Roma,rome,"1960,"
367,T. Vaclík,Sevilla FC,seville, 
368,E. Zahavi,Guangzhou City,guangzhou, 
369,W. Orban,RB Leipzig,leipzig, 
370,M. Sabitzer,RB Leipzig,leipzig, 
371,A. Cragno,Cagliari,cagliari, 
372,L. Shaw,Manchester United,manchester, 
373,L. Milivojević,Crystal Palace,london,"2012,1948,1908,"
374,A. Plea,Borussia Mönchengladbach,mönchengladbach, 
375,F. Vázquez,Sevilla FC,seville, 
376,Y. Poulsen,RB Leipzig,leipzig, 
377,R. Fraser,AFC Bournemouth,bournemouth, 
378,M. Ginter,Borussia Mönchengladbach,mönchengladbach, 
379,J. Martínez,Atlanta United,atlanta,"1996,"
380,Gerard Moreno,Villarreal CF,villarreal, 
381,A. Doucouré,Watford,watford, 
382,E. Can,Juventus,turin, 
383,Lucas Vázquez,Real Madrid CF,madrid, 
384,R. Guerreiro,Borussia Dortmund,dortmund, 
385,P. Zieliński,Napoli,naples, 
386,Gayà,Valencia CF,valencia, 
387,João Mário,Inter,milan, 
388,Thiago Mendes,Olympique Lyonnais,lyon, 
389,G. Rulli,Montpellier Hérault SC,montpellier, 
390,A. Izzo,Torino F.C.,turin, 
391,Dani García,Athletic Club de Bilbao,bilbao, 
392,M. Brozović,Inter,milan, 
393,D. van de Beek,Ajax,amsterdam,"1928,"
394,V. Lindelöf,Manchester United,manchester, 
395,Dani Ceballos,Arsenal,london,"2012,1948,1908,"
396,W. Weghorst,VfL Wolfsburg,wolfsburg, 
397,M. Acuña,Sporting CP,lisbon, 
398,Pablo Fornals,West Ham United,london,"2012,1948,1908,"
399,W. Ndidi,Leicester City,leicester, 
400,Laure Santeiro,Fluminense,rio de janeiro, 
401,L. Martínez,Inter,milan, 
402,H. Aouar,Olympique Lyonnais,lyon, 
403,T. Ndombele,Tottenham Hotspur,london,"2012,1948,1908,"
404,David Neres,Ajax,amsterdam,"1928,"
405,Éder Militão,Real Madrid CF,madrid, 
406,Joaquín,Real Betis Balompié,seville, 
407,W. Rooney,D.C. United,"washington, d.c.", 
408,Moyá,Real Sociedad,san sebastián, 
409,Nani,Orlando City Soccer Club,orlando, 
410,J. Mascherano,Hebei FC,shijiazhuang, 
411,Diego López,RCD Espanyol de Barcelona,barcelona,"1992,"
412,I. Akinfeev,PFC CSKA Moscow,moscow,"1980,"
413,A. Gignac,Tigres U.A.N.L.,"san nicolás, nuevo león", 
414,Jorge Molina,Getafe CF,getafe, 
415,B. Costil,FC Girondins de Bordeaux,bordeaux, 
416,L. Perrin,AS Saint-Étienne,saint-étienne, 
417,B. Foster,Watford,watford, 
418,T. Heaton,Aston Villa,birmingham, 
419,S. Mandanda,Olympique de Marseille,marseille, 
420,Charles,SD Eibar,eibar, 
421,Ş. Radu,Lazio,rome,"1960,"
422,D. Rose,Tottenham Hotspur,london,"2012,1948,1908,"
423,E. Lamela,Tottenham Hotspur,london,"2012,1948,1908,"
424,Raúl García,Athletic Club de Bilbao,bilbao, 
425,Naldo,AS Monaco,monaco, 
426,D. Wass,Valencia CF,valencia, 
427,S. Romero,Manchester United,manchester, 
428,Pedro León,SD Eibar,eibar, 
429,I. Piatti,Club de Foot Montréal,montreal,"1976,"
430,D. Ospina,Napoli,naples, 
431,M. Díaz,Racing Club,avellaneda, 
432,M. Valbuena,Olympiacos CFP,piraeus, 
433,L. Bender,Bayer 04 Leverkusen,leverkusen, 
434,S. Bender,Bayer 04 Leverkusen,leverkusen, 
435,E. Capoue,Watford,watford, 
436,Antunes,Getafe CF,getafe, 
437,R. Fährmann,Norwich City,norwich, 
438,F. Fazio,Roma,rome,"1960,"
439,M. Hasebe,Eintracht Frankfurt,frankfurt, 
440,Sidnei,Real Betis Balompié,seville, 
441,D. Perotti,Roma,rome,"1960,"
442,L. Pratto,River Plate,buenos aires, 
443,S. Feghouli,Galatasaray SK,istanbul, 
444,K. Trippier,Atlético de Madrid,madrid, 
445,M. Musacchio,AC Milan,milan, 
446,Y. M'Vila,AS Saint-Étienne,saint-étienne, 
447,L. Stindl,Borussia Mönchengladbach,mönchengladbach, 
448,F. Smolov,FC Lokomotiv Moscow,moscow,"1980,"
449,S. Nzonzi,Galatasaray SK,istanbul, 
450,M. Lanzini,West Ham United,london,"2012,1948,1908,"
451,F. Coquelin,Valencia CF,valencia, 
452,Hulk,Shanghai Port FC,shanghai, 
453,K. Strootman,Olympique de Marseille,marseille, 
454,C. Smalling,Manchester United,manchester, 
455,K. Glik,AS Monaco,monaco, 
456,J. Zoet,PSV,eindhoven, 
457,E. Salvio,Boca Juniors,buenos aires, 
458,D. Subašić,AS Monaco,monaco, 
459,K. Vogt,TSG Hoffenheim,sinsheim, 
460,R. Pereyra,Watford,watford, 
461,R. Rodríguez,AC Milan,milan, 
462,Y. Belhanda,Galatasaray SK,istanbul, 
463,Sergi Enrich,SD Eibar,eibar, 
464,D. Lovren,Liverpool,liverpool, 
465,S. Verdi,Napoli,naples, 
466,C. Wilson,AFC Bournemouth,bournemouth, 
467,J. Guilavogui,VfL Wolfsburg,wolfsburg, 
468,A. Oxlade-Chamberlain,Liverpool,liverpool, 
469,M. Ryan,Brighton & Hove Albion,brighton, 
470,L. Muriel,Atalanta,bergamo, 
471,D. Vida,Beşiktaş JK,istanbul, 
472,Ibai Gómez,Athletic Club de Bilbao,bilbao, 
473,Sergi Gómez,Sevilla FC,seville, 
474,Campaña,Levante Unión Deportiva,valencia, 
475,H. Vanaken,Club Brugge KV,bruges, 
476,S. Berghuis,Feyenoord,rotterdam, 
477,Cristian Tello,Real Betis Balompié,seville, 
478,Ismaily,Shakhtar Donetsk,donetsk, 
479,A. Mandi,Real Betis Balompié,seville, 
480,F. Ghoulam,Napoli,naples, 
481,M. Hinteregger,Eintracht Frankfurt,frankfurt, 
482,S. Sané,FC Schalke 04,gelsenkirchen, 
483,Deulofeu,Watford,watford, 
484,Sergi Darder,RCD Espanyol de Barcelona,barcelona,"1992,"
485,S. Zaza,Torino F.C.,turin, 
486,D. Klaassen,SV Werder Bremen,bremen, 
487,P. Kadeřábek,TSG Hoffenheim,sinsheim, 
488,Héctor Bellerín,Arsenal,london,"2012,1948,1908,"
489,Š. Vrsaljko,Atlético de Madrid,madrid, 
490,Pozuelo,Toronto FC,toronto, 
491,C. Kramer,Borussia Mönchengladbach,mönchengladbach, 
492,K. Zouma,Chelsea,london,"2012,1948,1908,"
493,Iñigo Martínez,Athletic Club de Bilbao,bilbao, 
494,R. Jiménez,Wolverhampton Wanderers,wolverhampton, 
495,B. Mendy,Manchester City,manchester, 
496,Bernat,Paris Saint-Germain,paris,"1924,1900,"
497,Portu,Real Sociedad,san sebastián, 
498,M. Nastasić,FC Schalke 04,gelsenkirchen, 
499,Bernard,Everton,liverpool, 
500,E. Andrada,Boca Juniors,buenos aires, 
501,T. Stepanenko,Shakhtar Donetsk,donetsk, 
502,Manu Trigueros,Villarreal CF,villarreal, 
503,L. Paredes,Paris Saint-Germain,paris,"1924,1900,"
504,M. Keane,Everton,liverpool, 
505,H. Çalhanoğlu,AC Milan,milan, 
506,Gabriel,SL Benfica,lisbon, 
507,M. Dabbur,Sevilla FC,seville, 
508,N. Aké,AFC Bournemouth,bournemouth, 
509,J. Quintero,River Plate,buenos aires, 
510,Samu Castillejo,AC Milan,milan, 
511,M. Halstenberg,RB Leipzig,leipzig, 
512,E. Hysaj,Napoli,naples, 
513,André Gomes,Everton,liverpool, 
514,M. Dembélé,Olympique Lyonnais,lyon, 
515,O. Vlachodimos,SL Benfica,lisbon, 
516,Santi Mina,RC Celta de Vigo,vigo, 
517,Rony Lopes,Sevilla FC,seville, 
518,A. Christensen,Chelsea,london,"2012,1948,1908,"
519,F. Armani,River Plate,buenos aires, 
520,I. Marcone,Boca Juniors,buenos aires, 
521,W. Benítez,OGC Nice,nice, 
522,J. Correa,Lazio,rome,"1960,"
523,M. Maignan,LOSC Lille,lille, 
524,K. Baldé,AS Monaco,monaco, 
525,Y. Tielemans,Leicester City,leicester, 
526,T. Bakayoko,Chelsea,london,"2012,1948,1908,"
527,M. Vecino,Inter,milan, 
528,A. Rebić,Eintracht Frankfurt,frankfurt, 
529,M. Dúbravka,Newcastle United,newcastle upon tyne, 
530,M. Caldara,AC Milan,milan, 
531,J. Weigl,Borussia Dortmund,dortmund, 
532,H. Winks,Tottenham Hotspur,london,"2012,1948,1908,"
533,Jony,Lazio,rome,"1960,"
534,K. Piątek,AC Milan,milan, 
535,Mata,Getafe CF,getafe, 
536,V. Rongier,FC Nantes,nantes, 
537,N. Barella,Inter,milan, 
538,Diogo Jota,Wolverhampton Wanderers,wolverhampton, 
539,J. Gomez,Liverpool,liverpool, 
540,E. Bailly,Manchester United,manchester, 
541,Marcos Llorente,Atlético de Madrid,madrid, 
542,M. Eggestein,SV Werder Bremen,bremen, 
543,M. Dmitrović,SD Eibar,eibar, 
544,M. Marega,FC Porto,porto, 
545,Yeray,Athletic Club de Bilbao,bilbao, 
546,F. Mendy,Real Madrid CF,madrid, 
547,Mario Hermoso,Atlético de Madrid,madrid, 
548,Everton Andrão,Fluminense,rio de janeiro, 
549,Welington Dano,Cruzeiro,belo horizonte, 
550,M. Almirón,Newcastle United,newcastle upon tyne, 
551,Odriozola,Real Madrid CF,madrid, 
552,Carlos Soler,Valencia CF,valencia, 
553,M. Lazzari,Lazio,rome,"1960,"
