,common_entity,entity1,entity2,entity3,entity4
81,Ballad of Frankie Silver,"McCrumb, Sharyn",May,1998,Dutton Adult
82,The Catholic Youth Bible Revised: New American Bible,,August,2005,Saint Mary's Press
83,Keeping Faith: Memoirs of a President,"Carter, Jimmy",October,1982,Bantam Books
84,Talking Leadership: Conversations with Powerful Women,"Hartman, Mary S. (EDT)",February,1999,Rutgers University Press
85,Becoming a Master Student,"Toft, Doug (EDT) and Mancina, Dean (EDT)",January,2010,Cengage Learning
86,The Long Mynd,"Hughes, Edward P.",November,1985,Baen
87,We Drink from Our Own Wells: The Spiritual Journey of a People,"Gutierrez, Gustavo",February,1984,Orbis Books
88,The Potato Garden: A Grower's Guide,"Oster, Maggie and Ehlers, Lesley (ILT)",June,1993,Harmony
89,The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate The Major Developmental Milestones,"American Academy of Pediatrics (COR) and Remer Altmann, Tanya (EDT)",September,2006,Bantam
90,The God of Stones and Spiders: Letters to a Church in Exile,"Colson, Charles",September,1990,Crossway Books
91,The Last Full Measure: The Life and Death of the First Minnesota Volunteers,"Moe, Richard",March,1993,Henry Holt & Co
92,My Dog Tulip,"Ackerley, J. R",February,1990,Poseidon Pr
93,Get a Life: A Novel,"Gordimer, Nadine",November,2005,"Farrar, Straus and Giroux"
94,Silhouette Christmas Stories 1989,"Marilyn Pappano, Lass Small, Bay Matthews, Brittany Young",October,1989,Silhouette
95,On Strike for Christmas: A Novel,"Roberts, Sheila",October,2007,St. Martin's Griffin
96,An American Bestiary,"Haverstock, Mary Sayre",October,1979,Landmark Books Intl
97,My Monster Mama Loves Me So,"Buehner, Mark (ILT) and Leuck, Laura",August,2002,HarperCollins
98,The Microwave Master,"Fandre, Donovan Jon",September,1991,Kqed
99,The English Year: A Personal Selection from Chamber's Book of Days,"Strong, Roy and Oman, Julia Trevelyan",September,1982,Ticknor & Fields
100,Coastal North Carolina and the Outer Banks,,June,1986,"Aerial Photography Services, Inc."
101,Family Pictures: A Novel,"Miller, Sue",April,1990,HarperCollins
102,Alaska Almanac,Alaska Northwest Books,November,2007,Alaska Northwest Books
103,The Stencil Patch,"Martin, Nancy J.",January,1984,Martingale and Company
104,Garden of Tea,"Pallan, Nancy Shumaker",February,2001,Cedco Pub
105,Bringing Back the Bay: The Chesapeake in the Photographs of Marion Warren and the Voices of Its People,"Warren, Marion E. and Warren, Mame",August,1994,The Johns Hopkins University Press
106,The Best Is Yet To Come,"Asmus, Dr. Barry",July,2001,AmeriPress
107,Renewal for All God's People,"Fox, Robert J.",December,1975,"Our Sunday Visitor Inc.,U.S."
108,Disney's Aladdin The Magic Carpet Ride,"Margulies, Teddy Slater, Thompkins, Kenny (ILT), and Eggleston, Gary (ILT)",August,1995,Western Publishing
109,You Say You Want a Revolution : A Story of Information Age Politics,"Hundt, Reed E.",March,2000,Yale University Press
110,Choices,"Settle, Mary Lee",May,1995,Nan A. Talese
111,Super String Games,"Gryski, Camilla and Sankey, Tom (ILT)",March,1988,William Morrow & Co
112,Camelot 30K,"Forward, Robert L.",August,1996,Tor Books
113,Woman: An Intimate Geography,"Angier, Natalie",February,2000,Anchor
114,Changing the World One Smile At a Time,Various,January,2010,Smile Train
115,Sleeper Spy,"Safire, William",August,1995,Random House
116,Don't Throw in the Trowel: 154 Practical Tips and Cheerful Quips on Gardening,"Bender, Texas Bix",March,1999,Gramercy Books
117,The Mirror,"Freed, Lynn",September,1997,Crown
118,The Minimalist Cooks at Home: Recipes That Give You More Flavor from Fewer Ingredients in Less Time,"Bittman, Mark",April,2000,Broadway
119,124 Prayers for Caregivers,"Guntzelman, Joan",September,1995,St Marys Pr
120,The Boy Who Saved the Town,"Seabrooke, Brenda and Burns, Howard M. (ILT)",July,2009,Tidewater Pub
121,The Desire of Ages: God's Greatest Gift,"White, Ellen G.",January,1990,Better Living Publications
122,The Christian Husband: God's Vision for Loving and Caring for Your Wife,"Lepine, Bob",March,1999,Vine Books
123,There's Still a Person in There: The Complete Guide to Treating and Coping with Alzheimer's,"Naythons, Matthew, Castleman, Michael, and Gallagher-Thompson, Dolores",November,2000,Perigee Trade
124,The Other Extreme,"MacGregor, T. J.",December,2001,Pinnacle
125,Exposing the Scoffers: Sign of the End Times,Dr. Joe Van Koevering,January,2001,Good News
126,The Assault on Reason,"Gore, Al",May,2007,"Penguin Press HC, The"
127,Pets Living With Cancer: A Pet Owner's Resource,"Downing, Robin",April,2000,AAHA Press
128,The Gifted Gabaldón Sisters,"Lopez, Lorraine",October,2008,Grand Central Publishing
129,The Good Cigar,"Jeffers, H. P., Gordon, Kevin (ILT), and Gordon, Kevin",October,1996,UNKNO
130,Profit from Your Vacation Home Dream: The Complete Guide to a Savvy Financial and Emotional Investment,"Karpinski, Christine Hrib",July,2005,Kaplan Business
131,The colorful Du Pont Company,"Wingate, P. J",January,1982,Serendipity Press
132,Pippi Longstocking,"Lindgren, Astrid, Glanzman, Louis S. (ILT), and Glanzman, Louis S.",May,1988,Puffin Books
133,Eatsmart: The Nutrition Cookbook You Can't Live Without,"Carper, Jean",January,2004,Jecarper Enterprises
134,The Bourgeois Experience: Victoria to Freud Volume 1: Education of the Senses,"Gay, Peter",November,1985,Oxford University Press
135,Complete Guide to Antiques,Martin Miller,January,2003,Carlton Books
136,Lowfat Cooking For Dummies,"Fischer, Lynn",May,1997,For Dummies
137,Pioneering Ascents,"Mazel, David (EDT)",April,1991,Stackpole Books
138,My Land and My People: The Original Autobiography of His Holiness the Dalai Lama of Tibet,Dalai Lama XIV,December,1997,Grand Central Publishing
139,Tropical Freeze,"Hall, James W.",March,1995,Mysterious Pr
140,Ian Fleming's Master Spy James Bond In For Special Services,John Gardner,January,1982,"Coward, McCann & Geoghegan"
141,God's Eye View: Worshiping Your Way To A Higher Perspective,"Tenney, Tommy",February,2002,Thomas Nelson Inc
142,Do Your Own Drywall: An Illustrated Guide,"Kozloski, A. J.",July,1992,Tab Books
143,Knee Deep in Paradise,"Butler, Brett",May,1996,Hyperion
144,Savannah Seasons,"Terry, Elizabeth and Terry, Alexis",May,1996,Clarkson Potter
145,The Late Great Future,"Gregory, Walter M. Miller, Dillon, John (editors) (Frederik Pohl, and C Fitz Gerald",January,1976,Fawcett Crest
146,Princess Margaret,"Hope, Alice",January,1955,F. Muller
147,Papercraft and paper Fun,"Painter, Lucy",May,2002,Hermes House
148,Geography and Development: A World Regional Approach,FISHER,January,1989,Longman Higher Education Division (a Pearson Education company)
149,Concerning the Spiritual in Art,"Kandinsky, Wassily",June,1977,Dover Publications
150,Democracy in America Volume 1,Alexis de Tocqueville,January,1960,Vintage
151,A Picture Book of Dinosaurs,"Kinnealy, Janice (ILT) and Nemes, Claire",January,1990,Troll Communications Llc
152,Triathlon Training in Four Hours a Week,"Harr, Eric",May,2003,Rodale Books
153,Civilization of Europe in the Renaissance,"Hale, John R.",June,1995,Scribner
154,The All New Ultimate Bread Machine Cookbook: 101 Brand New Irresistible Foolproof Recipes For Family And Friends,"Lacalamita, Tom",October,1999,Atria
155,The Tastemakers,"Lynes, Russell",January,1954,Universal Lib/Grosset&dunlap
156,The Song of the Bird,"De Mello, Anthony",August,1984,Image
157,Tender Mercy for a Mother's Soul: Inspiration to Renew Your Spirit,"Guffey, Angela Thomas",March,2001,Focus on the Family
158,Sex and the Seasoned Woman: Pursuing the Passionate Life,"Sheehy, Gail",January,2006,Random House
159,The Home Alone Survival Guide,"Hammerslough, Jane",January,1993,Trumpet
160,High Crimes,"Finder, Joseph",January,1998,William Morrow
161,Beautiful Creatures,"Garcia, Kami and Stohl, Margaret",September,2010,"Little, Brown Books for Young Readers"
162,First Ladies: From Martha Washington to Laura Bush,"Caroli, Betty Boyd",September,2003,Oxford University Press
163,The Year My Parents Ruined My Life,"Freeman, Martha",September,1999,A Yearling Book-Bantam Doubleday Dell
164,The Butter Did It: A Gastronomic Tale of Love and Murder,"Richman, Phyllis",May,1998,HarperTorch
165,Gourmet Vegetarian Feast: An International Selection of Appetizing Recipes for All Occasions,"Shulman, Martha Rose",May,1987,Healing Art Press
166,Low Cholesterol Cook Book,Sunset Books,January,1990,Sunset Pub Co
167,Winning 'em Over: A New Model for Management in the Age of Persuasion,"Conger, Jay Alden",June,1998,Simon & Schuster
168,Camera Trickery,"Croy, O.R.",January,1977,Focal Press
169,Peel My Love Like an Onion,"Castillo, Ana",September,1999,Doubleday
170,If I Had a Hammer Women's Work,"Martz, Sandra",January,2010,Papier-Mache Press
171,The Martyred,"Kim, Richard E.",January,1965,Pocket Books
172,Who Stole the Wizard of Oz?,"Avi and James, Derek (ILT)",January,1990,Yearling
173,The 1995: What Color Is Your Parachute? A Practical Manual for Job Hunters and Career Changers,"Bolles, Richard Nelson",October,1994,Ten Speed Press
174,Profitable Photography in Digital Age: Strategies for Success,"Heller, Dan",June,2005,Allworth
175,London Bridges: A Novel,"Stevenson, Jane",September,2002,Mariner Books
176,Every Eye Beholds You,"Craughwell, Thomas",January,1998,Quality Paperback Bookclub
177,Living History,"Clinton, Hillary Rodham",June,2003,Simon & Schuster
178,Silver Angel,"Lindsey, Johanna",April,1999,Avon
179,True Work: The Sacred Dimension of Earning a Living,"Toms, Michael, Willis, Justine, and Toms, Justine Willis",February,1998,Harmony
180,Broken Lives : Personal View of the Bosnian Conflict,"STEWART, Lieutenant-Colonel Bob.",January,1993,Harper-Collins
181,Furry Logic: A Guide to Life's Little Challenges,"Seabrook, Jane",December,2003,Ten Speed Press
182,The Lucky Guide to Mastering Any Style: How to Wear Iconic Looks and Make Them Your Own,"France, Kim and Linett, Andrea",October,2008,Avery
183,Kick the Clutter: Clear Out Excess Stuff Without Losing What You Love,Ellen Phillips,January,2007,Rodale Press
184,Arco Making Money in Technical Writing,"Kent, Peter",October,1997,Arco Pub
185,The Other Side of the Story,"Powell, Jody",April,1984,William Morrow & Co
186,Splintered Icon,"Napier, Bill",August,2005,St. Martin's Paperbacks
187,No Place Left Called Home,"Cogswell, James A.",February,1983,Friendship Pr
188,When I Get Bigger,"Mayer, Mercer",November,1999,Random House Books for Young Readers
189,The Book Whisperer: Awakening the Inner Reader in Every Child,"Anderson, Jeff (FRW) and Miller, Donalyn",February,2009,Jossey-Bass
190,Better Homes and Gardens After Work Cook Book,"""Better Homes and Gardens""",March,1974,Better Homes & Gardens Books
191,501 Spanish Verbs,"Kendris, Christopher and Kendris, Theodore N.",May,2003,Barron's Educational Series
192,Memory Makers,"Fields, Doug and Robbins, Duffy",April,1996,Zondervan/Youth Specialties
193,Sexual confidence,"Phillips, Debora",January,1980,Houghton Mifflin
194,Playing The Game,"Sheard, Jim, Armstrong, Wally",April,1998,Thomas Nelson Inc
195,The Book of Outdoor Gardening,"Smith & Hawken (EDT) and Anderson, Jim (ILT)",January,1996,Workman Publishing
196,Life in the Meadow,"Curran, Eileen",March,1987,Troll Communications Llc
197,The Crystal Skull,"Scott, Manda",February,2009,Bantam
198,Dancers in the Afterglow,Jack L. Chalker,August,1978,Del Rey / Ballantine
199,On the Up and Up: A Survival Guide for Women Living with Men on the Down Low,"Hunter, Karen and Browder, Brenda Stone",February,2005,Kensington
200,The Stuntwoman's Workout: Get Your Body Ready for Anything,"Burgio, Danielle and Worick, Jennifer (CON)",March,2005,Quirk Books
201,Target Hitler: The Plots to Kill Adolf Hitler,"Duffy, James P. and Ricci, Vincent L.",August,1992,Praeger
202,Crazy Time: Surviving Divorce,"Trafford, Abigail",September,1982,Harpercollins
203,Nighttime Is My Time,"Clark, Mary Higgins",April,2004,Simon & Schuster
204,When Christ and His Saints Slept: A Novel,"Penman, Sharon Kay",February,1996,Ballantine Books
205,The Sweetwater Saga,Roxanne Dent,September,1979,Signet
206,Vegetables: Artichokes to Zucchini,"Famularo, Joe and Imperiale, Louise",September,1993,B E S Pub Co
207,The Prize: A Collection of Stories,"Weedn, Flavia",June,1983,Our Sentiments Exactly
208,Will This Do?: An Autobiography,"Waugh, Auberon",May,1998,Da Capo Press
209,Birds in Your Backyard,"Dolezal, Robert J.",October,2004,Readers Digest
210,What I Know Now: Letters to My Younger Self,"Spragins, Ellyn (EDT)",April,2008,Harmony
211,The Worst Case Scenario Survival Handbook: Travel,"Borgenicht, David and Piven, Joshua",April,2001,Chronicle Books
212,War Is a Force that Gives Us Meaning,"Hedges, Chris",June,2003,Anchor
213,Stainless Steal Hearts,"Kraus, Harry Lee",June,1994,Crossway
214,Mandarin,"Elegant, Robert",September,1983,Simon & Schuster
215,The Underground Man,"MacDonald, Ross",January,1971,Alfred A. Knopf
216,Writing in General and the Short Story in Particular: An Informal Textbook,"Hills, L. Rust",June,1987,Houghton Mifflin Harcourt
217,Bug in a Rug,Sue Graves,January,2006,Book-Studio
218,Serenity,"Kraus, Harry Lee",July,2002,Crossway Books
219,Daily Candy A to Z: An Insider's Guide to the Sweet Life,,April,2006,Hyperion
220,Type 2 Diabetes for Beginners,"Barrier, Phyllis",February,2005,American Diabetes Association
221,The Oil Factor: Protect Yourself and Profit from the Coming EnergyCrisis,"Leeb, Stephen and Leeb, Donna",February,2005,Warner Business Books
222,The Christmas story,"Watson, Jane Werner",January,1972,Golden Press
223,We Would See Jesus,"Hession, Roy",June,1964,Christian Literature Crusade
224,The Best American Travel Writing 2007,"Wilson, Jason (EDT) and Orlean, Susan (EDT)",October,2007,Mariner Books
225,The Husband,"Koontz, Dean R.",May,2007,Bantam
226,Angels Among Us,"Alabama and Shin, Laura (EDT)",May,1998,MIRA
227,Ultimate Questions,John Blanchard,June,1992,Evangelical Press
228,Diplomats and Demagogues: The Memoirs of Spruille Braden,"Braden, Spruille",January,1971,Arlington House
229,The Covenant In Action,"Smiley, Tavis (COM)",February,2007,Smiley Books
230,A Bear for All Seasons,"Brown, Kathryn (ILT) and Fuchs, Diane Marcial",October,1995,Henry Holt and Co. (BYR)
231,The Ultimate Joke Book: 100s of Great Clean Jokes,"Harmon, Daniel E.",January,2002,"Barbour Publishing, Incorporated"
232,The Magdalene Cipher,JIM HOUGAN,January,2000,Avon Books
233,High Crimes: A Novel,"Finder, Joseph",March,2011,St. Martin's Paperbacks
234,American Red Cross standard first aid: Workbook,American Red  Cross,January,1988,American Red Cross
235,Office XP For Dummies,"Wang, Wally",May,2001,For Dummies
236,Microcomputer dictionary,"Sippl, Charles J.,",January,1981,"Howard W. Sams & Co., Inc."
237,Smile On The Void,"Gordon, Stuart",September,1982,Berkley
238,Maggie Bean Stays Afloat,"Rayburn, Tricia",May,2008,Aladdin
239,Great Ideas And Theories Of Modern Cosmology,"Singh, Jagjit",January,1961,Dover Publications Inc.
240,Poems Of Childhood,Rh Value Publishing,December,1988,Random House Value Publishing
241,Wall Street Words: An Essential A to Z Guide for Today's Investor,"Scott, David L.",July,1997,Houghton Mifflin (P)
242,The Everything Baby Shower Book,"Jenkins, Jennifer",March,2000,Everything
243,Magic's Price,"Lackey, Mercedes",July,1990,DAW
244,Until Proven Innocent,"Kelly, Susan",July,1990,Villard
245,The Book of Courtly Love: The Passionate Code of the Troubadours,"Hopkins, Andrea",November,1994,HarperCollins
246,Chapman Piloting 52ED,"Chapman, Charles F.",January,1976,Motor Boating Sailing Co
247,Personal Finance for Seniors,frank-w-cawood-and-associates-staf,January,2005,FC & A
248,Macroeconomics,Robert C. Bingham~William B. Walstad,August,1992,McGraw-Hill Companies
249,Mastering Serial Communications,"Gofton, Peter W.",November,2000,Sybex Inc
250,Dog Heroes,Karl Meyer,January,2008,Storey Publishing
251,J Is for Judgment,"Grafton, Sue",June,1997,Ballantine Books
252,And Still We Rise: Interviews With 50 Black Role Models,"Reynolds, Barbara A.",February,1988,USA Today Books
253,A Three Dog Life: A Memoir,"Thomas, Abigail",September,2006,"Harcourt, Inc."
254,Everything Bartender,"Resnick, Jane Parker",August,1997,Everything
255,Aircraft Owners Handbook,"Foster, Timothy R.V.",April,1979,Van Nostrand Reinhold/co Wiley
256,Decorating cakes and Cookies,"Jenne, Gerhard",January,1998,Ryland Peters & Small
257,Natural Healing Foods Encyclopedia,FC A,December,1993,FC&A Publishing
258,The Depression Sourcebook,"Quinn, Brian",April,2000,McGraw-Hill
259,The Pollinators of Eden,John Boyd,January,1969,Weybright and Talley
260,Hour of the Horde,"Dickson, Gordon R.",August,1978,DAW
261,Wall Coverings,Sunset,October,1982,Sunset Pub Co
262,Putting Amazing Back into Grace: Embracing the Heart of the Gospel,"Packer, J. I. (FRW) and Horton, Michael Scott",May,2002,Baker Books
263,A Hovering of Vultures,"Barnard, Robert",September,1993,Scribner/Macmillan
264,Basic Portrait Techniques,"Wolf, Rachel (EDT) and Rubin Wolf, Rachel (EDT)",February,1994,North Light Books
265,Ventus,"Schroeder, Karl",December,2000,Tor Books
266,365 Ways to Prepare for Christmas,"Monn, David E.",September,1993,HarperCollins
267,Mel Bay presents Blues Harp,"Duncan, Phil",June,1993,Mel Bay Publications
268,The Dark Side of Camelot,"Hersh, Seymour M.",September,1998,Back Bay Books
269,The Very Large Church: New Rules for Leaders,"Schaller, Lyle E.",May,2000,Abingdon Press
270,Heart of the Home: Notes From a Vineyard Kitchen,"Branch, Susan",October,1986,"Little, Brown and Company"
271,The practice of social research,"Babbie, Earl",January,1983,Wadsworth Pub. Co
272,Looking Back: A Book of Memories,"Lowry, Lois",March,2000,Delacorte Books for Young Readers
273,Clifford's Bathtime,"Bridwell, Norman",September,1991,Cartwheel
274,Best New American Voices 2001,"Kulka, John (EDT), Danford, Natalie (EDT), and Baxter, Charles (EDT)",November,2001,Harvest Books
275,Glow: A Prescription for Radiant Health and Beauty,"Pirello, Christina",November,2001,HP Books
276,How Will the Easter Bunny Know?,"Weston, Martha (ILT) and Winters, Kay",February,1999,Yearling
277,Good News Travels Fast,"Flinn, Lisa and Younger, Barbara",January,2002,Abingdon Press
278,East of the Sun and West of the Moon,"Hague, Kathleen, Hague, Michael, and Asbjornsen, Peter Christen",August,1989,Voyager Books
279,Pocket Guide to Herbs,"Kruger, Anna",January,1997,Trafalgar Square
280,The Block,"Litwin, Bob, Silverman, Chip",June,1997,Scribe Publishing
281,Don't Say Yes When You Want to Say No: Making Life Right When It Feels All Wrong,"Fensterheim, Herbert and Baer, Jean",October,1975,Dell
282,The Bad Girl's Guide to Getting What You Want,"Tuttle, Cameron and Bettag, Susannah (ILT)",October,2000,Chronicle Books
283,Mysteries of the Deep,"Thorndike, Joseph",January,1980,American Heritage
284,Parenthood: Who's Raising Whom? Strategies for Saving Your Sanity,"Thomson, Michael M.",December,1994,McLean Pub Group
285,The Hundred Secret Senses,"Tan, Amy",October,1995,G. P. Putnam's Sons
286,Behind the Scenes at the Museum,"Atkinson, Kate",June,1998,Black Swan
287,Wallys Workshop P,"W.brunner, Pan media produ",October,1974,Fireside
288,My Spy: Memoir of a Cia Wife,"Kiyonaga, Bina Cady",March,2000,William Morrow
289,Lonely Planet Egyptian Arabic Phrasebook,"Wayne, Scott",October,1990,Lonely Planet
290,Old Murders,"Whalley, Peter",December,1988,Doubleday
291,Bella Tuscany: The Sweet Life in Italy,"Mayes, Frances",April,1999,Broadway
292,Guide to Writing Sociology Papers,"Sociology Writing Group, Richlin-Klonsky, Judith (EDT), Strenski, Ellen (EDT), Giarrusso, Roseann (EDT), and University of California, Los Angeles Sociology Writing Group (COR)",July,1997,Worth Pub
293,Compass Rose,"Casey, John",October,2010,Knopf
294,Weight Watchers Favorite Recipes,Weight Watchers International,March,1988,Plume
295,Steam Locomotives,"Kalla-Bishop, P. M. and Greggio, Luciano",December,1985,Crescent
296,The Bread Machine Book,"Lambert, Marjie",March,1996,Chartwell Books
297,What Would Jesus Do?,"Morris, Deborah and Sheldon, Garrett W.",January,1998,B & H Pub Group
298,Maasai,"Saitoti, Tepilit Ole",September,1980,Harry N Abrams Inc
299,Understanding Ballet,"Clarke, Mary and Crisp, Clement",March,1978,Harmony Books
300,Why Can't Men Open Up: Overcoming Men's Fear of Intimacy,"Naifeh, Steven and Smith, Gregory White",May,1984,Crown Publishing Group
301,If I Live to Be 100: Lessons from the Centenarians,"Ellis, Neenah",September,2002,Crown
302,Simply Stylish Flowers,"Vaughan, Mary Jane",January,1998,Trafalgar Square Pub
303,Spider's Web: The Secret History of How the White House Illegally Armed Iraq,"Friedman, Alan",October,1993,Bantam
304,Ghost Canoe,"Hobbs, Will",July,1998,Avon Books
305,Skyward: Why Flyers Fly,"Munson, Russell",October,1989,Howell Pr
306,Hot Ice: A Novel,"Roberts, Nora",August,1987,Bantam
307,Lean Mean Urkell Machine,"Worth, Bonnie",February,1992,Dell Pub Co
308,Portraits of Guilt,"Boylan, Jeanne",June,2000,Atria
