,common_entity,entity1,entity2,entity3,rag_text
47,praise you in this storm,casting crowns,2005,pop/rock,"""Praise You In This Storm"" is a song recorded by contemporary Christian music band Casting Crowns, released by Beach Street and Reunion Records. Written by Mark Hall and Bernie Herms and produced by Mark A. Miller, it was released on January 28, 2006, as the second radio single from the band's 2005 album Lifesong. Inspired by the band's experience with a girl, Erin Browning, who died of cancer, the song has the lyrical theme of maintaining faith through difficult circumstances. A power ballad, ""Praise You In This Storm"" incorporates a wall of sound dynamic into its alternative CCM and adult alternative sound.
""Praise You In This Storm"" received positive reviews from music critics, who praised the song's sound and lyrical theme. It was nominated for two awards at the 38th GMA Dove Awards, winning the award for Pop/Contemporary Recorded Song of the Year. It peaked at number one on the Billboard Hot Christian Songs and Hot Christian AC charts and also topped the Radio & Records Christian AC and Soft AC/Inspirational charts. It has been certified Platinum by the Recording Industry Association of America (RIAA), signifying sales of over 1,000,000 digital downloads in the United States. It was included on WOW Hits 2008."
48,don't be afraid (mi fovasai),terror x crew,2012,hip hop/reggae,
49,romeo had juliette,lou reed,1989,pop/rock,
50,lush life,nat king cole,1991,blues/jazz,
51,the time is now,jimmy durante,1964,blues/jazz,
52,if the stars were mine,melody gardot,2009,blues/jazz,
53,today,the louvin brothers,1959,country/folk,
54,weep no more,bad company,1975,blues/jazz,
55,expecting,the white stripes,2001,blues/jazz,
56,you can't fall up (you just fall down),tower of power,1991,blues/jazz,
57,with a song in my heart,doris day,1954,blues/jazz,
58,"a new machine, pt. 1",pink floyd,1987,pop/rock,
59,she said she said,chris smither,2018,blues/jazz,
60,the hunter gets captured by the game,the marvelettes,1967,pop/rock,"""The Hunter Gets Captured by the Game"" is a 1966 song written by Smokey Robinson. It was a hit single in 1967 for the American girl group The Marvelettes for the Motown label, from their self-titled album released that same year."
61,i'm so happy now,the young rascals,1967,pop/rock,
62,authority song,john mellencamp,1983,pop/rock,
63,the becoming,nine inch nails,1994,pop/rock,
64,long stick goes boom,krokus,1982,blues/jazz,"Long Stick Goes Boom: Live From Da House of Rust (also known as Long Stick Goes Boom - Live From Da House of Rust and by other titles) is a live album by melodic hard rock band Krokus. Released on 24 March 2014 in Europe and 22 April 2014 in North America by the label Columbia, it was recorded on August 30, 2013 at the ""House of Rust"" venue in Solothurn, Switzerland. The album has received praise from publications such as Allmusic and Blabbermouth.net, and it peaked at the #3 position on the official Swiss album chart."
65,standing on the edge of goodbye,john berry,2006,country/folk,"""Standing on the Edge of Goodbye"" is a song co-written and recorded by American country music artist John Berry.  It was released in February 1995 as the first single from the album Standing on the Edge.  The song reached number 2 on the Billboard Hot Country Singles & Tracks chart.  It was written by Berry and Stewart Harris."
66,let's spend the night together,muddy waters,1968,blues/jazz,
67,do you feel what i dub?,too rude,1999,country/folk,
68,our love,rhett miller,2002,country/folk,
69,i got a letter (this morning),john lee hooker,1962,pop/rock,
70,plain as the pain on my face,eddie rabbitt,1978,country/folk,
71,i'll spend my life with you,the monkees,1967,pop/rock,
72,put your hand in the hand,donny hathaway,1971,blues/jazz,
73,a lover's concerto,sarah vaughan,1966,blues/jazz,
74,can't turn back the years,phil collins,1993,pop/rock,
75,give it to me,homeshake,2015,pop/rock,
76,built for comfort,ufo,1974,blues/jazz,
77,it's the way you make me feel,steps,1998,pop/rock,
78,everyday,lucy pearl,2000,pop/rock,
79,the blues come around,hank williams,1985,country/folk,"""The Blues Come Around"" is a song written and recorded by Hank Williams for MGM Records.  It was released as the B-side to the single ""I'm a Long Gone Daddy"" in June 1948.  It was recorded at Castle Studio in Nashville with Fred Rose producing and backing from Jerry Byrd (steel guitar), Robert ""Chubby"" Wise (fiddle), Zeke Turner (lead guitar), probably Louis Innis (bass) and either Owen Bradley or Rose on piano. Waylon Jennings recorded the song for his 1992 album Ol' Waylon Sings Ol' Hank."
80,blue skies,ella fitzgerald,1959,blues/jazz,
81,the drugs,the holdup,2011,country/folk,
82,dreams,bodeans,1987,pop/rock,
83,journey from mariabronn,kansas,1974,pop/rock,
84,love don't live here anymore,faith evans,1995,pop/rock,"""Love Don't Live Here Anymore"" is a song written by Miles Gregory and originally recorded by Rose Royce. It was produced by former Motown songwriter and producer Norman Whitfield for Whitfield Records. Lead vocals were sung by Gwen Dickey and the song was released as the second single from their third studio album Strikes Again. The song was developed as a result of producer Whitfield's interest to work with Paul Buckmaster, the British arranger and composer. Together they asked songwriter Miles Gregory to write a song for them. Gregory's undergoing medical care for his deteriorating physical health became the inspiration behind the song. ""Love Don't Live Here Anymore"" incorporated the use of the Pollard Syndrum TwinDrum, and was one of the first songs to effectively use the sound reverbs of the instrument. The song was mainly recorded at music contractor Gene Bianco's house, where Dickey was present during the recording.
After its release, the song was critically appreciated, but was only moderately successful commercially. It reached a peak of 32 on the Billboard Hot 100 and five on the Hot Black Singles chart. It achieved its highest position in both New Zealand and the United Kingdom, where it reached number two. ""Love Don't Live Here Anymore"" has been covered by a number of artists, including Madonna, Morrissey–Mullen, Jimmy Nail, and Faith Evans. Madonna's version was included in her second studio album Like a Virgin (1984), and it was the idea of Michael Ostin, the head of the A&R department of Warner Bros. Records, that Madonna record a cover version of the song to include in the album. A remix of Madonna's cover was included in her 1995 ballad compilation album Something to Remember.
The original and the remixed version of the Madonna song differ in that the latter uses more classical instruments. The 1995 version also received a number of club remix treatments. Critics were not impressed with the version present in Like a Virgin, calling it ""awful"", while they warmed to the version present in Something to Remember. However, it was a commercial disappointment, reaching a peak of only 78 on the Billboard Hot 100. It was promoted by a music video shot by Jean-Baptiste Mondino, which portrayed Madonna in an empty suite of an abandoned hotel, and was shot in a single take."
85,outta my face,pepper,2006,country/folk,
86,900 miles,terry callier,1968,blues/jazz,
87,neon gravestones,twenty one pilots,2018,pop/rock,"""Neon Gravestones"" is a song by American musical duo Twenty One Pilots. It is the seventh track from their fifth studio album, Trench (2018). Tyler Joseph, the frontman of the band, wrote the song and produced it with Paul Meany. It is a hip hop piano ballad which confronts the glorification of suicide by media.
Upon the album's release, ""Neon Gravestones"" attracted some controversy in the media for its take on suicide. Nevertheless, the song received generally positive reviews from music critics. It was a part of the set list for the band's Bandito Tour (2018–2019), and Joseph also performed a piano version of the song for BBC Radio 1's Live Lounge on November 2, 2018."
88,sweat shock,j. roddy walston & the business,2013,blues/jazz,
89,let him go,bob marley & the wailers,1977,country/folk,
90,killamonjaro,killy,2017,hip hop/reggae,"Khalil Tatem (born August 19, 1997), better known by his stage name Killy (stylized as KILLY), is a Canadian rapper from Toronto. He is best known for his break-out single ""Killamonjaro"" which is certified Platinum by Music Canada, and his debut album ""Surrender Your Soul"" which is certified Gold by Music Canada.

"
91,the revolution will be televised,jeff beck,2016,blues/jazz,
92,something kinda funny,spice girls,1996,pop/rock,"Spice is the debut studio album by English girl group the Spice Girls, released in Japan on 19 September 1996 and in the United Kingdom on 4 November 1996 by Virgin Records. The album was recorded between 1995 and 1996 at Olympic Studios in Barnes, London, and Strongroom Studios in Shoreditch, London, by producers Matt Rowe and Richard Stannard, and the production duo Absolute. Spice is a pop album that incorporates styles such as dance, R&B and hip hop. It is considered to be the record that brought teen pop back, opening the doors for a wave of teen pop artists. Conceptually, the album centered on the idea of Girl Power, and the hype surrounding the group was compared to Beatlemania.
A worldwide commercial success, Spice topped the charts in more than 17 countries across the world, and was certified Multi-Platinum in 27 countries, Platinum in 14 countries and Gold in three countries, including 10-times Platinum in the United Kingdom and Canada, eight-times Platinum in Europe, and seven-times Platinum in the United States. It became the world's top-selling album of 1997, selling 19 million copies in over a year. The album has sold a total of 23 million copies worldwide, becoming the best-selling album in music history by a girl group and one of the best-selling albums of all time.
Four singles were released from the album. The lead single, ""Wannabe"", reached number one in 37 countries, becoming one of the best-selling singles of all time as of 2010 by selling over six million copies worldwide. The next two singles, ""Say You'll Be There"" and ""2 Become 1"", reached number one in 53 countries. ""Who Do You Think You Are"" was released as the official Comic Relief single in the UK as a double A-side with ""Mama"" and both songs reached the top 20 in charts across Europe, Australia and New Zealand. In the band's native UK, all four singles went to number one on the UK Singles Chart and, on the Billboard Hot 100, the album spawned three top-five singles.

"
93,hop up,k kutta,2017,hip hop/reggae,
94,chanting,john holt,1983,country/folk,
95,tongues,joywave,2015,pop/rock,"""Tongues"" is a song by American indie rock band Joywave and American electronic music band KOPPS. The song was released independently on April 9, 2013 and then through Cultco Music and Hollywood Records on February 9, 2014, was featured on the band's second extended play How Do You Feel?, their second mixtape 88888, and appeared on the band's debut studio album How Do You Feel Now?. The official music video for the song was uploaded on May 27, 2014 to the band's Vevo channel on YouTube. The song has been remixed by several artists, including Giorgio Moroder and Big Data. The song was featured on the soundtrack for the video game FIFA 15 and appears in a Nexus 6P advertisement."
96,"steady, as she goes",the raconteurs,2006,blues/jazz,"""Steady, As She Goes"" is the debut single of American rock band the Raconteurs from their first album, Broken Boy Soldiers (2006). In early 2006, a limited-edition 7-inch vinyl record was released as a double A-sided single with the relatively unpromoted ""Store Bought Bones"" as the flipside. A CD version of ""Steady, As She Goes"" was released on April 24, 2006, with the B-side ""Bane Rendition"". Two further vinyl releases were produced: the first (marked 'B') with ""Store Bought Bones"" as the B-side; the second (marked 'C') an acoustic rendition of ""Steady, As She Goes"" with ""Call It a Day"" as the B-side.
In the United States, the song reached number 54 on the Billboard Hot 100 and number one on the Modern Rock Tracks chart. It achieved top-10 success in the UK and Denmark, peaking at number four in both countries."
97,fats,thin lizzy,1981,blues/jazz,
98,thank you for the feelin',bachman-turner overdrive,1989,country/folk,
99,loving arms,kris kristofferson,1973,country/folk,"""Loving Arms"" is a song written by Tom Jans and first recorded as a duet by Kris Kristofferson and Rita Coolidge for their 1973 album Full Moon.
The song was notably covered by Dobie Gray that same year, then by a number of artists including Elvis Presley and Petula Clark in 1974."
100,anything goes,florida georgia line,2014,pop/rock,
101,oh love (live),prince buster,1967,country/folk,
102,do the grind,earl king,2006,blues/jazz,
103,"open your eyes, you can fly",lizz wright,2003,blues/jazz,
104,lonely and gone,montgomery gentry,1999,country/folk,
105,that's not my name,the ting tings,2008,pop/rock,"""That's Not My Name"" is the debut single of British musical duo the Ting Tings. The song was originally released as a double A-side with ""Great DJ"" by independent record label Switchflicker Records on 28 May 2007. After heavy promotion from BBC Radio 1 and the NME, the single was re-released individually on 12 May 2008 on Columbia Records. It was later included on their first studio album, We Started Nothing (2008).
Following the Columbia re-release, ""That's Not My Name"" debuted atop the UK Singles Chart, seeing off competition from well-established acts like Rihanna, Madonna, and will.i.am. The song was a sleeper hit in North America, peaking within the top 40 of the charts in the United States in August 2009. The single has sold over a million digital copies."
106,you gots to chill,epmd,2010,hip hop/reggae,"""You Gots to Chill"" is a song by EPMD, released as a single from their 1988 debut album Strictly Business. It reached number 22 on the U.S. R&B chart. The song prominently features a sample from ""More Bounce to the Ounce"" by Zapp and ""Jungle Boogie"" by Kool & the Gang. This song is widely considered a hip hop classic and has been paid homage by various rappers who have quoted the lyrics to this song in their own music, including Snoop Dogg and LL Cool J, among others. It was number 74 on VH1's 100 Greatest Hip Hop Songs"
107,made to love you,gary wright,1975,country/folk,
108,i've been a long time leavin' (but i'll be a long time gone),roger miller,1995,country/folk,
109,cha cha cha d´amour,dean martin,1962,blues/jazz,"Cha Cha de Amor is an album consisting of the last tracks recorded by Dean Martin for Capitol Records, released in 1962. After recording these sessions, Martin joined Frank Sinatra's Reprise Records label. This album's songs were recorded between December 18 and December 20 of 1961. Cha Cha de Amor was released on November 5, 1962 (see 1962 in music). The backing orchestra was conducted and arranged by Nelson Riddle. The album consists of twelve songs built upon an ""authentic Afro-Cuban rhythm section."""
110,why must i cry,peter tosh,1976,country/folk,"Legalize It is the debut studio album by Jamaican singer-songwriter and former Wailer Peter Tosh, released in June 1976. It was recorded at Treasure Isle and Randy's, Kingston.Legalize It is one of the two solo albums released in 1976 by Wailers members, along with Bunny Wailer's album Blackheart Man.  Bob Marley and his new Wailers also released Rastaman Vibration.
The song was written in response to his ongoing victimization by the Jamaican police and as a political piece pushing for the legalization of cannabis, particularly for medical use. In 1977, Tosh backed this up by saying ""We are the victims of Rasclot circumstances. Victimization, colonialism, gonna lead to bloodbath"". Tosh also said ""Herb will become like cigarettes"", in an NME interview in 1978.

"
111,you and me,soja,2010,country/folk,
112,it's good to see you,don williams,1980,country/folk,
113,crying games,lucky dube,1999,country/folk,
114,armistice day,paul simon,1972,pop/rock,
115,forget that girl,the monkees,1967,pop/rock,
116,y control,yeah yeah yeahs,2003,pop/rock,"""Y Control"" is a single by Yeah Yeah Yeahs, from their debut album Fever to Tell. Some say the name of the song refers to the emotional control of a female, referring to the male Y chromosome, though this is only personal interpretation. The song's music video was controversial for its disturbing imagery; nonetheless, it received some play on MTV and its sister station, MTV2. The song is part of the soundtrack of the 2009 video game Dirt 2."
117,frame by frame,king crimson,1981,blues/jazz,
118,surfin' bird,the cramps,1989,blues/jazz,
119,cordelia brown,harry belafonte,1957,pop/rock,
120,i can't get started with you,steve tyrell,1999,blues/jazz,
121,i am the one you warned me of,blue öyster cult,1988,blues/jazz,
122,sometimes,erasure,1987,pop/rock,
123,al capone,michael jackson,1987,pop/rock,
124,right on time,red hot chili peppers,1999,pop/rock,
125,two lives,bonnie raitt,1977,pop/rock,
126,the lonely side of love,patty loveless,1988,country/folk,
127,i know the way to you by heart,vern gosdin,1985,country/folk,
128,cold sweat,thin lizzy,1983,blues/jazz,
129,freedom death dance,eugene mcdaniels,1971,blues/jazz,
130,biohazard,massacre,1991,blues/jazz,
131,screaming and yelling,carole king,1975,pop/rock,
132,pure and simple,lynyrd skynyrd,1991,blues/jazz,
133,i just wanna run,the downtown fiction,2010,pop/rock,
134,her man,waylon jennings,1990,country/folk,"""Her Man"" is a song written by Kent Robbins. Originally recorded by American country music artist Waylon Jennings on his 1990 album The Eagle, it was later covered in 1996 by Gary Allan on his debut album Used Heart for Sale. Allan's version was released in August 1996 as his debut single and as the album's first. His rendition peaked at number 7 on the US country singles charts and number 9 in Canada."
135,can't use me,john holt,1983,country/folk,
136,downtown tonight,tyler bryant & the shakedown,2013,blues/jazz,
137,time will show the wiser,fairport convention,1968,country/folk,
138,reach out for me,nancy wilson,1965,blues/jazz,
139,down the line,ricky nelson,1958,pop/rock,
140,text me texas,chris young,2013,country/folk,
141,come closer,mishka,2013,country/folk,
142,monk time,the monks,1966,blues/jazz,
143,freak of the week,marvelous 3,1998,pop/rock,
144,parabol,tool,2001,pop/rock,"""Parabola"" is a song by American rock band Tool. The song was released as the second single from their third studio album Lateralus. Initially released in 2002 as a promo only, the single was re-released on December 20, 2005, which includes the song and a DVD containing the music video and an optional ""dual"" audio commentary on the video by Jello Biafra of Dead Kennedys. The dual commentary consists of two separate recordings of Biafra's voice, one playing in each stereo channel. The DVD was released alongside a DVD single for ""Schism"" as well. The song uses a modified drop-B tuning for the guitars.
The song is featured on the video game Guitar Hero World Tour. The song was played onboard Space Shuttle mission STS-130, as a wake-up call for astronaut Robert Behnken.

"
145,i call your name,the beatles,1988,pop/rock,"""I Call Your Name"" is a song recorded by the English rock band the Beatles and credited to Lennon–McCartney. It was written primarily by John Lennon, with assistance from Paul McCartney. It was released in the US on The Beatles' Second Album on 10 April 1964 and in the UK on the Long Tall Sally EP on 19 June 1964. On 7 March 1988, the song appeared on Past Masters, a compilation album that includes every song commercially released by the band that was neither included on the 12 UK studio albums nor the US Magical Mystery Tour LP, meaning that ""I Call Your Name"" appeared for the first time on a core catalogue album."
146,beach bummer,no vacation,2015,pop/rock,
147,save a little room in your heart,eddie money,1977,pop/rock,
148,khanke to khanke,mohammed rafi,1955,pop/rock,
149,boulevard of broken dreams,esquivel!,1959,pop/rock,
150,run away with me,carly rae jepsen,2015,pop/rock,"""Run Away with Me"" is a song by Canadian singer Carly Rae Jepsen. It was released as the second single from her third studio album Emotion on July 17, 2015, by Universal Music Group. The song was written by Jepsen, Mattman & Robin (credited as Mattias Larsson and Robin Fredriksson), Jonnali Parmenius, Oscar Holter, and Shellback. Produced by Mattman & Robin and Shellback, ""Run Away with Me"" is a dance-pop and synth-pop tune with an upbeat production containing a distorted, reverbed saxophone riff.
""Run Away with Me"" was accompanied by a DIY music video filmed by Jepsen's then-partner David Kalani Larkins in Paris, Tokyo and New York City, which also premiered in July 2015. The song was only a minor success in the charts, but was met with widespread critical acclaim."
151,your cash ain't nothin' but trash,the clovers,1991,blues/jazz,
152,gladiator,zayde wølf,2018,pop/rock,
153,the story of my love,conway twitty,1959,country/folk,
154,go on blues,johnny cash,1976,country/folk,
155,hurry home,jason michael carroll,2009,country/folk,
156,bobby brown goes down,frank zappa,1979,blues/jazz,"""Bobby Brown (Goes Down)"" is a song by American musician Frank Zappa released on his double album Sheik Yerbouti (1979). One of his best known songs, it was hugely successful in Europe. It was a number-one-hit in Norway and Sweden and placed at number 4 in the German charts, where it sold more than 250,000 units. This song was more successful in Europe than the United States (the song's pervasive sexual content made it unfit for broadcast on U.S. radio) and this is why it is only featured on the vinyl and European CD version of Zappa's best of compilation, Strictly Commercial (1995)."
157,intro,todd rundgren,1972,pop/rock,
158,night time is the right time,aretha franklin,1968,blues/jazz,
159,(the man who shot) liberty valance,gene pitney,1972,pop/rock,"""(The Man Who Shot) Liberty Valance"" is a song written by Burt Bacharach and Hal David, which was released by Gene Pitney in 1962. It spent 13 weeks on the Billboard Hot 100 chart, peaking at No. 4, while reaching No. 2 on Canada's CHUM Hit Parade, and No. 4 on New Zealand's ""Lever Hit Parade"".Although it was not used in the film, The Man Who Shot Liberty Valance, there is disagreement about whether the song had been intended to appear in it. Nevertheless, Pitney stated that the recording session was paid for by Paramount, and that it was midway through the effort when he found out that the song was not going to be included in the film; one of the orchestra members told him that the movie had been released.  Session drummer Gary Chester played on the recording.The Pitney and the Jimmie Rodgers versions of the song are noted for a solo violin that plays in the upper register. Both versions are noteworthy for the chorus, where a quick half-second strike on the tympani is heard, depicting the gun shots, which go:
""The man who shot Liberty Valance, (bong)
He shot Liberty Valance, (bong),
He was the bravest of them all"".
The first verse describes the outlaw's intimidating presence and ability with a gun, the second focuses on the man who comes to town prepared to defeat Valance with the law alone. Further along we learn how the law-book toting hero falls in love with a girl who, when he is forced to confront Valance, waits alone and prays, knowing that: ""When two men go and face (or ""fight"") each other, only one returns"". The lyrics generally parallel the film’s plot with some exceptions. In the film, Ransom Stoddard, the lawyer thought to have shot Valance, never remained in town because of “the love of a girl.” Stoddard stayed out of stubbornness. And although “the girl,” Hallie, was attracted to Stoddard more than to her beau, Tom Doniphon, and worried about Stoddard facing Valance, she is never depicted praying for Stoddard or discouraging him from dueling.
The song was ranked No. 36 in the Western Writers of America's list of the top 100 Western songs of all time, as compiled from a survey of its members.Jimmie Rodgers released a cover similar in form to the Gene Pitney version.
The Greg Kihn Band included their take on their 1980 album Glass House Rock.
James Taylor  recorded it for his 1985 album That's Why I'm Here.

"
160,crawling king snake,george thorogood & the destroyers,1985,blues/jazz,
161,the man that i've been,cory morrow,1993,country/folk,
162,fantastic voyage (lil stayne mix),coolio,2008,hip hop/reggae,
163,4:20,method man,2018,hip hop/reggae,
164,everything i am,kanye west,2007,pop/rock,
165,world without you,belinda carlisle,1987,pop/rock,
