,rag,common_entity,entity1,entity2,entity3,entity4
51,손흥민 孙兴慜,H. Son,Tottenham Hotspur,7,Korea Republic,English Premier League
52,Carlos Henrique Venancio Casimiro,Casemiro,Real Madrid CF,14,Brazil,Spain Primera Division
53,Aymeric Laporte,A. Laporte,Manchester City,14,France,English Premier League
54,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,Manchester City,20,Portugal,English Premier League
55,Ivan Rakitić,I. Rakitić,FC Barcelona,4,Croatia,Spain Primera Division
56,Miralem Pjanić,M. Pjanić,Juventus,5,Bosnia and Herzegovina,Italian Serie A
57,Ángel Fabián Di María Hernández,Á. Di María,Paris Saint-Germain,11,Argentina,French Ligue 1
58,Leonardo Bonucci,L. Bonucci,Juventus,19,Italy,Italian Serie A
59,Wojciech Tomasz Szczęsny,W. Szczęsny,Juventus,1,Poland,Italian Serie A
60,Philippe Coutinho Correia,Coutinho,FC Bayern München,10,Brazil,German 1. Bundesliga
61,Daniel Parejo Muñoz,Parejo,Valencia CF,10,Spain,Spain Primera Division
62,Thomas Müller,T. Müller,FC Bayern München,25,Germany,German 1. Bundesliga
63,Ciro Immobile,C. Immobile,Lazio,17,Italy,Italian Serie A
64,Alexandre Lacazette,A. Lacazette,Arsenal,9,France,English Premier League
65,Francisco Román Alarcón Suárez,Isco,Real Madrid CF,22,Spain,Spain Primera Division
66,Marco Verratti,M. Verratti,Paris Saint-Germain,6,Italy,French Ligue 1
67,Roberto Firmino Barbosa de Oliveira,Roberto Firmino,Liverpool,9,Brazil,English Premier League
68,Samuel Yves Umtiti,S. Umtiti,FC Barcelona,23,France,Spain Primera Division
69,Marcos Aoás Corrêa,Marquinhos,Paris Saint-Germain,5,Brazil,French Ligue 1
70,Joshua Walter Kimmich,J. Kimmich,FC Bayern München,32,Germany,German 1. Bundesliga
71,Leroy Aziz Sané,L. Sané,Manchester City,19,Germany,English Premier League
72,Milan Škriniar,M. Škriniar,Inter,37,Slovakia,Italian Serie A
73,Zlatan Ibrahimović,Z. Ibrahimović,LA Galaxy,9,Sweden,USA Major League Soccer
74,Alejandro Darío Gómez,A. Gómez,Atalanta,10,Argentina,Italian Serie A
75,Gonzalo Gerardo Higuaín,G. Higuaín,Juventus,21,Argentina,Italian Serie A
76,Blaise Matuidi,B. Matuidi,Juventus,14,France,Italian Serie A
77,Gareth Frank Bale,G. Bale,Real Madrid CF,11,Wales,Spain Primera Division
78,Marcelo Vieira da Silva Júnior,Marcelo,Real Madrid CF,12,Brazil,Spain Primera Division
79,Axel Witsel,A. Witsel,Borussia Dortmund,28,Belgium,German 1. Bundesliga
80,Péter Gulácsi,P. Gulácsi,RB Leipzig,1,Hungary,German 1. Bundesliga
81,Roman Bürki,R. Bürki,Borussia Dortmund,1,Switzerland,German 1. Bundesliga
82,Alex Sandro Lobo Silva,Alex Sandro,Juventus,12,Brazil,Italian Serie A
83,Romelu Lukaku Menama,R. Lukaku,Inter,9,Belgium,Italian Serie A
84,Iago Aspas Juncal,Iago Aspas,RC Celta de Vigo,10,Spain,Spain Primera Division
85,Konstantinos Manolas,K. Manolas,Napoli,44,Greece,Italian Serie A
86,Jorge Resurrección Merodio,Koke,Atlético de Madrid,6,Spain,Spain Primera Division
87,Norberto Murara Neto,Neto,FC Barcelona,13,Brazil,Spain Primera Division
88,David Olatukunbo Alaba,D. Alaba,FC Bayern München,27,Austria,German 1. Bundesliga
89,James David Rodríguez Rubio,J. Rodríguez,Real Madrid CF,16,Colombia,Spain Primera Division
90,Anthony Lopes,A. Lopes,Olympique Lyonnais,1,Portugal,French Ligue 1
91,Allan Marques Loureiro,Allan,Napoli,5,Brazil,Italian Serie A
92,Mauro Emanuel Icardi Rivero,M. Icardi,Inter,36,Argentina,Italian Serie A
93,Raphaël Varane,R. Varane,Real Madrid CF,5,France,Spain Primera Division
94,Daniel Carvajal Ramos,Carvajal,Real Madrid CF,2,Spain,Spain Primera Division
95,Saúl Ñíguez Esclápez,Saúl,Atlético de Madrid,8,Spain,Spain Primera Division
96,Hakim Ziyech,H. Ziyech,Ajax,22,Morocco,Holland Eredivisie
97,Fábio Henrique Tavares,Fabinho,Liverpool,3,Brazil,English Premier League
98,Niklas Süle,N. Süle,FC Bayern München,4,Germany,German 1. Bundesliga
99,Bruno Miguel Borges Fernandes,Bruno Fernandes,Sporting CP,8,Portugal,Portuguese Liga ZON SAGRES
100,Andrew Robertson,A. Robertson,Liverpool,26,Scotland,English Premier League
101,José María Giménez de Vargas,J. Giménez,Atlético de Madrid,2,Uruguay,Spain Primera Division
102,Clément Nicolas Laurent Lenglet,C. Lenglet,FC Barcelona,15,France,Spain Primera Division
103,Sergej Milinković-Savić,S. Milinković-Savić,Lazio,21,Serbia,Italian Serie A
104,Frenkie de Jong,F. de Jong,FC Barcelona,21,Netherlands,Spain Primera Division
105,Gianluigi Donnarumma,G. Donnarumma,AC Milan,99,Italy,Italian Serie A
106,Rodrigo Hernández Cascante,Rodri,Manchester City,16,Spain,English Premier League
107,Matthijs de Ligt,M. de Ligt,Juventus,4,Netherlands,Italian Serie A
108,Kléper Laveran de Lima Ferreira,Pepe,FC Porto,3,Portugal,Portuguese Liga ZON SAGRES
109,João Filipe Iria Santos Moutinho,João Moutinho,Wolverhampton Wanderers,28,Portugal,English Premier League
110,Stéphane Ruffier,S. Ruffier,AS Saint-Étienne,16,France,French Ligue 1
111,Salvatore Sirigu,S. Sirigu,Torino F.C.,39,Italy,Italian Serie A
112,Marek Hamšík,M. Hamšík,Dalian Professional Football Club,17,Slovakia,Chinese Super League
113,Sokratis Papastathopoulos,Sokratis,Arsenal,5,Greece,English Premier League
114,Lucas Pezzini Leiva,Lucas Leiva,Lazio,6,Brazil,Italian Serie A
115,Mesut Özil,M. Özil,Arsenal,10,Germany,English Premier League
116,Javier Martínez Aginaga,Javi Martínez,FC Bayern München,8,Spain,German 1. Bundesliga
117,Yann Sommer,Y. Sommer,Borussia Mönchengladbach,1,Switzerland,German 1. Bundesliga
118,Edin Džeko,E. Džeko,Roma,9,Bosnia and Herzegovina,Italian Serie A
119,Georginio Wijnaldum,G. Wijnaldum,Liverpool,5,Netherlands,English Premier League
120,Ivan Perišić,I. Perišić,FC Bayern München,14,Croatia,German 1. Bundesliga
121,Mario Mandžukić,M. Mandžukić,Juventus,17,Croatia,Italian Serie A
122,Arturo Erasmo Vidal Pardo,A. Vidal,FC Barcelona,22,Chile,Spain Primera Division
123,Jérôme Boateng,J. Boateng,FC Bayern München,17,Germany,German 1. Bundesliga
124,César Azpilicueta Tanco,Azpilicueta,Chelsea,28,Spain,English Premier League
125,José María Callejón Bueno,José Callejón,Napoli,7,Spain,Italian Serie A
126,İlkay Gündoğan,İ. Gündoğan,Manchester City,8,Germany,English Premier League
127,José Paulo Bezzera Maciel Júnior,Paulinho,Guangzhou FC,8,Brazil,Chinese Super League
128,Kyle Walker,K. Walker,Manchester City,2,England,English Premier League
129,Sergio Canales Madrazo,Canales,Real Betis Balompié,10,Spain,Spain Primera Division
130,Douglas Costa de Souza,Douglas Costa,Juventus,11,Brazil,Italian Serie A
131,Bernd Leno,B. Leno,Arsenal,1,Germany,English Premier League
132,Luís Miguel Afonso Fernandes,Pizzi,SL Benfica,21,Portugal,Portuguese Liga ZON SAGRES
133,Stefan de Vrij,S. de Vrij,Inter,6,Netherlands,Italian Serie A
134,Luis Alberto Romero Alconchel,Luis Alberto,Lazio,10,Spain,Italian Serie A
135,Dušan Tadić,D. Tadić,Ajax,10,Serbia,Holland Eredivisie
136,Josip Iličić,J. Iličić,Atalanta,72,Slovenia,Italian Serie A
137,Felipe Anderson Pereira Gomes,Felipe Anderson,West Ham United,8,Brazil,English Premier League
138,Memphis Depay,M. Depay,Olympique Lyonnais,11,Netherlands,French Ligue 1
139,Riyad Mahrez,R. Mahrez,Manchester City,26,Algeria,English Premier League
140,Edin Višća,E. Višća,İstanbul Başakşehir FK,7,Bosnia and Herzegovina,Turkish Süper Lig
141,Serge David Gnabry,S. Gnabry,FC Bayern München,22,Germany,German 1. Bundesliga
142,Kepa Arrizabalaga Revuelta,Kepa,Chelsea,1,Spain,English Premier League
143,Felipe Augusto de Almeida Monteiro,Felipe,Atlético de Madrid,18,Brazil,Spain Primera Division
144,Leon Christoph Goretzka,L. Goretzka,FC Bayern München,18,Germany,German 1. Bundesliga
145,João Pedro Cavaco Cancelo,João Cancelo,Manchester City,27,Portugal,English Premier League
146,Bamidele Alli,D. Alli,Tottenham Hotspur,20,England,English Premier League
147,Julian Brandt,J. Brandt,Borussia Dortmund,19,Germany,German 1. Bundesliga
148,Alex Nicolao Telles,Alex Telles,FC Porto,13,Brazil,Portuguese Liga ZON SAGRES
149,Kingsley Junior Coman,K. Coman,FC Bayern München,29,France,German 1. Bundesliga
150,Nabil Fekir,N. Fekir,Real Betis Balompié,8,France,Spain Primera Division
151,Lucas François Bernard Hernández Pi,L. Hernández,FC Bayern München,21,France,German 1. Bundesliga
152,Arthur Henrique Ramos de Oliveira Melo,Arthur,FC Barcelona,8,Brazil,Spain Primera Division
153,Ousmane Dembélé,O. Dembélé,FC Barcelona,11,France,Spain Primera Division
154,Jadon Sancho,J. Sancho,Borussia Dortmund,7,England,German 1. Bundesliga
155,Kai Lukas Havertz,K. Havertz,Bayer 04 Leverkusen,29,Germany,German 1. Bundesliga
156,Jiří Pavlenka,J. Pavlenka,SV Werder Bremen,1,Czech Republic,German 1. Bundesliga
157,Andrés Iniesta Luján,Iniesta,Vissel Kobe,8,Spain,Japanese J. League Division 1
158,Gianluigi Buffon,G. Buffon,Juventus,77,Italy,Italian Serie A
159,Iker Casillas Fernández,Casillas,FC Porto,1,Spain,Portuguese Liga ZON SAGRES
160,Rune Almenning Jarstein,R. Jarstein,Hertha BSC,22,Norway,German 1. Bundesliga
161,Vincent Jean Mpoy Kompany,V. Kompany,RSC Anderlecht,4,Belgium,Belgian Jupiler Pro League
162,Raúl Albiol Tortajada,Raúl Albiol,Villarreal CF,3,Spain,Spain Primera Division
163,Fabio Quagliarella,F. Quagliarella,U.C. Sampdoria,27,Italy,Italian Serie A
164,Kasper Peter Schmeichel,K. Schmeichel,Leicester City,1,Denmark,English Premier League
165,Radamel Falcao García Zárate,Falcao,AS Monaco,9,Colombia,French Ligue 1
166,João Miranda de Souza Filho,Miranda,Jiangsu FC,13,Brazil,Chinese Super League
167,Carlos Alberto Vela Garrido,C. Vela,Los Angeles FC,10,Mexico,USA Major League Soccer
168,Ezequiel Marcelo Garay,E. Garay,Valencia CF,24,Argentina,Spain Primera Division
169,Rui Pedro dos Santos Patrício,Rui Patrício,Wolverhampton Wanderers,11,Portugal,English Premier League
170,Radja Nainggolan,R. Nainggolan,Cagliari,4,Belgium,Italian Serie A
171,Éver Maximiliano David Banega,É. Banega,Sevilla FC,10,Argentina,Spain Primera Division
172,Diego da Silva Costa,Diego Costa,Atlético de Madrid,19,Spain,Spain Primera Division
173,Sami Khedira,S. Khedira,Juventus,6,Germany,Italian Serie A
174,David Luiz Moreira Marinho,David Luiz,Arsenal,23,Brazil,English Premier League
175,Max Bennet Kruse,M. Kruse,Fenerbahçe SK,10,Germany,Turkish Süper Lig
176,Jordan Henderson,J. Henderson,Liverpool,14,England,English Premier League
177,Gylfi Þór Sigurðsson,G. Sigurðsson,Everton,10,Iceland,English Premier League
178,Aaron Ramsey,A. Ramsey,Juventus,8,Wales,Italian Serie A
179,Oscar dos Santos Emboaba Júnior,Oscar,Shanghai Port FC,8,Brazil,Chinese Super League
180,Kevin Trapp,K. Trapp,Eintracht Frankfurt,1,Germany,German 1. Bundesliga
181,Asier Illarramendi Andonegi,Illarramendi,Real Sociedad,4,Spain,Spain Primera Division
182,Daley Blind,D. Blind,Ajax,17,Netherlands,Holland Eredivisie
183,Lukáš Hrádecký,L. Hrádecký,Bayer 04 Leverkusen,1,Finland,German 1. Bundesliga
184,Nicolás Hernán Gonzalo Otamendi,N. Otamendi,Manchester City,30,Argentina,English Premier League
185,Koen Casteels,K. Casteels,VfL Wolfsburg,1,Belgium,German 1. Bundesliga
186,Juan Guillermo Cuadrado Bello,J. Cuadrado,Juventus,16,Colombia,Italian Serie A
187,Idrissa Gana Gueye,I. Gueye,Paris Saint-Germain,27,Senegal,French Ligue 1
188,Kevin Kampl,K. Kampl,RB Leipzig,44,Slovenia,German 1. Bundesliga
189,Marc Bartra Aregall,Bartra,Real Betis Balompié,5,Spain,Spain Primera Division
190,Rodrigo Moreno Machado,Rodrigo,Valencia CF,19,Spain,Spain Primera Division
191,Wilfried Zaha,W. Zaha,Crystal Palace,11,Côte d'Ivoire,English Premier League
192,Pablo Sarabia García,Pablo Sarabia,Paris Saint-Germain,19,Spain,French Ligue 1
193,Charles Mariano Aránguiz Sandoval,C. Aránguiz,Bayer 04 Leverkusen,20,Chile,German 1. Bundesliga
194,Wissam Ben Yedder,W. Ben Yedder,AS Monaco,22,France,French Ligue 1
195,Francesco Acerbi,F. Acerbi,Lazio,33,Italy,Italian Serie A
196,Jasper Cillessen,J. Cillessen,Valencia CF,13,Netherlands,Spain Primera Division
197,Francisco Alcácer García,Paco Alcácer,Borussia Dortmund,9,Spain,German 1. Bundesliga
198,Lucas Digne,L. Digne,Everton,12,France,English Premier League
199,Danilo Luís Hélio Pereira,Danilo Pereira,FC Porto,22,Portugal,Portuguese Liga ZON SAGRES
200,Lucas Rodrigues Moura da Silva,Lucas Moura,Tottenham Hotspur,27,Brazil,English Premier League
201,Álvaro Borja Morata Martín,Morata,Atlético de Madrid,9,Spain,Spain Primera Division
202,Julian Draxler,J. Draxler,Paris Saint-Germain,23,Germany,French Ligue 1
203,John Stones,J. Stones,Manchester City,5,England,English Premier League
204,Jordan Pickford,J. Pickford,Everton,1,England,English Premier League
205,Florian Tristan Mariano Thauvin,F. Thauvin,Olympique de Marseille,26,France,French Ligue 1
206,Arkadiusz Krystian Milik,A. Milik,Napoli,99,Poland,Italian Serie A
207,Luiz Frello Filho Jorge,Jorginho,Chelsea,5,Italy,English Premier League
208,Sébastien Haller,S. Haller,West Ham United,22,France,English Premier League
209,William Silva de Carvalho,William Carvalho,Real Betis Balompié,14,Portugal,Spain Primera Division
210,Yannick Ferreira Carrasco,Y. Carrasco,Dalian Professional Football Club,10,Belgium,Chinese Super League
211,Adrien Rabiot,A. Rabiot,Juventus,25,France,Italian Serie A
212,Alejandro Grimaldo García,Grimaldo,SL Benfica,3,Spain,Portuguese Liga ZON SAGRES
213,Alessio Romagnoli,A. Romagnoli,AC Milan,13,Italy,Italian Serie A
214,Anthony Martial,A. Martial,Manchester United,9,France,English Premier League
215,Timo Werner,T. Werner,RB Leipzig,11,Germany,German 1. Bundesliga
216,Federico Bernardeschi,F. Bernardeschi,Juventus,33,Italy,Italian Serie A
217,Anderson Souza Conceição,Anderson Talisca,Guangzhou FC,9,Brazil,Chinese Super League
218,Jonathan Tah,J. Tah,Bayer 04 Leverkusen,4,Germany,German 1. Bundesliga
219,Thomas Lemar,T. Lemar,Atlético de Madrid,11,France,Spain Primera Division
220,Andrej Kramarić,A. Kramarić,TSG Hoffenheim,27,Croatia,German 1. Bundesliga
221,Djené Dakonam Ortega,D. Djené,Getafe CF,2,Togo,Spain Primera Division
222,Corentin Tolisso,C. Tolisso,FC Bayern München,24,France,German 1. Bundesliga
223,Davinson Sánchez Mina,D. Sánchez,Tottenham Hotspur,6,Colombia,English Premier League
224,Marco Asensio Willemsen,Marco Asensio,Real Madrid CF,20,Spain,Spain Primera Division
225,Pau López Sabata,Pau López,Roma,12,Spain,Italian Serie A
226,Borja Iglesias Quintas,Borja Iglesias,Real Betis Balompié,9,Spain,Spain Primera Division
227,Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,Valencia CF,7,Portugal,Spain Primera Division
228,Nicolas Pépé,N. Pépé,Arsenal,19,Côte d'Ivoire,English Premier League
229,Giovani Lo Celso,G. Lo Celso,Tottenham Hotspur,18,Argentina,English Premier League
230,Fabián Ruiz Peña,Fabián,Napoli,8,Spain,Italian Serie A
231,Manuel Obafemi Akanji,M. Akanji,Borussia Dortmund,16,Switzerland,German 1. Bundesliga
232,Lourival Adnan Beretta Barbosa,Louri Beretta,Clube Atlético Mineiro,9,Brazil,Campeonato Brasileiro Série A
233,Josué Durval Chiamulera Vaz,Josué Chiamulera,Grêmio,3,Brazil,Campeonato Brasileiro Série A
234,Ronaldo Jailson Cabrais Petri,Ronaldo Cabrais,Grêmio,10,Brazil,Campeonato Brasileiro Série A
235,Trent Alexander-Arnold,T. Alexander-Arnold,Liverpool,66,England,English Premier League
236,Marcus Rashford,M. Rashford,Manchester United,10,England,English Premier League
237,Luka Jović,L. Jović,Real Madrid CF,18,Serbia,Spain Primera Division
238,José Manuel Reina Páez,Pepe Reina,AC Milan,25,Spain,Italian Serie A
239,Daniele De Rossi,D. De Rossi,Boca Juniors,16,Italy,Argentina Primera División
240,Aritz Aduriz Zubeldia,Aduriz,Athletic Club de Bilbao,20,Spain,Spain Primera Division
241,Jesús Navas González,Jesús Navas,Sevilla FC,16,Spain,Spain Primera Division
242,Santiago Cazorla González,Santi Cazorla,Villarreal CF,8,Spain,Spain Primera Division
243,Héctor Miguel Herrera López,H. Herrera,Atlético de Madrid,16,Mexico,Spain Primera Division
244,Lucas Rodrigo Biglia,L. Biglia,AC Milan,21,Argentina,Italian Serie A
245,Łukasz Fabiański,Ł. Fabiański,West Ham United,1,Poland,English Premier League
246,Emiliano Viviano,E. Viviano,Sporting CP,58,Italy,Portuguese Liga ZON SAGRES
247,Juan Manuel Mata García,Juan Mata,Manchester United,8,Spain,English Premier League
248,Olivier Giroud,O. Giroud,Chelsea,18,France,English Premier League
249,Sergio Asenjo Andrés,Sergio Asenjo,Villarreal CF,1,Spain,Spain Primera Division
250,Simon Thorup Kjær,S. Kjær,Sevilla FC,4,Denmark,Spain Primera Division
251,Willian Borges da Silva,Willian,Chelsea,10,Brazil,English Premier League
252,Vedran Ćorluka,V. Ćorluka,FC Lokomotiv Moscow,14,Croatia,Rest of World
253,Marko Arnautović,M. Arnautović,Shanghai Port FC,7,Austria,Chinese Super League
254,Alexis Alejandro Sánchez Sánchez,A. Sánchez,Manchester United,7,Chile,English Premier League
255,Giuliano Victor de Paula,Giuliano,Al Nassr,77,Brazil,Saudi Abdul L. Jameel League
256,Aleksandar Kolarov,A. Kolarov,Roma,11,Serbia,Italian Serie A
257,Mario Barwuah Balotelli,M. Balotelli,Brescia,45,Italy,Italian Serie A
258,Marlos Romero Bonfim,Marlos,Shakhtar Donetsk,11,Ukraine,Rest of World
259,Taison Barcellos Freda,Taison,Shakhtar Donetsk,7,Brazil,Rest of World
260,Bas Leon Dost,B. Dost,Sporting CP,28,Netherlands,Portuguese Liga ZON SAGRES
261,Giacomo Bonaventura,G. Bonaventura,AC Milan,5,Italy,Italian Serie A
262,Pedro Eliezer Rodríguez Ledesma,Pedro,Chelsea,11,Spain,English Premier League
263,Iker Muniain Goñi,Muniain,Athletic Club de Bilbao,10,Spain,Spain Primera Division
264,Luuk de Jong,L. de Jong,Sevilla FC,19,Netherlands,Spain Primera Division
265,Stephan El Shaarawy,S. El Shaarawy,Shanghai Shenhua FC,22,Italy,Chinese Super League
266,Ander Herrera Agüera,Ander Herrera,Paris Saint-Germain,21,Spain,French Ligue 1
267,Mario Götze,M. Götze,Borussia Dortmund,10,Germany,German 1. Bundesliga
268,Alphonse Areola,A. Areola,Paris Saint-Germain,16,France,French Ligue 1
269,Thomas Joseph Delaney,T. Delaney,Borussia Dortmund,6,Denmark,German 1. Bundesliga
270,Xherdan Shaqiri,X. Shaqiri,Liverpool,23,Switzerland,English Premier League
271,Mário Figueira Fernandes,Mário Fernandes,PFC CSKA Moscow,2,Russia,Rest of World
272,Oliver Baumann,O. Baumann,TSG Hoffenheim,1,Germany,German 1. Bundesliga
273,Willian José da Silva,Willian José,Real Sociedad,9,Brazil,Spain Primera Division
274,Joël Andre Job Matip,J. Matip,Liverpool,32,Cameroon,English Premier League
275,Sebastián Coates Nión,S. Coates,Sporting CP,4,Uruguay,Portuguese Liga ZON SAGRES
276,Mattia Perin,M. Perin,Juventus,22,Italy,Italian Serie A
277,Cédric Bakambu,C. Bakambu,Beijing Guoan FC,17,Congo DR,Chinese Super League
278,Sergio Roberto Carnicer,Sergi Roberto,FC Barcelona,20,Spain,Spain Primera Division
279,Nico Schulz,N. Schulz,Borussia Dortmund,14,Germany,German 1. Bundesliga
280,Kevin Volland,K. Volland,Bayer 04 Leverkusen,31,Germany,German 1. Bundesliga
281,José Ignacio Fernández Iglesias,Nacho Fernández,Real Madrid CF,6,Spain,Spain Primera Division
282,Benjamin Lecomte,B. Lecomte,AS Monaco,40,France,French Ligue 1
283,Gabriel Armando de Abreu,Gabriel Paulista,Valencia CF,5,Brazil,Spain Primera Division
284,Thomas Meunier,T. Meunier,Paris Saint-Germain,12,Belgium,French Ligue 1
285,Jérôme Roussillon,J. Roussillon,VfL Wolfsburg,15,France,German 1. Bundesliga
286,Jesús Joaquín Fernández Sáez de la Torre,Suso,AC Milan,8,Spain,Italian Serie A
287,Karim Bellarabi,K. Bellarabi,Bayer 04 Leverkusen,38,Germany,German 1. Bundesliga
288,Harry Maguire,H. Maguire,Manchester United,5,England,English Premier League
289,Thorgan Hazard,T. Hazard,Borussia Dortmund,23,Belgium,German 1. Bundesliga
290,Stefan Savić,S. Savić,Atlético de Madrid,15,Montenegro,Spain Primera Division
291,Antonio Rüdiger,A. Rüdiger,Chelsea,2,Germany,English Premier League
292,Mateo Kovačić,M. Kovačić,Chelsea,17,Croatia,English Premier League
293,Jesse Lingard,J. Lingard,Manchester United,14,England,English Premier League
294,Emil Peter Forsberg,E. Forsberg,RB Leipzig,10,Sweden,German 1. Bundesliga
295,Filip Kostić,F. Kostić,Eintracht Frankfurt,10,Serbia,German 1. Bundesliga
296,Andrea Belotti,A. Belotti,Torino F.C.,9,Italy,Italian Serie A
297,Quincy Anton Promes,Q. Promes,Ajax,11,Netherlands,Holland Eredivisie
298,Jamie Vardy,J. Vardy,Leicester City,9,England,English Premier League
299,Fernando Pacheco Flores,Pacheco,Deportivo Alavés,1,Spain,Spain Primera Division
300,Thomas Partey,T. Partey,Atlético de Madrid,5,Ghana,Spain Primera Division
301,Ricardo Domingos Barbosa Pereira,Ricardo Pereira,Leicester City,21,Portugal,English Premier League
302,Nicolás Alejandro Tagliafico,N. Tagliafico,Ajax,31,Argentina,Holland Eredivisie
303,Daniele Rugani,D. Rugani,Juventus,24,Italy,Italian Serie A
304,Kerem Demirbay,K. Demirbay,Bayer 04 Leverkusen,10,Germany,German 1. Bundesliga
305,Thomas Strakosha,T. Strakosha,Lazio,1,Albania,Italian Serie A
306,Ángel Martín Correa,Á. Correa,Atlético de Madrid,10,Argentina,Spain Primera Division
307,Duván Esteban Zapata Banguera,D. Zapata,Atalanta,91,Colombia,Italian Serie A
308,Iñaki Williams Arthuer,Iñaki Williams,Athletic Club de Bilbao,9,Spain,Spain Primera Division
309,Matteo Politano,M. Politano,Inter,16,Italy,Italian Serie A
310,José Luis Morales Nogales,Morales,Levante Unión Deportiva,11,Spain,Spain Primera Division
311,Rafael Alexandre Fernandes Ferreira da Silva,Rafa,SL Benfica,27,Portugal,Portuguese Liga ZON SAGRES
312,Naby Keïta,N. Keïta,Liverpool,8,Guinea,English Premier League
