,common_entity,entity1,entity2,entity3
89,let him go,bob marley & the wailers,1977,country/folk
90,killamonjaro,killy,2017,hip hop/reggae
91,the revolution will be televised,jeff beck,2016,blues/jazz
92,something kinda funny,spice girls,1996,pop/rock
93,hop up,k kutta,2017,hip hop/reggae
94,chanting,john holt,1983,country/folk
95,tongues,joywave,2015,pop/rock
96,"steady, as she goes",the raconteurs,2006,blues/jazz
97,fats,thin lizzy,1981,blues/jazz
98,thank you for the feelin',bachman-turner overdrive,1989,country/folk
99,loving arms,kris kristofferson,1973,country/folk
100,anything goes,florida georgia line,2014,pop/rock
101,oh love (live),prince buster,1967,country/folk
102,do the grind,earl king,2006,blues/jazz
103,"open your eyes, you can fly",lizz wright,2003,blues/jazz
104,lonely and gone,montgomery gentry,1999,country/folk
105,that's not my name,the ting tings,2008,pop/rock
106,you gots to chill,epmd,2010,hip hop/reggae
107,made to love you,gary wright,1975,country/folk
108,i've been a long time leavin' (but i'll be a long time gone),roger miller,1995,country/folk
109,cha cha cha d´amour,dean martin,1962,blues/jazz
110,why must i cry,peter tosh,1976,country/folk
111,you and me,soja,2010,country/folk
112,it's good to see you,don williams,1980,country/folk
113,crying games,lucky dube,1999,country/folk
114,armistice day,paul simon,1972,pop/rock
115,forget that girl,the monkees,1967,pop/rock
116,y control,yeah yeah yeahs,2003,pop/rock
117,frame by frame,king crimson,1981,blues/jazz
118,surfin' bird,the cramps,1989,blues/jazz
119,cordelia brown,harry belafonte,1957,pop/rock
120,i can't get started with you,steve tyrell,1999,blues/jazz
121,i am the one you warned me of,blue öyster cult,1988,blues/jazz
122,sometimes,erasure,1987,pop/rock
123,al capone,michael jackson,1987,pop/rock
124,right on time,red hot chili peppers,1999,pop/rock
125,two lives,bonnie raitt,1977,pop/rock
126,the lonely side of love,patty loveless,1988,country/folk
127,i know the way to you by heart,vern gosdin,1985,country/folk
128,cold sweat,thin lizzy,1983,blues/jazz
129,freedom death dance,eugene mcdaniels,1971,blues/jazz
130,biohazard,massacre,1991,blues/jazz
131,screaming and yelling,carole king,1975,pop/rock
132,pure and simple,lynyrd skynyrd,1991,blues/jazz
133,i just wanna run,the downtown fiction,2010,pop/rock
134,her man,waylon jennings,1990,country/folk
135,can't use me,john holt,1983,country/folk
136,downtown tonight,tyler bryant & the shakedown,2013,blues/jazz
137,time will show the wiser,fairport convention,1968,country/folk
138,reach out for me,nancy wilson,1965,blues/jazz
139,down the line,ricky nelson,1958,pop/rock
140,text me texas,chris young,2013,country/folk
141,come closer,mishka,2013,country/folk
142,monk time,the monks,1966,blues/jazz
143,freak of the week,marvelous 3,1998,pop/rock
144,parabol,tool,2001,pop/rock
145,i call your name,the beatles,1988,pop/rock
146,beach bummer,no vacation,2015,pop/rock
147,save a little room in your heart,eddie money,1977,pop/rock
148,khanke to khanke,mohammed rafi,1955,pop/rock
149,boulevard of broken dreams,esquivel!,1959,pop/rock
150,run away with me,carly rae jepsen,2015,pop/rock
151,your cash ain't nothin' but trash,the clovers,1991,blues/jazz
152,gladiator,zayde wølf,2018,pop/rock
153,the story of my love,conway twitty,1959,country/folk
154,go on blues,johnny cash,1976,country/folk
155,hurry home,jason michael carroll,2009,country/folk
156,bobby brown goes down,frank zappa,1979,blues/jazz
157,intro,todd rundgren,1972,pop/rock
158,night time is the right time,aretha franklin,1968,blues/jazz
159,(the man who shot) liberty valance,gene pitney,1972,pop/rock
160,crawling king snake,george thorogood & the destroyers,1985,blues/jazz
161,the man that i've been,cory morrow,1993,country/folk
162,fantastic voyage (lil stayne mix),coolio,2008,hip hop/reggae
163,4:20,method man,2018,hip hop/reggae
164,everything i am,kanye west,2007,pop/rock
165,world without you,belinda carlisle,1987,pop/rock
166,hey mr. d.j.,zhané,2013,pop/rock
167,his life for mine,the talleys,2003,country/folk
168,i believe i can fly,me first and the gimme gimmes,2003,pop/rock
169,"hey, hey helen",abba,1975,pop/rock
170,johnny can't read,don henley,1982,pop/rock
171,you used to love me,faith evans,1995,pop/rock
172,mothership reconnection (feat.parliament/funkadelic),scott grooves,2006,blues/jazz
173,hair of the dog (studio demo),nazareth,2009,blues/jazz
174,run,bring me the horizon,2015,pop/rock
175,(it's like you) never left at all,america,1984,country/folk
176,when i had you with me,the beautiful girls,2005,country/folk
177,out in l.a.,red hot chili peppers,1984,pop/rock
178,you've got to have freedom,pharoah sanders,2008,blues/jazz
179,hip hop lover,en vogue,1992,hip hop/reggae
180,my name is jack,manfred mann,1968,pop/rock
181,shoot me dead,hours eastly,2012,country/folk
182,wicked gonna come,blues saraceno,2018,blues/jazz
183,stax jam,galactic,1996,blues/jazz
184,don't give in,steel pulse,1984,country/folk
185,hot dog,limp bizkit,2000,pop/rock
186,don't throw your love away,the searchers,1964,pop/rock
187,dead cell,papa roach,2001,pop/rock
188,spirit crusher,death,1998,pop/rock
189,i love you,sarah mclachlan,1997,pop/rock
190,inspector mills,america,1982,country/folk
191,making days longer,rjd2,2004,blues/jazz
192,don't touch me tomato,phyllis dillon,1967,country/folk
193,for all we know,donny hathaway,2013,blues/jazz
194,starships,nicki minaj,2011,pop/rock
195,sleeping heart,the judds,1984,country/folk
196,stop,black rebel motorcycle club,2003,blues/jazz
197,make you mine,black lips,2014,blues/jazz
198,i stayed long enough,tammy wynette,1967,country/folk
199,energy,"earth, wind & fire",1971,blues/jazz
200,it's growing,otis redding,1966,blues/jazz
201,your cheatin' heart,hank williams,1978,country/folk
202,baby's on fire,die antwoord,2012,pop/rock
203,the tear of the year,jackie wilson,1962,blues/jazz
204,a wonderful yesterday,willie nelson,1968,country/folk
205,i'm with you,the millennium,1968,pop/rock
206,bang bang,nancy sinatra,2003,pop/rock
207,avon,queens of the stone age,1998,blues/jazz
208,the next episode,dr. dre,2000,hip hop/reggae
209,lonesome whistle,george jones,1962,country/folk
210,lookin' for a reason,creedence clearwater revival,1972,pop/rock
211,mind riot,soundgarden,1991,pop/rock
212,dear michael,michael jackson,1975,pop/rock
213,girl next door,long beach shortbus,2004,country/folk
214,captain lou,nrbq,1984,country/folk
215,god has my fortune laid away,johnny cash,1962,country/folk
216,expecting,minnie riperton,1970,blues/jazz
217,renegade,thin lizzy,1981,blues/jazz
218,lessons learned,dan fogelberg,1977,country/folk
219,out of the blue,roxy music,1974,pop/rock
220,my world,sublime with rome,2011,country/folk
221,angelina,harry belafonte,1961,pop/rock
222,you win again,johnny cash,1959,country/folk
223,sunburn,fuel,1997,pop/rock
224,reach out and touch (somebody's hand),aretha franklin,1971,blues/jazz
225,edge of the earth,thirty seconds to mars,2002,pop/rock
226,"you, you, you",sonny james,1958,country/folk
227,married to the blues,shemekia copeland,1998,blues/jazz
228,i got the blues,dion & the belmonts,1959,pop/rock
229,after all the things i've done,hank thompson,1958,country/folk
230,they roll (feat. the game),nipsey hussle,2013,pop/rock
231,in orbit,thelonious monk,1958,blues/jazz
232,greetings,half pint,1997,country/folk
233,my heart,ronnie milsap,1980,country/folk
234,kiss me black,the birthday party,1982,blues/jazz
235,65 hunnid,vince staples,2019,hip hop/reggae
236,elevator,the black keys,2006,blues/jazz
237,you turn me on,tim mcgraw,1997,country/folk
238,i wish it would rain,gladys knight & the pips,1968,pop/rock
239,echo,jason walker,2011,pop/rock
240,in my dreams,josh turner,2003,country/folk
241,holy books,death from above 1979,2017,blues/jazz
242,nashville to kentucky,my morning jacket,1999,country/folk
243,run them,the gladiators,1992,country/folk
244,about a bird,fantastic negrito,2017,blues/jazz
245,seeing is believing,donna fargo,1980,country/folk
246,"within you, without you",tedeschi trucks band,2017,blues/jazz
247,everytime you go away,susan wong,2009,blues/jazz
248,what love has joined together,mary wells,1993,pop/rock
249,war pigs,gov't mule,1999,blues/jazz
250,high voltage / it's a long way to the top (if you wanna rock 'n' roll),eagles of death metal,2019,blues/jazz
251,escape,pete rock & c.l. smooth,1994,blues/jazz
252,elsewhere,sarah mclachlan,1993,pop/rock
253,killers,iron maiden,1981,pop/rock
254,sweet life,the movement,2014,country/folk
255,one world (not three),pato banton,1992,country/folk
256,dynasty,miia,2015,pop/rock
257,shopping,eek-a-mouse,1996,country/folk
258,take it or leave it,the strokes,2001,pop/rock
259,no plans for tomorrow,the emotions,1976,blues/jazz
260,honky tonk dancer,38 special,1980,country/folk
261,jah love in we heart,toyan,1981,country/folk
262,how i'd love to love you,nat king cole,1992,blues/jazz
263,violence,slightly stoopid,1998,country/folk
264,open mind,stone senses,2006,country/folk
265,hero,willie nelson,2012,country/folk
266,don quixote,gordon lightfoot,1975,country/folk
267,sing it again,the wood brothers,2009,blues/jazz
268,slip slidin' away,simon & garfunkel,1982,pop/rock
269,little things,rodney carrington,1998,country/folk
270,true love,the brian jonestown massacre,1996,blues/jazz
271,back in my younger days,don williams,1990,country/folk
272,between the devil and the deep blue sea,blossom dearie,1997,blues/jazz
273,96 tears,big maybelle,2007,blues/jazz
274,gates of steel,devo,1980,pop/rock
275,white christmas,dean martin,1959,blues/jazz
276,if you stayed over,bonobo,2006,blues/jazz
277,change in the weather,buddy guy,1993,blues/jazz
278,heart of gold,neil young,1972,pop/rock
279,amazing grace,randy travis,2000,country/folk
280,t-r-o-u-b-l-e,travis tritt,1992,country/folk
281,another puff,jerry reed,1995,country/folk
282,next to you,dan siegel,1983,blues/jazz
283,it's going to take some time,carole king,1971,pop/rock
284,falling in love with jesus,kirk whalum,2002,blues/jazz
285,got to be there,michael jackson,1972,pop/rock
286,king,tesseract,2018,blues/jazz
287,blind feeling,gary wright,1975,country/folk
288,veracruz,santana,1987,blues/jazz
289,stacks o' money,eagles of death metal,2004,blues/jazz
290,missiles,the sound,1980,pop/rock
291,die by the drop,the dead weather,2010,blues/jazz
292,rolling in the deep,go radio,2011,pop/rock
293,i died inside,lesley gore,1964,pop/rock
294,our lives are shaped by what we love,odyssey,1972,pop/rock
295,in its own little way,dottie west,1965,country/folk
296,dread locks,lee perry & the upsetters,1974,country/folk
297,don’t look back into the sun,the libertines,2007,pop/rock
298,marie,yazmin lacey,2017,blues/jazz
299,the battle of evermore,led zeppelin,1971,pop/rock
300,walking the floor over you,ernest tubb,1987,country/folk
301,yesterday's mistakes,oi va voi,2003,blues/jazz
302,nazarene,johnny cash,1969,country/folk
303,love is everywhere,pharoah sanders,1973,blues/jazz
304,love you like a love song,selena gomez & the scene,2011,pop/rock
305,start a riot,banners,2016,pop/rock
306,rainbow in the sky,ziggy marley,2003,country/folk
307,balaclava,arctic monkeys,2007,pop/rock
308,cold war,death from above 1979,2004,blues/jazz
309,she belongs to me,leon russell,1971,country/folk
310,the guitar man,cake,2004,pop/rock
311,i feel love (every million miles),the dead weather,2015,blues/jazz
312,the archetypal man,judee sill,1971,country/folk
313,a boy's best friend,the white stripes,2000,blues/jazz
314,planetary duality i: hideous revelation,the faceless,2008,blues/jazz
315,long gone,brownie mcghee,1951,country/folk
316,national finals rodeo,chris ledoux,1973,country/folk
317,should've ran after you,cole swindell,2015,country/folk
318,tear in my heart,twenty one pilots,2015,pop/rock
319,ghosts,the jam,1982,pop/rock
320,hoes mad,famous dex,2016,pop/rock
321,ain't times hard,nick moss & the flip tops,2003,blues/jazz
322,above and beyond (the call of love),conway twitty,1961,country/folk
323,outta here,kenny chesney,2004,country/folk
324,i was doing all right,louis armstrong,1957,blues/jazz
325,send me a friend,anders osborne,2012,blues/jazz
326,intolerance,tool,1993,pop/rock
327,when the shit hits the fan / sunset blvd.,todd rundgren,1972,pop/rock
328,reasons,chris rea,1984,blues/jazz
329,to lay me down,grateful dead,1981,pop/rock
330,gangsta,8ball & mjg,2018,hip hop/reggae
331,very special love,alabama,1980,country/folk
332,ocean breakup / king of the universe,electric light orchestra,1973,pop/rock
333,just for a thrill,ray charles,1959,blues/jazz
334,stuck in the moment,justin bieber,2010,pop/rock
335,knocks me off my feet,donell jones,1996,pop/rock
336,sick of being lonely,field mob,2002,pop/rock
337,beautiful,kenny g,1986,blues/jazz
338,sickening,meshuggah,1991,blues/jazz
339,oldest story in the world,the plimsouls,1983,pop/rock
340,panic station,muse,2012,pop/rock
341,compared to what,roberta flack,1969,blues/jazz
342,attracted to pain,earl thomas conley,1986,country/folk
343,time to say goodbye,b.b. king,1958,blues/jazz
344,running with a gun,slightly stoopid,2003,country/folk
345,roads girdle the globe,xtc,1979,pop/rock
346,vitamin r (leading us along),chevelle,2004,pop/rock
347,clash,caravan palace,2012,blues/jazz
348,one big family,half pint,1997,country/folk
349,disparate youth,santigold,2012,pop/rock
350,if you're gonna play in texas (you gotta have a fiddle in the band),alabama,1980,country/folk
351,red sector a,rush,1984,pop/rock
352,whutcha want?,nine,2019,hip hop/reggae
353,eight miles high,the byrds,1965,pop/rock
354,thomas,a perfect circle,2000,pop/rock
355,journey,black uhuru,1981,country/folk
356,long distance call,muddy waters,1957,blues/jazz
357,king george,roy ayers,1973,blues/jazz
358,tongue tied,wanda jackson,1961,pop/rock
359,where your road leads,garth brooks,1998,country/folk
360,a girl is a gun,old dominion,2017,country/folk
361,blue thunder,galaxie 500,1989,pop/rock
362,fire and brimstone,link wray,1971,blues/jazz
363,blame the moon,beth hart,1996,blues/jazz
364,hail mi idren,ini kamoze,1984,country/folk
365,mansard roof,vampire weekend,2008,pop/rock
366,motivation,t.i.,2004,pop/rock
367,lunar wilderness,between the buried and me,2011,blues/jazz
368,where's da bud,three 6 mafia,1997,pop/rock
369,pessimistic lines,bad religion,1988,pop/rock
370,carry me on,arc angels,1992,blues/jazz
371,bare bones,madeleine peyroux,2009,blues/jazz
372,wake up and live,bob marley & the wailers,1979,country/folk
373,my broken souvenirs,pussycat,1977,pop/rock
374,so a child may follow,damian marley,2017,country/folk
375,grow old with me,mary chapin carpenter,1989,country/folk
376,"cody, cody",the flying burrito brothers,1970,pop/rock
377,"hey, good lookin'",mose allison,1994,blues/jazz
378,fox on the run,sweet,1974,pop/rock
379,the pros and cons of breathing,fall out boy,2003,pop/rock
380,judgement day,raging fyah,2015,country/folk
381,i can't stop loving you,diane schuur,1994,blues/jazz
382,what a diff'rence a day made,aretha franklin,1964,blues/jazz
383,gun down,bounty killer,1996,country/folk
384,5-10-15 hours,ruth brown,1957,blues/jazz
385,situation crazy,pato banton,1990,country/folk
386,goodnight chicago,rainbow kitten surprise,2015,pop/rock
387,elouise,the lumineers,2013,pop/rock
388,beyond the realms of death,judas priest,1978,pop/rock
389,two kinds of happiness,the strokes,2011,pop/rock
390,when the lights gone out,ziggy marley & the melody makers,1992,country/folk
391,calling all the people,4 non blondes,1992,pop/rock
392,thick & thin,stick figure,2009,country/folk
393,r.i.p. 2 my youth,the neighbourhood,2015,pop/rock
394,she-wolf,megadeth,1997,pop/rock
395,pity party,melanie martinez,2015,pop/rock
396,seasick emotions,the wood brothers,2018,blues/jazz
397,lonely blue boy,conway twitty,1960,country/folk
398,it might as well be spring,dinah washington,1995,blues/jazz
399,heartbreaker,crazy p,2011,blues/jazz
400,for the love of money,bulletboys,1988,pop/rock
401,big all around,gregory isaacs,1989,country/folk
402,eldorado finale,electric light orchestra,1974,pop/rock
403,give it time,bachman-turner overdrive,1973,country/folk
404,cry baby,melanie martinez,2015,pop/rock
405,just a lil bit,50 cent,2005,pop/rock
406,moneytalks,ac/dc,1990,pop/rock
407,white trash story,casey donahew,2006,country/folk
408,after all,al jarreau,1984,blues/jazz
409,sittin' in the balcony,eddie cochran,1957,pop/rock
410,the one you belong to,the sheepdogs,2010,blues/jazz
411,tender lover,babyface,1989,pop/rock
412,welcome,phil collins,2003,pop/rock
413,river of time,the judds,1989,country/folk
414,arhegh danagh,tinariwen,2014,blues/jazz
415,nine tonight,bob seger,1981,pop/rock
416,flaws,bastille,2013,pop/rock
417,freedom for my people,adam gussow,1988,blues/jazz
418,"you stay (feat. meek mill, j balvin, lil baby & jeremih)",dj khaled,2019,pop/rock
419,when i'm small,phantogram,2009,pop/rock
420,tonight's not the night,randy rogers band,2004,country/folk
421,night hunting time,santana,1983,blues/jazz
422,stay,madonna,1984,pop/rock
423,no more hot dogs,hasil adkins,2002,blues/jazz
424,let you down,seether,2017,pop/rock
425,long time to forget,george jones,1955,country/folk
426,stick up,grandson,2018,pop/rock
427,burning up,bad company,1986,blues/jazz
428,evil has no boundaries,slayer,1983,pop/rock
429,son of a rotten gambler,emmylou harris,1981,country/folk
430,falling for you,merle haggard,1965,country/folk
431,eleanor,louis prima,1951,blues/jazz
432,every generation,ronnie laws,1980,blues/jazz
433,why i am,dave matthews band,2009,pop/rock
434,nobody other,kadhja bonet,2016,blues/jazz
435,philly,spyro gyra,1980,blues/jazz
436,so what,ministry,1989,pop/rock
437,most i,chronixx,2013,country/folk
438,laid back and wasted,david allan coe,1977,country/folk
439,i love your lovin' ways,nina simone,1966,blues/jazz
440,waist,sonic youth,1994,blues/jazz
441,my favorite heart to break,the parlor mob,2008,blues/jazz
442,rastaman chant,bob marley & the wailers,1982,country/folk
443,"if you gotta go, go now (or else you got to stay all night)",bob dylan,1965,pop/rock
444,step by step,mikey dread,1979,country/folk
445,forgive me,hank thompson,1963,country/folk
446,red white & blue,lynyrd skynyrd,2003,country/folk
447,"please help me, i'm falling",hank locklin,1965,country/folk
448,push and shove,the subdudes,1991,blues/jazz
449,time changes everything,carl smith,1957,country/folk
450,hiding,breakestra,2005,blues/jazz
451,there's a new kid in town,george strait,1986,country/folk
452,love is alive,gary wright,1975,country/folk
453,uncle pen,bill monroe,1999,country/folk
454,another year,labi siffre,1975,pop/rock
455,mattie's rag,gerry rafferty,1978,pop/rock
456,out of the blue,george benson,1984,blues/jazz
457,the a team,ed sheeran,2011,pop/rock
458,why,jason aldean,2005,country/folk
459,still losing you,ronnie milsap,1984,country/folk
460,oh what it did to me,tanya tucker,2000,country/folk
461,one slip,pink floyd,1987,pop/rock
462,highway's holding me now,samantha fish,2015,blues/jazz
463,asteroid,passafire,2007,country/folk
464,jump,madonna,2005,pop/rock
465,listen to your heartbeat,gary moore,1985,blues/jazz
466,those damned blue-collar tweekers,primus,1991,pop/rock
467,el dinero,sindicato argentino del hip hop,2005,hip hop/reggae
468,dooley,the gourds,2001,country/folk
469,face to face,alabama,1980,country/folk
470,big guns,rory gallagher,1982,blues/jazz
471,blondie,current joys,2013,pop/rock
472,a piece of the action,the babys,1977,pop/rock
473,f**k you,sleeping with sirens,2011,pop/rock
474,if you ever get lonely,love and theft,2012,country/folk
475,my arms were always around you,peter bradley adams,2017,pop/rock
476,goddaughter (feat. e.n young),pepper,2019,country/folk
477,goodbye,mary hopkin,1968,pop/rock
478,me and your cigarettes,miranda lambert,2009,country/folk
479,tooth fang & claw,ted nugent,2012,blues/jazz
480,lightning,dispatch,2000,country/folk
481,no one receiving,brian eno,1977,pop/rock
482,find the cost of freedom,"crosby, stills, nash & young",1971,blues/jazz
483,slow healing heart,vern gosdin,1984,country/folk
484,behind the wall of sleep,the smithereens,1986,pop/rock
485,everybody's somebody's fool,connie francis,1963,pop/rock
486,don't forget,the platters,1957,pop/rock
487,withered hand,thee oh sees,2015,blues/jazz
488,still falling for you,boz scaggs,1977,country/folk
489,hip hop barber shop request line,xscape,1995,hip hop/reggae
490,to the dogs or whoever,josh ritter,2007,country/folk
491,let the rest of the world go by,willie nelson,1979,country/folk
492,proceed,the roots,2017,hip hop/reggae
493,why can't he be you,patsy cline,1963,country/folk
494,there's a tear in my beer,hank williams,1992,country/folk
495,crash,casey donahew,2006,country/folk
496,harmony,slade,1985,blues/jazz
497,burning down,nazareth,1984,blues/jazz
498,kind of woman,stevie nicks,1981,pop/rock
499,"forgive, don't forget",soja,2002,country/folk
500,mercy,wire,1978,pop/rock
501,gettin' down on the mountain,corb lund,2012,country/folk
502,tourniquet,tesseract,2015,blues/jazz
503,patricia,pérez prado,1950,pop/rock
504,let's pretend,raspberries,1972,pop/rock
505,welcome into my world,george benson,1979,blues/jazz
506,wishing well,terence trent d'arby,1987,pop/rock
507,don't give it up,larry carlton,1978,blues/jazz
508,holiday (feat. phiness),naughty by nature,1999,pop/rock
509,don't let it get you down,johnnyswim,2013,pop/rock
510,coroner,lando chill,2016,blues/jazz
511,"one man, one woman",abba,1977,pop/rock
512,the whip,the ethiopians,2004,country/folk
513,chicago,"crosby, stills, nash & young",1971,blues/jazz
514,good ole days (feat. brent cobb),whiskey myers,2016,country/folk
515,under the sun,black sabbath,1972,pop/rock
516,check out your mind,the impressions,1970,pop/rock
517,the streets of laredo,johnny cash,1965,country/folk
518,nobody in his right mind would've left her,keith whitley,1985,country/folk
519,verbal clap,de la soul,2004,blues/jazz
520,thorn in my pride,the black crowes,1992,pop/rock
521,shot clock,ella mai,2018,pop/rock
522,"be all, end all",anthrax,1988,pop/rock
523,soldiers,abba,1981,pop/rock
524,keep it dark,genesis,1981,pop/rock
525,i second that emotion,jerry garcia,1988,blues/jazz
526,hussle in the house,nipsey hussle,2019,hip hop/reggae
527,get my party on,shaggy,2002,country/folk
528,way to break my heart (feat. skrillex),ed sheeran,2019,pop/rock
529,baby the rain must fall,kenny wayne shepherd,2011,blues/jazz
530,anna marie,jim reeves,1991,country/folk
531,nicotine stain,siouxsie and the banshees,1978,pop/rock
532,will you love me tomorrow,brenda lee,1961,pop/rock
533,the wurlitzer prize,kacey musgraves,2017,country/folk
534,i got a man (re-recorded),positive k,2008,hip hop/reggae
535,far away places,bing crosby,1993,blues/jazz
536,white winter hymnal,fleet foxes,2008,pop/rock
537,the words i would say,sidewalk prophets,2009,pop/rock
538,run bobby run,lesley gore,1963,pop/rock
539,heresy,pantera,1990,pop/rock
540,herbist,cali p,2012,country/folk
541,long way to go,corey smith,2003,country/folk
542,too marvelous for words,billie holiday,1956,blues/jazz
543,jumping jack flash,peter frampton,1976,country/folk
544,"backroads life (feat. charlie farley, demun jones & the lacs)",mud digger,2015,country/folk
545,royal garden blues,bix beiderbecke,1988,blues/jazz
546,cha cha cha in blue,junior wells,1957,blues/jazz
547,papa-oom-mow-mow,the beach boys,1964,pop/rock
548,sideways (feat. citizen cope),santana,2002,blues/jazz
549,that's how i escaped my certain fate,mission of burma,1982,pop/rock
550,i was blind,b.b. king,1960,blues/jazz
551,indescribable,chris tomlin,2011,pop/rock
552,please yourself,ron gallo,2017,blues/jazz
553,egg,the garden,2015,pop/rock
554,deep inside,patra,1995,country/folk
555,(we're not) the jet set (feat. iris dement),john prine,1999,country/folk
556,affirmation,savage garden,1999,pop/rock
557,missouri,david nail,2009,country/folk
558,reckoning,whiskey myers,2014,country/folk
559,i'll always love you,tito nieves,2005,blues/jazz
560,within without,the ozark mountain daredevils,1973,country/folk
561,love is alive,the judds,1984,country/folk
562,the bed's too big without you,the police,1979,pop/rock
563,mary ann,alice cooper,1973,blues/jazz
564,high shelf booze,eilen jewell,2007,country/folk
565,bonaparte's retreat,hank locklin,1967,country/folk
566,christopher columbus,burning spear,2012,country/folk
567,the next time,cliff richard & the shadows,1963,pop/rock
568,police state,tropidelic,2015,country/folk
569,pull up vibes,beres hammond,2013,country/folk
570,my father's eyes,eric clapton,1992,blues/jazz
571,cry,mandy moore,1999,pop/rock
572,cat people (putting out fire),david bowie,1983,pop/rock
573,frontline,pillar,2004,pop/rock
574,he's in dallas,reba mcentire,1991,country/folk
575,broken whiskey glass,post malone,2016,pop/rock
576,run to him,bobby vee,1962,pop/rock
577,crash and burn,savage garden,1999,pop/rock
578,naked,james arthur,2017,pop/rock
579,lucky star,madonna,1983,pop/rock
580,vultures,phish,2011,blues/jazz
581,can't truss it,public enemy,2015,hip hop/reggae
582,the burning spear (live),sonic youth,1981,blues/jazz
583,i'm waiting,bargain music,2003,country/folk
