,common_entity,entity1,entity2,entity3,entity4,rag_text
220,Jason Bourne,2016,Paul Greengrass,UK,non-animation,"Jason Bourne is a 2016 American action-thriller film directed by Paul Greengrass and written by Greengrass and Christopher Rouse. It is the fifth installment of the Bourne film series and a direct sequel to The Bourne Ultimatum (2007). Matt Damon reprises his role as the main character, former CIA assassin Jason Bourne. In addition, the film stars Tommy Lee Jones, Alicia Vikander, Vincent Cassel, Riz Ahmed, Ato Essandoh, Scott Shepherd, with Julia Stiles reprising her role as Nicky Parsons. 
The character Aaron Cross, from The Bourne Legacy (2012), does not appear in the film because director Greengrass wanted to focus on the title character, and because actor Jeremy Renner was unable to participate due to scheduling conflicts. In Jason Bourne, Bourne remains on the run from CIA hit squads as he tries to uncover hidden truths about his father, while CIA director Robert Dewey (Jones) orders the head of cyber-security Heather Lee (Vikander) to hunt him down. Principal photography on the film commenced on September 8, 2015.
Jason Bourne premiered in London on July 11, 2016, and was theatrically released in the U.S. by Universal Pictures on July 29, 2016. The film received mixed reviews and grossed $415 million worldwide."
221,Charlie's Angels: Full Throttle,2003,McG,USA,non-animation,"Charlie's Angels: Full Throttle is a 2003 American action comedy film directed by McG and written by John August, and Cormac and Marianne Wibberley. It is the sequel to 2000's Charlie's Angels and the second installment in the Charlie's Angels film series, which is a continuation of the story that began with the television series of the same name by Ivan Goff and Ben Roberts.
In an ensemble cast, Cameron Diaz, Drew Barrymore and Lucy Liu reprise their roles as the three women working for the Townsend Agency. Crispin Glover, Matt LeBlanc and Luke Wilson also reprise their roles from the first film. It also features Justin Theroux, Demi Moore and Bernie Mac as John Bosley's adoptive brother while Robert Patrick, Shia LaBeouf, Rodrigo Santoro, John Cleese and Ja'net DuBois appear in supporting roles. Jaclyn Smith reprised her role as Kelly Garrett from the original series for a cameo appearance. It was John Forsythe's final film role before his retirement from acting in 2006 and death in 2010 respectively.
It was released in the United States on June 27, 2003 by Sony Pictures Releasing under its Columbia Pictures label and was number one at the box office for that weekend, also making a worldwide total of $259.2 million. Like its predecessor, the film received mixed reviews from critics, with praise for the performances of Diaz, Barrymore and Liu, but criticism aimed at the ""bland plot and lack of sense""."
222,Prometheus,2012,Ridley Scott,USA,non-animation,"Prometheus is a 2012 science fiction horror film co-produced and directed by Ridley Scott, with the screenplay co-written by Jon Spaihts and Damon Lindelof. It is the fifth installment in the Alien franchise. The film features an ensemble cast including Noomi Rapace, Michael Fassbender, Guy Pearce, Idris Elba, Logan Marshall-Green, and Charlize Theron. Set in the late 21st century, the film centers on the crew of the spaceship Prometheus as it follows a star map discovered among the artifacts of several ancient Earth cultures. Seeking the origins of humanity, the crew arrives on a distant world and discovers a threat that could cause the extinction of the human species.
Scott and director James Cameron developed ideas for a film that would serve as a prequel to Scott's 1979 science-fiction horror film Alien. In 2002, the development of Alien vs. Predator took precedence, and the project remained dormant until 2009 when Scott again showed interest. Spaihts wrote a script for a prequel to the events of the Alien films, but Scott opted for a different direction to avoid repeating cues from those films. In late 2010, Lindelof joined the project to rewrite Spaihts's script, and he and Scott developed a story that precedes the story of Alien but is not directly connected to the original series. According to Scott, although the film shares ""strands of Alien's DNA,"" and takes place in the same universe, Prometheus explores its own mythology and ideas.
Prometheus entered production in April 2010, with extensive design phases during which the technology and creatures that the film required were developed. Principal photography began in March 2011, with an estimated $120–130 million budget. The film was shot using 3D cameras throughout, almost entirely on practical sets, and on location in England, Iceland, Scotland, Jordan and Spain. It was promoted with a marketing campaign that included viral activities on the web. Three videos featuring the film's leading actors in character, which expanded on elements of the fictional universe, were released and met with a generally positive reception and awards.
Prometheus was released on June 1, 2012, in the United Kingdom and on June 8, 2012, in North America. The film earned generally positive reviews, receiving praise for the designs, production values and cast performances, but was criticized for its uneven script and unresolved plot points. The film grossed over $403 million worldwide. A sequel, Alien: Covenant, was released in May 2017, fully tying the film to the Alien franchise."
223,Stuart Little 2,2002,Rob Minkoff,USA,animation,"Stuart Little 2 is a 2002 American live action/computer-animated comedy film directed by Rob Minkoff and starring Geena Davis, Hugh Laurie, and Jonathan Lipnicki, and the voices of Michael J. Fox as Stuart Little and Nathan Lane as Snowbell the Cat. Although a sequel to the 1999 film Stuart Little, the plot bears more resemblance to the original novel by E.B. White, in which Stuart and Snowbell meet a canary named Margalo (voiced by Melanie Griffith).
Stuart Little 2 premiered in Westwood on July 14, 2002, and was released in theaters for the rest of North America and United Kingdom on July 19 by Columbia Pictures, and grossed $170 million against a $120 million budget, with it also receiving positive critical reviews. It was followed by a third film, a direct-to-video sequel titled Stuart Little 3: Call of the Wild in 2005."
224,Elysium,2013,Neill Blomkamp,USA,non-animation,"Elysium is a 2013 American dystopian science fiction action film written, produced, and directed by Neill Blomkamp. It was Blomkamp's second directorial effort. The film stars Matt Damon and Jodie Foster alongside Sharlto Copley, Alice Braga, Diego Luna, Wagner Moura, and William Fichtner. The film takes place on both a ravaged Earth and a luxurious artificial world (Stanford torus design) called Elysium. The film itself offers deliberate social commentary that explores political and sociological themes such as immigration, overpopulation, transhumanism, health care, worker exploitation, the justice system, technology, and social class issues.The film was released on August 9, 2013, by Sony Pictures Releasing through the TriStar Pictures label, in both conventional and IMAX Digital theaters. It received positive reviews, but critics considered it to be disappointing after Blomkamp's first film, District 9. It grossed $286 million and was released on DVD and Blu-ray on December 17, 2013.

"
225,The Chronicles of Riddick,2004,David Twohy,USA,non-animation,"The Chronicles of Riddick is a science fiction space Western media franchise created by brothers Ken and Jim Wheat and later continued by writer-director David Twohy. It follows the adventures of antihero character Riddick (either portrayed or voiced by Vin Diesel) in the 28th century.
The film series began with the release of Pitch Black (2000), which was written by director Twohy and brothers Ken and Jim Wheat from a story by the latter brothers. Since then Twohy has solely written and directed two sequels, The Chronicles of Riddick (2004) and Riddick (2013), and was involved in the development of the storyline of a number of the series' offshoots.
In addition to the feature films, The Chronicles of Riddick fictional universe includes an animated short film and several video games, motion comics, and novelizations. A fourth film, entitled Riddick: Furya, is in development."
226,RoboCop,2014,José Padilha,USA,non-animation,"RoboCop is a 2014 American science-fiction action film directed by José Padilha and written by Joshua Zetumer, Edward Neumeier, and Michael Miner. It is a remake of the 1987 film and the fourth installment of the RoboCop franchise overall. The film stars Joel Kinnaman as the title character, with Gary Oldman, Michael Keaton, Samuel L. Jackson, Abbie Cornish, Jackie Earle Haley, Michael K. Williams, Jennifer Ehle, and Jay Baruchel in supporting roles. Set in 2028, a detective becomes critically injured and is turned into a cyborg police officer whose programming blurs the line between man and machine.
Sony Pictures' Screen Gems first announced a remake in 2005, but it was halted one year later. Darren Aronofsky and David Self were originally assigned to direct and write the film, respectively, for a tentative 2010 release. The film was delayed numerous times, and Padilha signed on in 2011. In March 2012, Metro-Goldwyn-Mayer Pictures (successor company to Orion Pictures until September 11, 2014, the studio that released the original film) announced an August 2013 release, but that was then changed to February 2014. The principal characters were cast from March to July 2012. Principal photography began in September 2012 in Toronto and Vancouver in Canada, with additional locations in Hamilton, in Canada, and Detroit in the United States.
RoboCop released in the United States on February 12, 2014, by Sony Pictures Releasing. The film received mixed reviews and was compared negatively to the original film.  It grossed $242.6 million against its $100–130 million budget."
227,Speed Racer,2008,Lana Wachowski,USA,non-animation,
228,How Do You Know,2010,James L. Brooks,USA,non-animation,"How Do You Know is a 2010 American romantic comedy film directed, written and produced by James L. Brooks, and starring Reese Witherspoon, Owen Wilson, Paul Rudd and Jack Nicholson in his final film role to date. It was the third film to feature Witherspoon and Rudd following Overnight Delivery and Monsters vs. Aliens. The plot follows softball player Lisa (Witherspoon), who is caught in a love triangle between two men—the charming baseball player Matty (Wilson) and George (Rudd), a businessman who is charged for stock fraud.
The film was shot in Philadelphia and Washington, D.C., and was released on December 17, 2010. It was a box office bomb, grossing $48.7 million against a $120 million budget, and received mixed-to-negative reviews from critics."
229,Knight and Day,2010,James Mangold,USA,non-animation,"Knight and Day is a 2010 American satirical action comedy film directed by James Mangold and starring Tom Cruise and Cameron Diaz. The film was the second on-screen collaboration of Cruise and Diaz after Vanilla Sky. The film follows June Havens (Diaz), a classic car restorer who unwittingly gets caught up with the eccentric secret agent Roy Miller (Cruise) as he is on the run from the CIA.
The film's investors offset funding costs by paying Cruise a lower advance fee and providing him a share of revenue only after the financiers were repaid their investment in the production. Filming took place in several locations, mainly in several cities located in Massachusetts, while other scenes were filmed in Spain and parts of Austria and Jamaica.
Knight and Day was released in the United States on June 23, 2010 and received mixed reviews from film critics with praise for the performances of Cruise and Diaz, but criticism of its screenwriting. It grossed $262 million worldwide.
The film was remade in Hindi as Bang Bang! and was released on October 2, 2014, with Hrithik Roshan and Katrina Kaif in the lead roles.

"
230,Oblivion,2013,Joseph Kosinski,USA,non-animation,"Oblivion is a 2013 American post-apocalyptic action-adventure film produced and directed by Joseph Kosinski from a screenplay by Karl Gajdusek and Michael deBruyn, starring Tom Cruise in the main role alongside Morgan Freeman, Olga Kurylenko, Andrea Riseborough, Nikolaj Coster-Waldau, and Melissa Leo in supporting roles. Based on Kosinski's unpublished graphic novel of the same name, the film pays homage to 1970s sci-fi, and is a ""love story"" set in 2077 on an Earth desolated by an alien war; a maintenance technician on the verge of completing his mission finds a woman who survived from a space ship crash, leading him to question his purpose and discover the truth about the war.Oblivion premiered in Buenos Aires on March 26, 2013 and was released in theaters by Universal Pictures on April 19. The film grossed $286 million worldwide on a production budget of $120 million and received mixed reviews from critics."
231,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,USA,non-animation,"Star Wars: Episode III – Revenge of the Sith is a 2005 American epic space opera film written and directed by George Lucas. It stars Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Christopher Lee, Anthony Daniels, Kenny Baker, and Frank Oz. The sequel to The Phantom Menace (1999) and Attack of the Clones (2002), it is the sixth film in the Star Wars film series, the final installment in the Star Wars prequel trilogy, and third chronological chapter of the ""Skywalker Saga"". The film was the final movie in the Star Wars franchise that George Lucas worked on, with subsequent films being made without Lucas' involvement following his selling of Lucasfilm to The Walt Disney Company.
Revenge of the Sith is set three years after the onset of the Clone Wars as established in Attack of the Clones. The Jedi are spread across the galaxy in a full-scale war against the Separatists. The Jedi Council dispatches Jedi Master Obi-Wan Kenobi on a mission to defeat General Grievous, the head of the Separatist army and Count Dooku's former apprentice, to put an end to the war. Meanwhile, after having visions of his wife Padmé Amidala dying in childbirth, Jedi Knight Anakin Skywalker is tasked by the Council to spy on Palpatine, the Supreme Chancellor of the Galactic Republic and, secretly, a Sith Lord. Palpatine manipulates Anakin into turning to the dark side of the Force and becoming his apprentice, Darth Vader, with wide-ranging consequences for the galaxy.
Lucas began writing the script before production of Attack of the Clones ended, citing that he wanted the end of the trilogy to have similar aspects to a romantic tragedy, thus building into Darth Vader's state at the beginning of the next film. Production of Revenge of the Sith started in June 2003, and filming took place in Australia with additional locations in Thailand, Switzerland, China, Italy and the United Kingdom.
Revenge of the Sith premiered on May 15, 2005, at the Cannes Film Festival, then released worldwide on May 19, 2005. The film received mostly positive reviews from critics, with most regarding it as the best film of the trilogy, although some criticism was reserved for Lucas's screenplay and Christensen's performance. It broke several box office records during its opening week and went on to earn $868.4 million worldwide, making it the second-highest-grossing film in the Star Wars franchise at the time. It was the highest-grossing film in the U.S. and the second-highest-grossing film worldwide in 2005. It also holds the record for the highest opening-day gross on a Thursday, making $50 million."
232,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,USA,non-animation,"Star Wars: Episode II – Attack of the Clones is a 2002 American epic space opera film directed by George Lucas and written by Lucas and Jonathan Hales. The sequel to The Phantom Menace (1999), it is the fifth film in the Star Wars film series and second chronological chapter of the ""Skywalker Saga"". The film stars Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Christopher Lee, Anthony Daniels, Kenny Baker,
Frank Oz, Temuera Morrison, Silas Carson, and Jimmy Smits.
The story is set ten years after The Phantom Menace, as thousands of planetary systems slowly secede from the Galactic Republic and join the newly formed Confederacy of Independent Systems, led by former Jedi Master Count Dooku. With the galaxy on the brink of civil war, Obi-Wan Kenobi investigates a mysterious assassination attempt on Senator Padmé Amidala, which leads him to uncover a clone army in service of the Republic and the truth behind the Separatist movement. Meanwhile, his apprentice Anakin Skywalker is assigned to protect Amidala and develops a secret romance with her. Soon, the trio witness the onset of a new threat to the galaxy: the Clone Wars.
Development of Attack of the Clones began in March 2000, some months after the release of The Phantom Menace. By June 2000, Lucas and Hales completed a draft of the script, and principal photography took place from June to September 2000. The film crew primarily shot at Fox Studios Australia in Sydney, Australia, with additional footage filmed in Tunisia, Spain, and Italy. It was one of the first motion pictures shot completely on a high-definition digital 24-frame system.
The film was released in the United States on May 16, 2002. It received mixed reviews from critics; the film's increased focus on action was praised, while the characters and dialogue were regarded more critically. It performed well at the box office, making $653.8 million worldwide. Yet, it became the first Star Wars film to get outgrossed in its year of release, placing third domestically after Spider-Man and The Lord of the Rings: The Two Towers and fourth-highest-grossing worldwide after the former two films and Harry Potter and the Chamber of Secrets. Revenge of the Sith (2005) followed Attack of the Clones, concluding the Star Wars prequel trilogy.

"
233,"Monsters, Inc.",2001,Pete Docter,USA,animation,"Monsters, Inc. (also known as Monsters, Incorporated) is a 2001 American animated comedy film produced by Pixar Animation Studios for Walt Disney Pictures. Featuring the voices of John Goodman, Billy Crystal, Steve Buscemi, James Coburn, Mary Gibbs and Jennifer Tilly, the film was directed by Pete Docter (in his feature directorial debut), co-directed by Lee Unkrich and David Silverman, and produced by Darla K. Anderson, from a screenplay by Andrew Stanton and Daniel Gerson. The film centers on two monsters, the hairy James P. ""Sulley"" Sullivan (Goodman) and his one-eyed partner and best friend Mike Wazowski (Crystal), who are employed at the titular energy-producing factory Monsters, Inc., which generates power by scaring human children. However, the monster world believes that the children are toxic, and when a little human girl Boo (Gibbs) sneaks into the factory, she must be returned home before it is too late.
Docter began developing the film in 1996, and wrote the story with Jill Culton, Jeff Pidgeon and Ralph Eggleston, following the idea conceived in a lunch in 1994 attended during the near completion of Toy Story (1995). Stanton wrote the screenplay with Gerson. The characters went through many incarnations over the film's five-year production process. The technical team and animators found new ways to simulate fur and cloth realistically for the film. Randy Newman, who composed the music for Pixar's three prior films, returned to compose the score for its fourth.
Monsters, Inc. premiered at the El Capitan Theatre on October 28, 2001, and was released in theaters in the United States on November 2. Upon its release, it received critical acclaim and was a commercial success, grossing over $528 million worldwide to become the third highest-grossing film of 2001. The film won the Academy Award for Best Original Song for ""If I Didn't Have You"" and was nominated for the first Best Animated Feature, but lost to DreamWorks' Shrek, and was also nominated for Best Original Score and Best Sound Editing. Monsters, Inc. saw a 3D re-release in theaters on December 19, 2012. A prequel titled Monsters University, which was directed by Dan Scanlon, was released on June 21, 2013. A television series titled Monsters at Work premiered on Disney+ on July 7, 2021."
234,The Wolverine,2013,James Mangold,USA,non-animation,"The Wolverine is a 2013 superhero film featuring the Marvel Comics character Wolverine. It is the sixth installment in the X-Men film series, the second installment in the trilogy of Wolverine films after X-Men Origins: Wolverine (2009), and a spin-off/sequel to X-Men: The Last Stand (2006). Directed by James Mangold from a screenplay written by Scott Frank and Mark Bomback, based on the 1982 limited series Wolverine by Chris Claremont and Frank Miller, it stars Hugh Jackman as Logan / Wolverine, alongside Rila Fukushima, Tao Okamoto, Hiroyuki Sanada, Famke Janssen, and Will Yun Lee. Following the events of X-Men: The Last Stand, Logan travels to Japan, where he engages an old acquaintance in a struggle that has lasting consequences. Stripped of his healing powers, Wolverine must battle deadly samurai while struggling with guilt over Jean Grey's death.
The film's development began in 2009 after the release of X-Men Origins: Wolverine. Christopher McQuarrie was hired to write a screenplay for The Wolverine in August 2009. In October 2010, Darren Aronofsky was hired to direct the film. The project was delayed following Aronofsky's departure and the Tōhoku earthquake and tsunami in March 2011. In June 2011, Mangold was brought on board to replace Aronofsky. Bomback was then hired to rewrite the screenplay in September 2011. The supporting characters were cast in July 2012 with principal photography beginning at the end of the month around New South Wales before moving to Tokyo in August 2012 and back to New South Wales in October 2012. The film was converted to 3D in post-production.
The Wolverine was released by 20th Century Fox in various international markets on July 24, 2013, and in the United States two days later. It received generally positive reviews from critics, with praise for its action sequences, production design, Jackman's performance, and thematic profundity, though criticism was directed towards the climax. The film earned $414 million worldwide, making it the fifth-highest-grossing film in the series.
An unrated extended cut of the film referred to as the ""Unleashed Extended Edition"" was released on Blu-ray, featuring more blood and violence, extended action scenes, as well as additional footage during moments of character interaction. A third film titled Logan was released on March 3, 2017.

"
235,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,USA,non-animation,"Star Wars: Episode I – The Phantom Menace is a 1999 American epic space opera film written and directed by George Lucas. It stars Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ahmed Best, Ian McDiarmid, Anthony Daniels, Kenny Baker, Pernilla August and Frank Oz. It is the fourth film in the Star Wars film series, the first film of the prequel trilogy and the first chronological chapter of the ""Skywalker Saga"". Set 32 years before the original trilogy (13 years before the formation of the Galactic Empire), during the era of the Galactic Republic, the plot follows Jedi Master Qui-Gon Jinn and his apprentice Obi-Wan Kenobi as they try to protect Queen Padmé Amidala of Naboo in hopes of securing a peaceful end to an interplanetary trade dispute. Joined by Anakin Skywalker—a young slave with unusually strong natural powers of the Force—they simultaneously contend with the mysterious return of the Sith. The film was produced by Lucasfilm and distributed by 20th Century Fox.
Following the release of Return of the Jedi (1983), talks of a follow-up were proposed, but Lucas was unmotivated to return to the franchise. During the hiatus, the backstories he created for the characters, particularly Anakin's own backstory, sparked interest in him to develop a prequel trilogy during the 1990s. After he determined that computer-generated imagery (CGI) had advanced to the level he wanted for the prequel trilogy's visual effects, Lucas began writing The Phantom Menace in 1993, and production began in 1994. Filming started on June 26, 1997—at locations including Leavesden Film Studios and the Tunisian desert—and ended on September 30. The film marked Lucas' first directorial effort after a 22-year hiatus following the original Star Wars in 1977.
The Phantom Menace was released in theaters on May 19, 1999, almost 16 years after the premiere of Return of the Jedi. The film's premiere was extensively covered by media and was widely anticipated because of the large cultural following the Star Wars saga had cultivated. Upon its release, The Phantom Menace received mixed reviews from critics. While the visual effects were praised, its exposition and characters—particularly Jar Jar Binks—received criticism. The movie was a box-office success and broke numerous box-office records during its debut. It grossed more than $924.3 million worldwide during its initial theatrical run, becoming the highest-grossing film of 1999, the second-highest-grossing film worldwide and in North America (behind Titanic), and the highest-grossing Star Wars film at the time (inflation notwithstanding). A 3D reissue, which earned an additional $102.7 million and brought the film's overall worldwide takings to over $1 billion, was released in February 2012. Attack of the Clones (2002) and Revenge of the Sith (2005) followed The Phantom Menace, rounding out the Star Wars prequel trilogy."
236,The Croods,2013,Kirk De Micco,USA,animation,
237,Asterix at the Olympic Games,2008,Frédéric Forestier,France,non-animation,"Asterix at the Olympic Games (French: Astérix aux Jeux olympiques) is a 2008 French fantasy comedy film co–directed by Frédéric Forestier and Thomas Langmann, and written by Langmann, Alexandre Charlot and Frank Magnier, based on characters from René Goscinny and Albert Uderzo's Astérix comic series. A sequel to Asterix & Obelix: Mission Cleopatra (2002), it is the third installment in the Asterix film series.
At the time of its release, it was the most expensive French and non English-language film of all time. The film was negatively received by critics, but performed well at several European box offices, topping charts in Poland, Spain and France."
238,Windtalkers,2002,John Woo,USA,non-animation,"Windtalkers is a 2002 American war film directed and co-produced by John Woo, starring Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich, Mark Ruffalo, and Christian Slater. It is based on the real story of code talkers from the Navajo nation during World War II. The film was theatrically released in the United States on June 14, 2002, receiving mixed reviews and becoming a box-office bomb, grossing just $77.6 million worldwide against a production budget of $115 million."
239,The Huntsman: Winter's War,2016,Cedric Nicolas-Troyan,USA,non-animation,"The Huntsman: Winter's War is a 2016 American fantasy action-adventure film and both a prequel and sequel to Snow White and the Huntsman (2012). As the directorial debut of Cedric Nicolas-Troyan (who was a visual effects supervisor and second unit director on the first film), it takes place before and after the events of the first film. The screenplay was written by Craig Mazin and Evan Spiliotopoulos and is based on characters created by Evan Daugherty. (These, like the first film, were inspired by the fairy tale ""Snow White"" compiled by the Brothers Grimm, as well as ""The Snow Queen"" by Hans Christian Andersen.). Chris Hemsworth, Charlize Theron, Nick Frost and Sam Claflin reprised their roles from the first film; the sequel also introduced new characters played by Emily Blunt, Jessica Chastain and Rob Brydon.
The Huntsman: Winter's War premiered in Hamburg March 2016 and was released in the United States in April 2016, by Universal Pictures. The film has received generally unfavourable reviews from critics, with praise for the visuals and cast but many feeling the film was unnecessary. It grossed $165 million worldwide against an estimated $115 million production budget, making it a box-office bomb."
240,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,USA,non-animation,"Teenage Mutant Ninja Turtles is a 2014 American superhero film based on the characters of the same name created by Peter Laird and Kevin Eastman. Directed by Jonathan Liebesman and written by Josh Appelbaum, André Nemec, and Evan Daugherty, it is a reboot of the Teenage Mutant Ninja Turtles film series. The film stars Megan Fox, Will Arnett, William Fichtner, Danny Woodburn, Abby Elliott, Noel Fisher, Jeremy Howard, Pete Ploszek, and Alan Ritchson, with the voices of Johnny Knoxville and Tony Shalhoub. In the film, four mutated reptilian warriors rise from the sewers to join forces with fearless reporter April O'Neil to save New York City from the Shredder and his evil minions.
The film was announced shortly before Turtles co-creator Peter Laird sold the rights to the characters to Nickelodeon in October 2009. It was released on August 8, 2014, by Paramount Pictures. The film received negative reviews from critics for its tone and characterization, while praising its visual effects, action sequences and performances. It became a box office success and earned $485 million against a $125–150 million budget, becoming the highest-grossing film of the series, as well as the highest-grossing film from Nickelodeon Movies. A sequel, Out of the Shadows, followed in 2016 to slightly better reviews but failed to match the first film's box-office gross."
241,Gravity,2013,Alfonso Cuarón,UK,non-animation,"Gravity is a 2013 science fiction thriller film directed by Alfonso Cuarón, who also co-wrote, co-edited, and produced the film. It stars Sandra Bullock and George Clooney as American astronauts who attempt to return to Earth after the destruction of their Space Shuttle in orbit.
Cuarón wrote the screenplay with his son Jonás and attempted to develop the film at Universal Pictures. Later, the distribution rights were acquired by Warner Bros. Pictures. David Heyman, who previously worked with Cuarón on Harry Potter and the Prisoner of Azkaban (2004), produced the film with him. Gravity was produced entirely in the United Kingdom, where British visual effects company Framestore spent more than three years creating most of the film's visual effects, which involve over 80 of its 91 minutes.
Gravity opened the 70th Venice International Film Festival on August 28, 2013, and had its North American premiere three days later at the Telluride Film Festival. Upon its release, Gravity was met with widespread critical acclaim, with high praise for its direction, visuals, cinematography, acting, and score. Considered one of the best films of 2013, it appeared on numerous critics' year-end lists, and was selected by the American Film Institute in their annual Movies of the Year list. The film became the eighth highest-grossing film of 2013 with a worldwide gross of over $723 million, against a production budget of around $100 million.
Gravity earned awards and nominations from numerous critics and guilds. At the 86th Academy Awards, Gravity received a leading 10 nominations, including Best Picture and Best Actress for Bullock, and won a leading seven awards, including Best Director, Best Original Score, Best Cinematography, and Best Visual Effects. The film was also awarded six BAFTA Awards, including Outstanding British Film and Best Director, the Golden Globe Award for Best Director, seven Critics' Choice Movie Awards, the 2013 Ray Bradbury Award, and the 2014 Hugo Award for Best Dramatic Presentation. Since its release, it has been cited as among the best films of the 2010s, the 21st century and of all time.

"
242,Dante's Peak,1997,Roger Donaldson,USA,non-animation,"Dante's Peak is a 1997 American disaster film directed by Roger Donaldson, written by Leslie Bohem, and starring Pierce Brosnan, Linda Hamilton, and Charles Hallahan. The film is set in the fictional town of Dante's Peak where the inhabitants fight to survive a volcanic eruption from a long dormant stratovolcano that has suddenly woken up. The film was released on February 7, 1997, under the production of Universal Pictures and Pacific Western Productions. It received negative reviews from critics but was an average success financially. It was the last film in which Charles Hallahan starred before his death nine months later in November 1997.
It is the third film collaboration between Gale Anne Hurd and Hamilton, who both previously worked in the first two Terminator films."
243,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,USA,non-animation,"Teenage Mutant Ninja Turtles: Out of the Shadows is a 2016 American superhero film based on the Teenage Mutant Ninja Turtles characters created by Peter Laird and Kevin Eastman. The sequel to Teenage Mutant Ninja Turtles (2014), it was directed by Dave Green and written by Josh Appelbaum and André Nemec. The film stars Megan Fox, Will Arnett, Laura Linney, Stephen Amell, Noel Fisher, Jeremy Howard, Pete Ploszek, Alan Ritchson, Tyler Perry, Gary Anthony Williams, Brian Tee, and Sheamus. The film follows the Ninja Turtles who, after defeating the Shredder,  must face an even bigger foe: the dreaded Krang.
Principal photography on the film began on April 27, 2015, in New York City. It was released on June 3, 2016, by Paramount Pictures. The film received generally mixed reviews from critics, with some deeming it a slight improvement over its predecessor. However, it was a box-office bomb and grossed only $245 million against a $135 million budget, resulting in a planned third film being scrapped in favor of an animated reboot, released on August 2, 2023."
244,Fantastic Four,2015,Josh Trank,USA,non-animation,"Fantastic Four (styled as FANT4STIC) is a 2015 superhero film based on the Marvel Comics superhero team of the same name. Directed by Josh Trank, who co-wrote the screenplay with Jeremy Slater and Simon Kinberg, it stars Miles Teller, Michael B. Jordan, Kate Mara, Jamie Bell and Toby Kebbell. The film follows a group of intelligent teenagers that build a transdimensional portal, causing them to gain superhuman abilities.
20th Century Fox announced plans to reboot the franchise, and development of the film began in August 2009. Trank was hired to direct in July 2012 and the principal characters were cast in January 2014. Principal photography began in May 2014 in Baton Rouge, Louisiana and lasted for two months. Dissatisfied with the director's original cut, Fox executives mandated reshoots, which took place in January 2015.
Fantastic Four premiered at Williamsburg Cinemas in New York City on August 4, 2015, and was released on August 7 in the United States. The film was panned by critics, who called the film ""woefully misguided"" without the ""humor, joy, or colorful thrills"" found in the source material. It is often ranked among the worst superhero movies. The film grossed $167.9 million worldwide against a production budget of $120 million, making it a box-office bomb and losing 20th Century Fox over $80 million. At the 36th Golden Raspberry Awards, it won several awards, including Worst Director and Worst Picture. Trank also voiced his displeasure with the final film, blaming the studio's interference.
It was the final Fantastic Four film to be distributed by 20th Century Fox, which was acquired by Disney in 2019. A sequel scheduled for release on June 9, 2017, was canceled after the film's critical and commercial failure. However, another reboot is scheduled for release on May 2, 2025, and will be the first film in Phase Six of the Marvel Cinematic Universe (MCU)."
245,Night at the Museum,2006,Shawn Levy,USA,non-animation,"Night at the Museum is a 2006 American fantasy comedy film directed by Shawn Levy and written by Robert Ben Garant and Thomas Lennon. It is based on the 1993 children's book of the same name by Croatian illustrator Milan Trenc. The film had an ensemble cast of Ben Stiller in the lead role, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs, and Robin Williams. It tells the story of a divorced father who applies for a job as a night watchman at New York City's American Museum of Natural History and subsequently discovers that the exhibits, animated by a magical Egyptian artifact, the tablet of Akhmenrah, come to life at night. 20th Century Fox released the film on December 22, 2006, and it grossed $574.5 million worldwide, becoming the 5th highest-grossing film of 2006, but received mixed reviews from critics.
Two sequels were released: Night at the Museum: Battle of the Smithsonian in 2009, and Night at the Museum: Secret of the Tomb in 2014. An animated sequel, Night at the Museum: Kahmunrah Rises Again, was released on December 9, 2022."
246,San Andreas,2015,Brad Peyton,USA,non-animation,"San Andreas is a 2015 American disaster film directed by Brad Peyton and written by Carlton Cuse, with Andre Fabrizio and Jeremy Passmore receiving story credit. The film stars Dwayne Johnson, in the lead role, Carla Gugino, Alexandra Daddario, Ioan Gruffudd, Archie Panjabi and Paul Giamatti. Its plot centers on a massive earthquake caused by the San Andreas Fault, devastating the West Coast of the United States.
Principal photography of the film started on April 22, 2014, in Queensland, Australia, and wrapped up on July 28 in San Francisco. The film premiered in Hollywood, Los Angeles, on May 26, 2015, and was released in the United States on May 29. It received mixed reviews from critics, praising the visual effects and Johnson and Gugino's performances, but criticizing the plot and characters. The film grossed $474 million worldwide."
