,common_entity,entity1,entity2,entity3,entity4
210,The 13th Warrior,1999,John McTiernan,USA,non-animation
211,The Bourne Legacy,2012,Tony Gilroy,USA,non-animation
212,Batman & Robin,1997,Joel Schumacher,USA,non-animation
213,How the Grinch Stole Christmas,2000,Ron Howard,USA,non-animation
214,The Day After Tomorrow,2004,Roland Emmerich,USA,non-animation
215,Mission: Impossible II,2000,John Woo,USA,non-animation
216,The Perfect Storm,2000,Wolfgang Petersen,USA,non-animation
217,Fantastic 4: Rise of the Silver Surfer,2007,Tim Story,USA,non-animation
218,Life of Pi,2012,Ang Lee,USA,non-animation
219,Ghost Rider,2007,Mark Steven Johnson,USA,non-animation
220,Jason Bourne,2016,Paul Greengrass,UK,non-animation
221,Charlie's Angels: Full Throttle,2003,McG,USA,non-animation
222,Prometheus,2012,Ridley Scott,USA,non-animation
223,Stuart Little 2,2002,Rob Minkoff,USA,animation
224,Elysium,2013,Neill Blomkamp,USA,non-animation
225,The Chronicles of Riddick,2004,David Twohy,USA,non-animation
226,RoboCop,2014,José Padilha,USA,non-animation
227,Speed Racer,2008,Lana Wachowski,USA,non-animation
228,How Do You Know,2010,James L. Brooks,USA,non-animation
229,Knight and Day,2010,James Mangold,USA,non-animation
230,Oblivion,2013,Joseph Kosinski,USA,non-animation
231,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,USA,non-animation
232,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,USA,non-animation
233,"Monsters, Inc.",2001,Pete Docter,USA,animation
234,The Wolverine,2013,James Mangold,USA,non-animation
235,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,USA,non-animation
236,The Croods,2013,Kirk De Micco,USA,animation
237,Asterix at the Olympic Games,2008,Frédéric Forestier,France,non-animation
238,Windtalkers,2002,John Woo,USA,non-animation
239,The Huntsman: Winter's War,2016,Cedric Nicolas-Troyan,USA,non-animation
240,Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,USA,non-animation
241,Gravity,2013,Alfonso Cuarón,UK,non-animation
242,Dante's Peak,1997,Roger Donaldson,USA,non-animation
243,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,USA,non-animation
244,Fantastic Four,2015,Josh Trank,USA,non-animation
245,Night at the Museum,2006,Shawn Levy,USA,non-animation
246,San Andreas,2015,Brad Peyton,USA,non-animation
247,Tomorrow Never Dies,1997,Roger Spottiswoode,UK,non-animation
248,The Patriot,2000,Roland Emmerich,USA,non-animation
249,Ocean's Twelve,2004,Steven Soderbergh,USA,non-animation
250,Mr. & Mrs. Smith,2005,Doug Liman,USA,non-animation
251,Insurgent,2015,Robert Schwentke,USA,non-animation
252,The Aviator,2004,Martin Scorsese,USA,non-animation
253,Gulliver's Travels,2010,Rob Letterman,USA,non-animation
254,The Green Hornet,2011,Michel Gondry,USA,non-animation
255,300: Rise of an Empire,2014,Noam Murro,USA,non-animation
256,The Smurfs,2011,Raja Gosnell,USA,animation
257,Home on the Range,2004,Will Finn,USA,animation
258,Allegiant,2016,Robert Schwentke,USA,non-animation
259,Real Steel,2011,Shawn Levy,USA,non-animation
260,The Smurfs 2,2013,Raja Gosnell,USA,animation
261,Speed 2: Cruise Control,1997,Jan de Bont,USA,non-animation
262,Ender's Game,2013,Gavin Hood,USA,non-animation
263,Live Free or Die Hard,2007,Len Wiseman,USA,non-animation
264,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,New Zealand,non-animation
265,Around the World in 80 Days,2004,Frank Coraci,USA,non-animation
266,Ali,2001,Michael Mann,USA,non-animation
267,The Cat in the Hat,2003,Bo Welch,USA,non-animation
268,"I, Robot",2004,Alex Proyas,USA,non-animation
269,Kingdom of Heaven,2005,Ridley Scott,USA,non-animation
270,Stuart Little,1999,Rob Minkoff,Germany,non-animation
271,The Princess and the Frog,2009,Ron Clements,USA,animation
272,The Martian,2015,Ridley Scott,USA,non-animation
273,The Island,2005,Michael Bay,USA,non-animation
274,Town & Country,2001,Peter Chelsom,New Line,non-animation
275,Gone in Sixty Seconds,2000,Dominic Sena,USA,non-animation
276,Gladiator,2000,Ridley Scott,USA,non-animation
277,Minority Report,2002,Steven Spielberg,USA,non-animation
278,Harry Potter and the Chamber of Secrets,2002,Chris Columbus,UK,non-animation
279,Casino Royale,2006,Martin Campbell,UK,non-animation
280,Planet of the Apes,2001,Tim Burton,USA,non-animation
281,Terminator 2: Judgment Day,1991,James Cameron,USA,non-animation
282,Public Enemies,2009,Michael Mann,USA,non-animation
283,American Gangster,2007,Ridley Scott,USA,non-animation
284,True Lies,1994,James Cameron,USA,non-animation
285,The Taking of Pelham 1 2 3,2009,Tony Scott,USA,non-animation
286,Little Fockers,2010,Paul Weitz,USA,non-animation
287,The Other Guys,2010,Adam McKay,USA,non-animation
288,Eraser,1996,Chuck Russell,USA,non-animation
289,Django Unchained,2012,Quentin Tarantino,USA,non-animation
290,The Hunchback of Notre Dame,1996,Gary Trousdale,USA,animation
291,The Emperor's New Groove,2000,Mark Dindal,USA,animation
292,The Expendables 2,2012,Simon West,USA,non-animation
293,National Treasure,2004,Jon Turteltaub,USA,non-animation
294,Eragon,2006,Stefen Fangmeier,USA,non-animation
295,Where the Wild Things Are,2009,Spike Jonze,Germany,non-animation
296,Epic,2013,Chris Wedge,USA,animation
297,The Tourist,2010,Florian Henckel von Donnersmarck,USA,non-animation
298,End of Days,1999,Peter Hyams,USA,non-animation
299,Blood Diamond,2006,Edward Zwick,Germany,non-animation
300,The Wolf of Wall Street,2013,Martin Scorsese,USA,non-animation
301,Batman Forever,1995,Joel Schumacher,USA,non-animation
302,Starship Troopers,1997,Paul Verhoeven,USA,non-animation
303,Cloud Atlas,2012,Tom Tykwer,Germany,non-animation
304,Legend of the Guardians: The Owls of Ga'Hoole,2010,Zack Snyder,USA,animation
305,Catwoman,2004,Pitof,USA,non-animation
306,Hercules,2014,Brett Ratner,USA,non-animation
307,Treasure Planet,2002,Ron Clements,USA,animation
308,Land of the Lost,2009,Brad Silberling,USA,non-animation
309,The Expendables 3,2014,Patrick Hughes,USA,non-animation
310,Point Break,2015,Ericson Core,USA,non-animation
311,Son of the Mask,2005,Lawrence Guterman,USA,non-animation
312,In the Heart of the Sea,2015,Ron Howard,USA,non-animation
313,The Adventures of Pluto Nash,2002,Ron Underwood,USA,non-animation
314,Green Zone,2010,Paul Greengrass,France,non-animation
315,The Peanuts Movie,2015,Steve Martino,USA,animation
316,The Spanish Prisoner,1997,David Mamet,USA,non-animation
317,The Mummy Returns,2001,Stephen Sommers,USA,non-animation
318,Gangs of New York,2002,Martin Scorsese,USA,non-animation
319,The Flowers of War,2011,Yimou Zhang,China,non-animation
320,Surf's Up,2007,Ash Brannon,USA,animation
321,The Stepford Wives,2004,Frank Oz,USA,non-animation
322,Black Hawk Down,2001,Ridley Scott,USA,non-animation
323,The Campaign,2012,Jay Roach,USA,non-animation
324,The Fifth Element,1997,Luc Besson,France,non-animation
325,Sex and the City 2,2010,Michael Patrick King,USA,non-animation
326,The Road to El Dorado,2000,Bibo Bergeron,USA,animation
327,Ice Age: Continental Drift,2012,Steve Martino,USA,animation
328,Cinderella,2015,Kenneth Branagh,USA,non-animation
329,The Lovely Bones,2009,Peter Jackson,USA,non-animation
330,Finding Nemo,2003,Andrew Stanton,USA,animation
331,The Lord of the Rings: The Return of the King,2003,Peter Jackson,USA,non-animation
332,The Lord of the Rings: The Two Towers,2002,Peter Jackson,USA,non-animation
333,Seventh Son,2014,Sergey Bodrov,USA,non-animation
334,Lara Croft: Tomb Raider,2001,Simon West,USA,non-animation
335,Transcendence,2014,Wally Pfister,UK,non-animation
336,Jurassic Park III,2001,Joe Johnston,USA,non-animation
337,Rise of the Planet of the Apes,2011,Rupert Wyatt,USA,non-animation
338,The Spiderwick Chronicles,2008,Mark Waters,USA,non-animation
339,A Good Day to Die Hard,2013,John Moore,USA,non-animation
340,The Alamo,2004,John Lee Hancock,USA,non-animation
341,The Incredibles,2004,Brad Bird,USA,animation
342,Cutthroat Island,1995,Renny Harlin,USA,non-animation
343,Percy Jackson & the Olympians: The Lightning Thief,2010,Chris Columbus,UK,non-animation
344,Men in Black,1997,Barry Sonnenfeld,USA,non-animation
345,Toy Story 2,1999,John Lasseter,USA,animation
346,Unstoppable,2010,Tony Scott,USA,non-animation
347,Rush Hour 2,2001,Brett Ratner,USA,non-animation
348,What Lies Beneath,2000,Robert Zemeckis,USA,non-animation
349,Cloudy with a Chance of Meatballs,2009,Phil Lord,USA,animation
350,Ice Age: Dawn of the Dinosaurs,2009,Carlos Saldanha,USA,animation
351,The Secret Life of Walter Mitty,2013,Ben Stiller,USA,non-animation
352,Charlie's Angels,2000,McG,USA,non-animation
353,The Departed,2006,Martin Scorsese,USA,non-animation
354,Mulan,1998,Tony Bancroft,USA,animation
355,Tropic Thunder,2008,Ben Stiller,USA,non-animation
356,The Girl with the Dragon Tattoo,2011,David Fincher,USA,non-animation
357,Die Hard with a Vengeance,1995,John McTiernan,USA,non-animation
358,Sherlock Holmes,2009,Guy Ritchie,USA,non-animation
359,Ben-Hur,2016,Timur Bekmambetov,USA,non-animation
360,Atlantis: The Lost Empire,2001,Gary Trousdale,USA,animation
361,Alvin and the Chipmunks: The Road Chip,2015,Walt Becker,USA,animation
362,Valkyrie,2008,Bryan Singer,USA,non-animation
363,You Don't Mess with the Zohan,2008,Dennis Dugan,USA,non-animation
364,Pixels,2015,Chris Columbus,USA,animation
365,A.I. Artificial Intelligence,2001,Steven Spielberg,USA,non-animation
366,The Haunted Mansion,2003,Rob Minkoff,USA,non-animation
367,Contact,1997,Robert Zemeckis,USA,non-animation
368,Hollow Man,2000,Paul Verhoeven,USA,non-animation
369,The Interpreter,2005,Sydney Pollack,UK,non-animation
370,Percy Jackson: Sea of Monsters,2013,Thor Freudenthal,USA,non-animation
371,Lara Croft Tomb Raider: The Cradle of Life,2003,Jan de Bont,USA,non-animation
372,Now You See Me 2,2016,Jon M. Chu,USA,non-animation
373,The Saint,1997,Phillip Noyce,USA,non-animation
374,Spy Game,2001,Tony Scott,Germany,non-animation
375,Mission to Mars,2000,Brian De Palma,USA,non-animation
376,Rio,2011,Carlos Saldanha,USA,animation
377,Bicentennial Man,1999,Chris Columbus,USA,non-animation
378,Volcano,1997,Mick Jackson,USA,non-animation
379,The Devil's Own,1997,Alan J. Pakula,USA,non-animation
380,K-19: The Widowmaker,2002,Kathryn Bigelow,UK,non-animation
381,Conan the Barbarian,1982,John Milius,USA,non-animation
382,Cinderella Man,2005,Ron Howard,USA,non-animation
383,The Nutcracker in 3D,2010,Andrey Konchalovskiy,UK,non-animation
384,Seabiscuit,2003,Gary Ross,USA,non-animation
385,Twister,1996,Jan de Bont,USA,non-animation
386,Cast Away,2000,Robert Zemeckis,USA,non-animation
387,Happy Feet,2006,George Miller,USA,animation
388,The Bourne Supremacy,2004,Paul Greengrass,USA,non-animation
389,Air Force One,1997,Wolfgang Petersen,USA,non-animation
390,Ocean's Eleven,2001,Steven Soderbergh,USA,non-animation
391,The Three Musketeers,2011,Paul W.S. Anderson,Germany,non-animation
392,Hotel Transylvania,2012,Genndy Tartakovsky,USA,animation
393,Enchanted,2007,Kevin Lima,USA,animation
394,Safe House,2012,Daniel Espinosa,USA,non-animation
395,102 Dalmatians,2000,Kevin Lima,USA,non-animation
396,Tower Heist,2011,Brett Ratner,USA,non-animation
397,The Holiday,2006,Nancy Meyers,USA,non-animation
398,Enemy of the State,1998,Tony Scott,USA,non-animation
399,It's Complicated,2009,Nancy Meyers,USA,non-animation
400,Ocean's Thirteen,2007,Steven Soderbergh,USA,non-animation
401,Open Season,2006,Roger Allers,USA,animation
402,Divergent,2014,Neil Burger,USA,non-animation
403,Enemy at the Gates,2001,Jean-Jacques Annaud,USA,non-animation
404,The Rundown,2003,Peter Berg,USA,non-animation
405,Last Action Hero,1993,John McTiernan,USA,non-animation
406,Memoirs of a Geisha,2005,Rob Marshall,USA,non-animation
407,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,USA,non-animation
408,Arthur Christmas,2011,Sarah Smith,UK,animation
409,Meet Joe Black,1998,Martin Brest,USA,non-animation
410,Collateral Damage,2002,Andrew Davis,USA,non-animation
411,All That Jazz,1979,Bob Fosse,USA,non-animation
412,Mirror Mirror,2012,Tarsem Singh,USA,non-animation
413,Scott Pilgrim vs. the World,2010,Edgar Wright,USA,non-animation
414,The Core,2003,Jon Amiel,USA,non-animation
415,Nutty Professor II: The Klumps,2000,Peter Segal,USA,non-animation
416,Scooby-Doo,2002,Raja Gosnell,USA,non-animation
417,Dredd,2012,Pete Travis,UK,non-animation
418,Click,2006,Frank Coraci,USA,non-animation
419,Creepshow,1982,George A. Romero,USA,non-animation
420,Cats & Dogs: The Revenge of Kitty Galore,2010,Brad Peyton,USA,non-animation
421,Jumper,2008,Doug Liman,USA,non-animation
422,Hellboy II: The Golden Army,2008,Guillermo del Toro,USA,non-animation
423,Zodiac,2007,David Fincher,USA,non-animation
424,The 6th Day,2000,Roger Spottiswoode,USA,non-animation
425,Bruce Almighty,2003,Tom Shadyac,USA,non-animation
426,The Expendables,2010,Sylvester Stallone,USA,non-animation
427,Mission: Impossible,1996,Brian De Palma,USA,non-animation
428,The Hunger Games,2012,Gary Ross,USA,non-animation
429,The Hangover Part II,2011,Todd Phillips,USA,non-animation
430,Batman Returns,1992,Tim Burton,USA,non-animation
431,Over the Hedge,2006,Tim Johnson,USA,animation
432,Lilo & Stitch,2002,Dean DeBlois,USA,animation
433,Charlotte's Web,2006,Gary Winick,USA,non-animation
434,Deep Impact,1998,Mimi Leder,USA,non-animation
435,RED 2,2013,Dean Parisot,USA,non-animation
436,The Longest Yard,2005,Peter Segal,USA,non-animation
437,Alvin and the Chipmunks: Chipwrecked,2011,Mike Mitchell,USA,animation
438,Grown Ups 2,2013,Dennis Dugan,USA,non-animation
439,Get Smart,2008,Peter Segal,USA,non-animation
440,Something's Gotta Give,2003,Nancy Meyers,USA,non-animation
441,Shutter Island,2010,Martin Scorsese,USA,non-animation
442,Four Christmases,2008,Seth Gordon,Germany,non-animation
443,Robots,2005,Chris Wedge,USA,animation
444,Face/Off,1997,John Woo,USA,non-animation
445,Bedtime Stories,2008,Adam Shankman,USA,non-animation
446,Road to Perdition,2002,Sam Mendes,USA,non-animation
447,Just Go with It,2011,Dennis Dugan,USA,non-animation
448,Con Air,1997,Simon West,USA,non-animation
449,Eagle Eye,2008,D.J. Caruso,USA,non-animation
450,Cold Mountain,2003,Anthony Minghella,USA,non-animation
451,The Book of Eli,2010,Albert Hughes,USA,non-animation
452,Flubber,1997,Les Mayfield,USA,non-animation
453,The Haunting,1999,Jan de Bont,USA,non-animation
454,Space Jam,1996,Joe Pytka,USA,animation
