,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
10,Giorgio Chiellini,G. Chiellini,Juventus,3,Italy,Italian Serie A,"Giorgio Chiellini  (Italian pronunciation: [ˈdʒordʒo kjelˈliːni, ˈdʒɔr-]; born 14 August 1984) is an Italian former professional footballer who played as a centre-back. Considered one of the best  defenders of his generation, Chiellini was known for his strength, aggressiveness and man-marking, as well as his ability to play in either a three or four-man defense. He also played as a left-back earlier in his career.
At club level, Chiellini began his career with Livorno in 2000, later playing for Fiorentina on loan as well. After moving to Juventus in 2005, he won a record nine consecutive Serie A titles with the club from 2012 to 2020, as well as five Coppa Italia and five Supercoppa Italiana trophies, having also played two UEFA Champions League finals in 2015 and 2017. Chiellini was named in the Serie A Team of the Year five times, and was elected the league's Defender of the Year on three consecutive occasions between 2008 and 2010. He departed to the United States to join Los Angeles FC in 2022, winning the Supporters' Shield and MLS Cup in his first season, before announcing his retirement the following year at the age of 39.
Having made his international debut for Italy in 2004, Chiellini was selected in the nation's squads for the 2004 Summer Olympics, winning a bronze medal. He also represented Italy in four UEFA European Championships, two FIFA World Cups and two FIFA Confederations Cups. He captained the Azzurri to the UEFA Euro 2020 title, and was also part of the sides that reached the final of Euro 2012 and achieved a third-place finish at the 2013 Confederations Cup. Chiellini retired from international football in 2022 with 117 caps, making him Italy's joint fifth-highest appearance holder."
11,Sergio Leonel Agüero del Castillo,S. Agüero,Manchester City,10,Argentina,English Premier League,"Sergio Leonel Agüero del Castillo (born 2 June 1988), also known as Kun Agüero, is an Argentine former professional footballer who played as a striker. He is considered one of the best strikers of his generation and one of the greatest players in the history of the Premier League. He played for Manchester City from 2011 to 2021 and is the club's all-time top goalscorer and holds the record for most Premier League hat-tricks, with 12.
Agüero began his career at the Argentine club Independiente where, on 5 July 2003, he became the youngest player to play in the Argentine Primera División at 15 years and 35 days, breaking the 27 year record previously set by Diego Maradona. In 2006, Agüero moved to La Liga club Atlético Madrid in a transfer worth €23 million, establishing himself as one of the world's best young players and one of the most prolific players in La Liga, winning the Don Balón, the Golden Boy, and the World Soccer Young Player of the Year. Agüero also won the UEFA Europa League and the UEFA Super Cup while in Madrid.
Agüero signed for Premier League club Manchester City in 2011 in a transfer for a reported fee of £35 million. During his 10 years at the club, he won five league titles, notably scoring a last minute winner in the final league game of his debut season to win the club its first league title in 44 years. Further honours with the club include a record six EFL Cups and an FA Cup; he was also part of the club's first UEFA Champions League final. Agüero won a Premier League Golden Boot and was twice included in the PFA Team of the Year. He is the fifth all-time Premier League goalscorer and the highest non-English scorer in the competition, with 184 goals. He held the record for the most Premier League goals scored by a player for any single club until it was overtaken by Harry Kane in 2022. In 2021, he joined Barcelona on a free transfer, before retiring from football aged 33 due to heart problems in the same year. He played just four matches for the club, with his only goal coming in the first El Clásico of the 2021–22 season.
At international level, Agüero represented the Argentina under-20 team as they won the 2005 and 2007 FIFA U-20 World Cups. He played at the 2008 Olympics, scoring two goals in the semi-final against Brazil as Argentina won gold. Agüero is Argentina's third-highest all-time top goalscorer and has earned over 100 caps, representing the senior team at three FIFA World Cups (in 2010, 2014 and 2018) and five Copas América (in 2011, 2015, 2016, 2019 and 2021), winning the Copa América in 2021."
12,Sergio Ramos García,Sergio Ramos,Real Madrid CF,4,Spain,Spain Primera Division,
13,Luis Alberto Suárez Díaz,L. Suárez,FC Barcelona,9,Uruguay,Spain Primera Division,
14,Robert Lewandowski,R. Lewandowski,FC Bayern München,9,Poland,German 1. Bundesliga,
15,Sergio Busquets i Burgos,Sergio Busquets,FC Barcelona,5,Spain,Spain Primera Division,
16,David De Gea Quintana,De Gea,Manchester United,1,Spain,English Premier League,"David de Gea Quintana (Spanish pronunciation: [daˈβið ðe ˈxea kinˈtana] ; born 7 November 1990) is a Spanish professional footballer who plays as a goalkeeper. He is currently a free agent.
Born in Madrid and raised in nearby Illescas, De Gea began his playing career with Atlético Madrid, rising through the academy system at the club before making his senior debut in 2009, aged 18. After being made Atlético's first-choice goalkeeper, he helped the team win the UEFA Europa League and the UEFA Super Cup in 2010. His performances subsequently attracted the attention of Manchester United, and De Gea joined the club in 2011 for £18.9 million, a British record for a goalkeeper at the time.
In his time at Manchester United, De Gea made over 500 appearances and won a Premier League title, an FA Cup, two League Cups, three Community Shields and the UEFA Europa League. For three consecutive seasons from 2013–14 to 2015–16, he was elected as United's Sir Matt Busby Player of the Year, the first player in the award's history to win on three successive occasions (four in total), as well as being included in four consecutive (five in total) PFA Team of the Year sides from 2015 to 2018. In 2018, he was named in the FIFA FIFPro World11. De Gea left United following the expiration of his contract in 2023.
Tipped by many as the successor to Iker Casillas as Spain's long-term goalkeeper, De Gea was the captain for the Spain under-21 national team that won the European Championship in 2011 and 2013, and also competed in the 2012 Summer Olympics. He made his debut for the senior team in 2014 and was selected for that year's World Cup. De Gea was named as Spain's starting goalkeeper for the 2016 European Championship and the 2018 FIFA World Cup, receiving criticism for his performance in the latter. He lost his regular place to Unai Simón for UEFA Euro 2020."
17,Antoine Griezmann,A. Griezmann,FC Barcelona,17,France,Spain Primera Division,
18,Kalidou Koulibaly,K. Koulibaly,Napoli,26,Senegal,Italian Serie A,"Kalidou Koulibaly (born 20 June 1991) is a  professional footballer who plays as a centre-back for Saudi Pro League club Al-Hilal and captains the Senegal national team.
Koulibaly began his professional club career with French team Metz in 2010, before moving to Belgian club Genk in 2012, winning the Belgian Cup in his first season. He joined Italian team Napoli in 2014, where he won the Supercoppa Italiana title; he also won the Coppa Italia in 2020.
As Koulibaly was born in France to Senegalese parents, he was eligible to represent both nations at international level, and initially played for the France national under-20 team. He later made his senior debut with Senegal in 2015, and was a member of the Senegal squad that took participated in the 2017 Africa Cup of Nations. He was named to the side that represented Senegal at the 2018 FIFA World Cup the following year, and subsequently helped his team to the final of the 2019 Africa Cup of Nations. Koulibaly and Senegal won the 2021 Africa Cup of Nations, beating Egypt in the final."
19,Harry Kane,H. Kane,Tottenham Hotspur,10,England,English Premier League,"Harry Edward Kane  (born 28 July 1993) is an English professional footballer who plays as a striker for Bundesliga club Bayern Munich and captains the England national team. A prolific goalscorer with strong link play, Kane is regarded as one of the best players in the world and one of the best strikers of his generation. He is both Tottenham Hotspur's and England's all-time highest goalscorer, as well as being the second-highest all-time goalscorer in the Premier League. Kane has scored over 350 goals for club and country.
Beginning his senior career with Tottenham Hotspur in 2009, Kane had loan spells out to clubs across the English football pyramid, including Leyton Orient, Millwall, Leicester City, and Norwich City. Kane's involvement at Tottenham increased after Mauricio Pochettino became head coach in 2014, and in his first full season at the club he was named PFA Young Player of the Year. In the 2015–16 and 2016–17 seasons, Kane finished as the league's top goalscorer. In the latter campaign, he helped Tottenham finish as Premier League runners-up and was named PFA Fans' Player of the Year. Kane registered his best campaign statistically to date in the 2017–18 season, with 41 goals scored in 48 games across all competitions, and in the following season, he finished as a runner-up in the UEFA Champions League. He ended the 2020–21 season as the league's top goalscorer and top assist provider. In 2023, Kane became the most expensive signing in Bundesliga history, costing €110 million, as he signed for Bayern Munich.
Kane has scored 62 goals in 89 appearances for England. He appeared more than 30 times at youth international level and made a goalscoring debut with the senior team in March 2015, at age 21. Kane featured and scored during England's successful UEFA Euro 2016 qualifying campaign, and represented the country at the tournament. He was named England captain just before the 2018 FIFA World Cup, in which he finished as the competition's top goalscorer, winning the Golden Boot, leading England to fourth place, their highest finish since 1990. He led England to the runner-up position at UEFA Euro 2020, marking their first appearance in a final at the tournament and their first major final since 1966."
20,Alisson Ramsés Becker,Alisson,Liverpool,1,Brazil,English Premier League,"Álisson Ramsés Becker (born 2 October 1992), known as Alisson Becker or simply Alisson, is a Brazilian professional footballer who plays as a goalkeeper for Premier League club Liverpool and the Brazil national team. Regarded as one of the best goalkeepers of his generation, he is renowned for his immense shot stopping, distribution and ability in one-on-one situations.Alisson joined Internacional's academy in 2002, progressing through the youth set up before making his senior debut in 2013. During his four years with Internacional's senior side, Alisson won the Campeonato Gaúcho title in each season. He signed for Roma in July 2016 and was awarded Serie A Goalkeeper of the Year in 2017–18. In July 2018, Liverpool signed Alisson for a fee of £66.8 million (€72.5 million), making him the most expensive goalkeeper of all time. At Liverpool, Alisson has won the Premier League, FA Cup, EFL Cup, UEFA Champions League and FIFA Club World Cup. In 2019, he was named The Best FIFA Goalkeeper and was also the recipient of the inaugural Yashin Trophy. Alisson has twice been selected in the FIFA FIFPRO Men's World 11.
Alisson represented Brazil at various youth levels before making his senior international debut in 2015. He represented the nation at the FIFA World Cup in 2018 and 2022, and the Copa América in 2016, 2019 and 2021, winning the 2019 tournament while also being named its best goalkeeper."
21,N'Golo Kanté,N. Kanté,Chelsea,7,France,English Premier League,"N'Golo Kanté (born 29 March 1991) is a French professional footballer who plays as a defensive midfielder for Saudi Pro League club Al-Ittihad and the France national team. Considered one of the best midfielders of his generation, he is known for his work rate and defensive acumen.Kanté made his senior professional debut with Boulogne in 2012, appearing as a substitute in one Ligue 2 match, and played an entire season in the third division the following year. After that he joined Ligue 2 side Caen on a free transfer, finished third and won promotion to Ligue 1. He stayed with the club for one more year, where he helped lead the team to a mid-table finish. In 2015, Kanté joined Leicester City for a fee worth £5.6 million.
Kanté was an integral part of the Leicester City team that went on to become surprise Premier League champions in 2016. The following year, he joined Chelsea for a fee worth £32 million and again won the league, making him the first outfield player to win consecutive English league titles with different clubs since Eric Cantona in 1992 and 1993. With Chelsea he has won the FA Cup, the UEFA Europa League, the UEFA Champions League, the UEFA Super Cup, and the FIFA Club World Cup. He would play 7 seasons for Chelsea, before leaving on a free transfer to Saudi club Al-Ittihad during the summer of 2023.
Individually, Kante has been awarded the Premier League Player of the Season, the PFA Players' Player of the Year, the FWA Footballer of the Year, the UEFA Men's Midfielder of the year, and the Trophées UNFP for Best French Player Abroad twice.
Kanté made his senior international debut for France in 2016 and was included in the squad that finished runners-up at the 2016 European Championship. In 2017, Kanté was named the French Player of the Year, a first for a player from the Premier League in seven years, and twelve months later was a key member of the 2018 FIFA World Cup winning squad."
22,Kylian Mbappé Lottin,K. Mbappé,Paris Saint-Germain,7,France,French Ligue 1,"Kylian Mbappé Lottin (born 20 December 1998) is a French professional footballer who plays as a forward for  Ligue 1 club Paris Saint-Germain and captains the France national team. Regarded as one of the best players in the world, he is known for his dribbling, speed, and finishing.Born in Paris and raised in nearby Bondy, Mbappé began his senior club career in 2015 with Monaco, where he won the Ligue 1 title in the 2016–17 season. In 2017, aged 18, Mbappé signed for Paris Saint-Germain on an eventual permanent transfer worth €180 million, making him the second-most-expensive player and most expensive teenage player of all time. With PSG, he has won five Ligue 1 titles and three Coupes de France, including a domestic quadruple in the 2019–20 season, while also leading the club to its first ever UEFA Champions League final in 2020. He is the club's all-time top goalscorer and ranks third of all time in assists. He is the ninth-highest goalscorer in Ligue 1 history.
At international level, Mbappé made his senior debut for France in 2017, at age of 18. At the 2018 FIFA World Cup, Mbappé became the youngest French player to score at a World Cup, as well as the second teenager, after Pelé, to score in a World Cup final. He finished as the joint second-highest goalscorer as France won the tournament; he went on to win the FIFA World Cup Best Young Player and French Player of the Year awards for his performances. At the 2022 FIFA World Cup, France reached the final again; Mbappé won the Golden Boot and Silver Ball and set the record for most goals scored in World Cup finals by scoring a hat-trick.
Mbappé finished in third place for the 2023 Ballon d'Or and was runner-up for the 2022 The Best FIFA Men's Player award. He was named to the FIFA FIFPro World11 in 2018, 2019 and 2022, the UEFA Team of the Year in 2018 and the UEFA Champions League Squad of the Season in 2016–17, 2019–20, 2020–21 and 2021–22. He was awarded the Golden Boy in 2017, the Kopa Trophy in 2018, and was shortlisted for the Laureus World Sportsman of the Year in 2019 and 2023. Mbappé has been named Ligue 1 Player of the Year a record four times, and has finished as the Ligue 1 top scorer for a joint-record five seasons; in the 2021–22 season, he became the first player to finish as both Ligue 1 top scorer and top assist provider. In 2023, he was among Time's 100 most influential people in the world, and was ranked third on the Forbes list of the world's highest-paid athletes."
23,Gerard Piqué Bernabéu,Piqué,FC Barcelona,3,Spain,Spain Primera Division,
24,Samir Handanovič,S. Handanovič,Inter,1,Slovenia,Italian Serie A,"Samir Handanović (born 14 July 1984) is a Slovenian former professional footballer who played as a goalkeeper.
Before moving to Italy, Handanović played in his home country of Slovenia. In 2004, he was acquired by Udinese, but spent the next few years on loan, playing for teams such as Treviso, Lazio and Rimini. Handanović returned to Udinese ahead of the 2007–08 season, where he played as a starter for the next five years. In the next season, he also played European football for the first time, making his debut in UEFA Cup. After five years as starter and more than 200 appearances, Handanović joined Inter Milan in July 2012. In February 2019, he was named club captain, while in September, he made his 300th appearance for the club, and subsequently went on to reach the 2020 UEFA Europa League final that season. He made his 500th Serie A appearance in February 2021, and won his first trophy that May by winning the title.Having previously represented the Slovenia under-21 team, Handanović made his senior international debut for Slovenia in 2004. He went on to earn 81 caps for his country, the most by a goalkeeper, and played for them at the 2010 FIFA World Cup.
Nicknamed Batman, due to his acrobatic saves, he is regarded as one of the best goalkeepers of his generation, and is one of only four non-Italian keepers to be named Serie A Goalkeeper of the Year, winning the honour three times. A penalty saving specialist, during the 2010–11 Serie A season he saved a total of six penalty kicks, equalling an all-time league record set in the 1948–49 season. During the 2019–20 season, he equalled Gianluca Pagliuca's record of most penalties saved in Serie A with his 24th stop. He broke the record the following season on 17 October 2020."
25,Manuel Peter Neuer,M. Neuer,FC Bayern München,1,Germany,German 1. Bundesliga,
26,Hugo Lloris,H. Lloris,Tottenham Hotspur,1,France,English Premier League,
27,David Josué Jiménez Silva,David Silva,Manchester City,21,Spain,English Premier League,"David Josué Jiménez Silva (born 8 January 1986) is a Spanish former professional footballer who played mainly as a central or an attacking midfielder but also played as a winger or second striker. His passing ability and possession-retaining qualities earned him the nicknames Merlin (reference to the legendary wizard Merlin) and El Mago from his teammates and fans. He is considered one of the greatest midfielders of his generation and one of Manchester City's greatest ever players.
Silva spent seven years of his professional career with Valencia, playing from 2004 to 2010, and won the Copa del Rey in 2008. In the summer of 2010, he moved to Manchester City and appeared in over 400 matches for the club, winning four Premier League titles, two FA Cups and five League Cups. Silva was also named in the PFA Team of the Year three times and is the youngest player to reach 200 wins in the Premier League. He left Manchester City in 2020 after a ten-year tenure and returned to La Liga with Real Sociedad, where he won his second Copa del Rey in 2020. Later on, he sustained an anterior cruciate ligament injury during preseason training with Real Sociedad, which forced him to retire in July 2023.Silva represented Spain, from his debut for the senior team in 2006 until his international retirement in 2018. He formed a midfield partnership with Xavi and Andrés Iniesta which led to three consecutive international tournament victories – UEFA Euro 2008, 2010 FIFA World Cup, and UEFA Euro 2012. One of 13 Spanish players to have amassed 100 caps, Silva scored 35 goals for Spain, making him the 4th highest goalscorer in their history, and also provided 29 assists, making him the second-highest assist provider in their history."
