,index,common_entity,entity1,entity2
278,23961,neil young,heart of gold,1972
279,11131,randy travis,amazing grace,2000
280,10435,travis tritt,t-r-o-u-b-l-e,1992
281,10688,jerry reed,another puff,1995
282,18657,dan siegel,next to you,1983
283,1572,carole king,it's going to take some time,1971
284,19685,kirk whalum,falling in love with jesus,2002
285,1707,michael jackson,got to be there,1972
286,20883,tesseract,king,2018
287,8699,gary wright,blind feeling,1975
288,14706,santana,veracruz,1987
289,15770,eagles of death metal,stacks o' money,2004
290,2486,the sound,missiles,1980
291,16248,the dead weather,die by the drop,2010
292,6011,go radio,rolling in the deep,2011
293,770,lesley gore,i died inside,1964
294,1652,odyssey,our lives are shaped by what we love,1972
295,7856,dottie west,in its own little way,1965
296,21104,lee perry & the upsetters,dread locks,1974
297,26468,the libertines,don’t look back into the sun,2007
298,20746,yazmin lacey,marie,2017
299,23899,led zeppelin,the battle of evermore,1971
300,9923,ernest tubb,walking the floor over you,1987
301,19731,oi va voi,yesterday's mistakes,2003
302,8248,johnny cash,nazarene,1969
303,18100,pharoah sanders,love is everywhere,1973
304,6061,selena gomez & the scene,love you like a love song,2011
305,27124,banners,start a riot,2016
306,22316,ziggy marley,rainbow in the sky,2003
307,26466,arctic monkeys,balaclava,2007
308,15773,death from above 1979,cold war,2004
309,8362,leon russell,she belongs to me,1971
310,26258,cake,the guitar man,2004
311,16674,the dead weather,i feel love (every million miles),2015
312,8389,judee sill,the archetypal man,1971
313,15433,the white stripes,a boy's best friend,2000
314,20095,the faceless,planetary duality i: hideous revelation,2008
315,7057,brownie mcghee,long gone,1951
316,8549,chris ledoux,national finals rodeo,1973
317,12193,cole swindell,should've ran after you,2015
318,6574,twenty one pilots,tear in my heart,2015
319,2786,the jam,ghosts,1982
320,6678,famous dex,hoes mad,2016
321,15656,nick moss & the flip tops,ain't times hard,2003
322,7420,conway twitty,above and beyond (the call of love),1961
323,11415,kenny chesney,outta here,2004
324,17396,louis armstrong,i was doing all right,1957
325,16389,anders osborne,send me a friend,2012
326,25523,tool,intolerance,1993
327,1655,todd rundgren,when the shit hits the fan / sunset blvd.,1972
328,14460,chris rea,reasons,1984
329,24517,grateful dead,to lay me down,1981
330,28228,8ball & mjg,gangsta,2018
331,9176,alabama,very special love,1980
332,1736,electric light orchestra,ocean breakup / king of the universe,1973
333,12804,ray charles,just for a thrill,1959
334,5945,justin bieber,stuck in the moment,2010
335,4417,donell jones,knocks me off my feet,1996
336,4980,field mob,sick of being lonely,2002
337,18789,kenny g,beautiful,1986
338,19003,meshuggah,sickening,1991
339,2985,the plimsouls,oldest story in the world,1983
340,26854,muse,panic station,2012
341,17889,roberta flack,compared to what,1969
342,9810,earl thomas conley,attracted to pain,1986
343,12752,b.b. king,time to say goodbye,1958
344,22343,slightly stoopid,running with a gun,2003
345,2460,xtc,roads girdle the globe,1979
346,26305,chevelle,vitamin r (leading us along),2004
347,20348,caravan palace,clash,2012
348,22013,half pint,one big family,1997
349,6187,santigold,disparate youth,2012
350,9215,alabama,if you're gonna play in texas (you gotta have a fiddle in the band),1980
351,24835,rush,red sector a,1984
352,28369,nine,whutcha want?,2019
353,905,the byrds,eight miles high,1965
354,25977,a perfect circle,thomas,2000
355,21337,black uhuru,journey,1981
356,12649,muddy waters,long distance call,1957
357,18087,roy ayers,king george,1973
358,23579,wanda jackson,tongue tied,1961
359,10973,garth brooks,where your road leads,1998
360,12280,old dominion,a girl is a gun,2017
361,3632,galaxie 500,blue thunder,1989
362,13498,link wray,fire and brimstone,1971
363,15229,beth hart,blame the moon,1996
364,21463,ini kamoze,hail mi idren,1984
365,5726,vampire weekend,mansard roof,2008
366,5192,t.i.,motivation,2004
367,20293,between the buried and me,lunar wilderness,2011
368,4472,three 6 mafia,where's da bud,1997
369,3432,bad religion,pessimistic lines,1988
370,14983,arc angels,carry me on,1992
371,20177,madeleine peyroux,bare bones,2009
372,21267,bob marley & the wailers,wake up and live,1979
373,2160,pussycat,my broken souvenirs,1977
374,23246,damian marley,so a child may follow,2017
375,10113,mary chapin carpenter,grow old with me,1989
376,1444,the flying burrito brothers,"cody, cody",1970
377,15159,mose allison,"hey, good lookin'",1994
378,1916,sweet,fox on the run,1974
379,5115,fall out boy,the pros and cons of breathing,2003
380,23170,raging fyah,judgement day,2015
381,19201,diane schuur,i can't stop loving you,1994
382,13074,aretha franklin,what a diff'rence a day made,1964
383,21959,bounty killer,gun down,1996
384,12643,ruth brown,5-10-15 hours,1957
385,21650,pato banton,situation crazy,1990
386,6513,rainbow kitten surprise,goodnight chicago,2015
387,26883,the lumineers,elouise,2013
388,24315,judas priest,beyond the realms of death,1978
389,26726,the strokes,two kinds of happiness,2011
390,21755,ziggy marley & the melody makers,when the lights gone out,1992
391,3931,4 non blondes,calling all the people,1992
392,22741,stick figure,thick & thin,2009
393,6469,the neighbourhood,r.i.p. 2 my youth,2015
394,25768,megadeth,she-wolf,1997
395,6554,melanie martinez,pity party,2015
396,16991,the wood brothers,seasick emotions,2018
397,7357,conway twitty,lonely blue boy,1960
398,15207,dinah washington,it might as well be spring,1995
399,20321,crazy p,heartbreaker,2011
400,25100,bulletboys,for the love of money,1988
401,21626,gregory isaacs,big all around,1989
402,1932,electric light orchestra,eldorado finale,1974
403,8518,bachman-turner overdrive,give it time,1973
404,6581,melanie martinez,cry baby,2015
405,5368,50 cent,just a lil bit,2005
406,25271,ac/dc,moneytalks,1990
407,11583,casey donahew,white trash story,2006
408,18711,al jarreau,after all,1984
409,119,eddie cochran,sittin' in the balcony,1957
410,16206,the sheepdogs,the one you belong to,2010
411,3643,babyface,tender lover,1989
412,26212,phil collins,welcome,2003
413,10152,the judds,river of time,1989
414,16581,tinariwen,arhegh danagh,2014
415,24548,bob seger,nine tonight,1981
416,26931,bastille,flaws,2013
417,14768,adam gussow,freedom for my people,1988
418,6975,dj khaled,"you stay (feat. meek mill, j balvin, lil baby & jeremih)",2019
419,5820,phantogram,when i'm small,2009
420,11435,randy rogers band,tonight's not the night,2004
421,14402,santana,night hunting time,1983
422,3092,madonna,stay,1984
423,15576,hasil adkins,no more hot dogs,2002
424,27212,seether,let you down,2017
425,7106,george jones,long time to forget,1955
426,27360,grandson,stick up,2018
427,14581,bad company,burning up,1986
428,24659,slayer,evil has no boundaries,1983
429,9307,emmylou harris,son of a rotten gambler,1981
430,7808,merle haggard,falling for you,1965
431,12497,louis prima,eleanor,1951
432,18475,ronnie laws,every generation,1980
433,26591,dave matthews band,why i am,2009
434,20723,kadhja bonet,nobody other,2016
435,18502,spyro gyra,philly,1980
436,25160,ministry,so what,1989
437,23016,chronixx,most i,2013
438,8889,david allan coe,laid back and wasted,1977
439,13203,nina simone,i love your lovin' ways,1966
440,15124,sonic youth,waist,1994
441,16051,the parlor mob,my favorite heart to break,2008
442,21375,bob marley & the wailers,rastaman chant,1982
443,923,bob dylan,"if you gotta go, go now (or else you got to stay all night)",1965
444,21259,mikey dread,step by step,1979
445,7543,hank thompson,forgive me,1963
446,11367,lynyrd skynyrd,red white & blue,2003
447,7765,hank locklin,"please help me, i'm falling",1965
448,14902,the subdudes,push and shove,1991
449,7155,carl smith,time changes everything,1957
450,19905,breakestra,hiding,2005
451,9857,george strait,there's a new kid in town,1986
452,8755,gary wright,love is alive,1975
453,11068,bill monroe,uncle pen,1999
454,1992,labi siffre,another year,1975
455,2262,gerry rafferty,mattie's rag,1978
456,18697,george benson,out of the blue,1984
457,6051,ed sheeran,the a team,2011
458,11492,jason aldean,why,2005
459,9666,ronnie milsap,still losing you,1984
460,11117,tanya tucker,oh what it did to me,2000
461,25076,pink floyd,one slip,1987
462,16633,samantha fish,highway's holding me now,2015
463,22567,passafire,asteroid,2007
464,5329,madonna,jump,2005
465,14510,gary moore,listen to your heartbeat,1985
466,25351,primus,those damned blue-collar tweekers,1991
467,27554,sindicato argentino del hip hop,el dinero,2005
468,11194,the gourds,dooley,2001
469,9154,alabama,face to face,1980
470,14292,rory gallagher,big guns,1982
471,26937,current joys,blondie,2013
472,2155,the babys,a piece of the action,1977
473,6023,sleeping with sirens,f**k you,2011
474,11981,love and theft,if you ever get lonely,2012
475,27213,peter bradley adams,my arms were always around you,2017
476,23430,pepper,goddaughter (feat. e.n young),2019
477,1209,mary hopkin,goodbye,1968
478,11799,miranda lambert,me and your cigarettes,2009
479,16404,ted nugent,tooth fang & claw,2012
480,22184,dispatch,lightning,2000
481,2154,brian eno,no one receiving,1977
482,13464,"crosby, stills, nash & young",find the cost of freedom,1971
483,9649,vern gosdin,slow healing heart,1984
484,3275,the smithereens,behind the wall of sleep,1986
485,721,connie francis,everybody's somebody's fool,1963
486,23462,the platters,don't forget,1957
487,16690,thee oh sees,withered hand,2015
488,8881,boz scaggs,still falling for you,1977
489,27498,xscape,hip hop barber shop request line,1995
490,11617,josh ritter,to the dogs or whoever,2007
491,9084,willie nelson,let the rest of the world go by,1979
492,28133,the roots,proceed,2017
493,7585,patsy cline,why can't he be you,1963
494,10426,hank williams,there's a tear in my beer,1992
495,11542,casey donahew,crash,2006
496,14511,slade,harmony,1985
497,14461,nazareth,burning down,1984
498,24551,stevie nicks,kind of woman,1981
499,22301,soja,"forgive, don't forget",2002
500,2289,wire,mercy,1978
501,11953,corb lund,gettin' down on the mountain,2012
502,20571,tesseract,tourniquet,2015
503,3,pérez prado,patricia,1950
504,1708,raspberries,let's pretend,1972
505,18406,george benson,welcome into my world,1979
506,3391,terence trent d'arby,wishing well,1987
507,18352,larry carlton,don't give it up,1978
508,4687,naughty by nature,holiday (feat. phiness),1999
509,6231,johnnyswim,don't let it get you down,2013
510,20731,lando chill,coroner,2016
511,2211,abba,"one man, one woman",1977
512,22390,the ethiopians,the whip,2004
513,13491,"crosby, stills, nash & young",chicago,1971
514,12242,whiskey myers,good ole days (feat. brent cobb),2016
515,23976,black sabbath,under the sun,1972
516,1468,the impressions,check out your mind,1970
517,7819,johnny cash,the streets of laredo,1965
518,9765,keith whitley,nobody in his right mind would've left her,1985
519,19811,de la soul,verbal clap,2004
520,4004,the black crowes,thorn in my pride,1992
521,6926,ella mai,shot clock,2018
522,25125,anthrax,"be all, end all",1988
523,2614,abba,soldiers,1981
524,24514,genesis,keep it dark,1981
525,14744,jerry garcia,i second that emotion,1988
526,28364,nipsey hussle,hussle in the house,2019
527,22295,shaggy,get my party on,2002
528,7034,ed sheeran,way to break my heart (feat. skrillex),2019
529,16293,kenny wayne shepherd,baby the rain must fall,2011
530,10280,jim reeves,anna marie,1991
531,2250,siouxsie and the banshees,nicotine stain,1978
532,501,brenda lee,will you love me tomorrow,1961
533,12301,kacey musgraves,the wurlitzer prize,2017
534,27618,positive k,i got a man (re-recorded),2008
535,19137,bing crosby,far away places,1993
536,5691,fleet foxes,white winter hymnal,2008
537,26609,sidewalk prophets,the words i would say,2009
538,726,lesley gore,run bobby run,1963
539,25309,pantera,heresy,1990
540,22899,cali p,herbist,2012
541,11327,corey smith,long way to go,2003
542,12577,billie holiday,too marvelous for words,1956
543,8826,peter frampton,jumping jack flash,1976
544,12163,mud digger,"backroads life (feat. charlie farley, demun jones & the lacs)",2015
545,18870,bix beiderbecke,royal garden blues,1988
546,12609,junior wells,cha cha cha in blue,1957
547,789,the beach boys,papa-oom-mow-mow,1964
548,15581,santana,sideways (feat. citizen cope),2002
549,2851,mission of burma,that's how i escaped my certain fate,1982
550,12885,b.b. king,i was blind,1960
551,26732,chris tomlin,indescribable,2011
552,16870,ron gallo,please yourself,2017
553,27063,the garden,egg,2015
554,21901,patra,deep inside,1995
555,11077,john prine,(we're not) the jet set (feat. iris dement),1999
556,4670,savage garden,affirmation,1999
557,11758,david nail,missouri,2009
558,12123,whiskey myers,reckoning,2014
559,19893,tito nieves,i'll always love you,2005
560,8538,the ozark mountain daredevils,within without,1973
561,9636,the judds,love is alive,1984
562,24370,the police,the bed's too big without you,1979
563,13620,alice cooper,mary ann,1973
564,11648,eilen jewell,high shelf booze,2007
565,8052,hank locklin,bonaparte's retreat,1967
566,22891,burning spear,christopher columbus,2012
567,687,cliff richard & the shadows,the next time,1963
568,23167,tropidelic,police state,2015
569,23018,beres hammond,pull up vibes,2013
570,15009,eric clapton,my father's eyes,1992
571,4700,mandy moore,cry,1999
572,24757,david bowie,cat people (putting out fire),1983
573,26301,pillar,frontline,2004
574,10357,reba mcentire,he's in dallas,1991
575,6623,post malone,broken whiskey glass,2016
576,553,bobby vee,run to him,1962
577,4668,savage garden,crash and burn,1999
578,6841,james arthur,naked,2017
579,2951,madonna,lucky star,1983
580,16305,phish,vultures,2011
581,27948,public enemy,can't truss it,2015
582,14165,sonic youth,the burning spear (live),1981
583,22364,bargain music,i'm waiting,2003
584,8147,dillard & clark,git it on brother,1968
585,20399,parov stelar,jimmy's gang,2012
586,5928,katy perry,the one that got away,2010
587,17042,justin townes earle,ain’t got no money,2019
588,8576,james gang,the devil is singing our song,1973
589,25844,kid rock,i got one for ya',1998
590,1287,the monkees,as we go along,1968
591,26376,the kooks,do you love me still?,2006
592,8495,tanya tucker,old dan tucker's daughter,1972
593,17901,roberta flack,our ages or our hearts,1969
594,6567,x ambassadors,unsteady,2015
595,6,freestyle,opm medley: when i met you,1950
596,1857,barry manilow,looks like we made it,1974
597,15450,lee dorsey,holy cow,2000
598,12601,billie holiday,strange fruit,1956
599,5910,kid cudi,maniac,2010
600,15475,"bobby ""blue"" bland",two steps from the blues,2001
601,23973,jim croce,hey tomorrow,1972
602,15724,john fogerty,deja vu (all over again),2004
603,14712,dinah washington,baby did you hear,1987
604,11371,martina mcbride,this one's for the girls,2003
605,26013,mudvayne,dig,2000
606,17055,des rocs,outta my mind,2019
607,3014,the stranglers,let me down easy,1984
608,26963,alvvays,adult diversion,2014
609,8041,porter wagoner,words and music,1967
610,2637,the j. geils band,piss on the wall,1981
611,19643,tony bennett,new york state of mind (with billy joel),2001
612,21548,sumo,crua chan,1987
613,25917,powerman 5000,nobody's real,1999
614,4665,incubus,clean,1999
615,13681,eric clapton,the sky is crying / have you ever loved a woman / rambling on my mind,1974
616,20763,moonchild,hideaway,2017
617,4732,four tops,bernadette,1999
618,23252,shag rock,lip addiction,2017
619,22283,soja,true love,2002
620,883,manfred mann,"if you gotta go, go now",1965
621,19461,brian hughes,smile,1999
622,15938,willie clayton,beautiful,2006
623,7120,jean shepard,over and over,1956
624,18452,grant green,it ain't necessarily so,1980
625,11610,rascal flatts,yes i do,2006
626,14527,gary moore,out of my system,1985
627,22833,dispatch,con man,2011
628,6946,calvin harris,one kiss (with dua lipa),2018
629,7316,hank thompson,the blackboard of my heart,1960
630,12070,the band perry,don’t let me be lonely,2013
631,8642,dolly parton,living on memories of you,1974
632,24481,mötley crüe,too fast for love,1981
633,17626,brenda lee,where are you?,1963
634,16888,buddy guy,you did the crime,2018
635,4301,michael jackson,tabloid junkie,1995
636,3511,paula abdul,straight up,1988
637,4596,zebrahead,check,1998
638,18294,"emerson, lake & palmer",show me the way to go home,1977
639,2568,xtc,generals and majors,1980
640,3233,salt-n-pepa,my mic sounds nice,1986
641,9175,dolly parton,same old fool,1980
642,22086,ub40,good ambition,1998
643,27012,beck,blue moon,2014
644,18622,frank zappa,moggio,1983
645,3280,siouxsie and the banshees,cities in dust,1986
646,13627,steely dan,razor boy,1973
647,11743,lynyrd skynyrd,southern ways,2009
648,24560,iron maiden,purgatory,1981
649,24463,journey,stay awhile,1980
650,27369,jakob ogawa,velvet light,2018
651,5310,jeezy,trap star,2005
652,10874,wayne hancock,johnny law,1997
653,22092,ub40,crying over you,1998
654,15186,mad season,i'm above,1995
655,7509,george jones,a house without love,1962
656,2791,duran duran,hold back the rain,1982
657,3883,slint,"good morning, captain",1991
658,1508,harry nilsson,are you sleeping?,1970
659,7582,eddy arnold,leanin' on the old top rail,1963
660,13113,otis redding,ole man trouble,1965
661,5249,avril lavigne,my happy ending,2004
662,7449,conway twitty,the next kiss (is the last goodbye),1962
663,24337,james taylor,millworker,1979
664,6939,shawn mendes,in my blood,2018
665,3096,gloria estefan,1-2-3,1984
666,19602,brian culbertson,nice & slow,2001
667,24088,elton john,(gotta get a) meal ticket,1975
668,313,dion & the belmonts,don't pity me,1959
669,665,the impressions,i'm the one who loves you,1963
670,11591,dixie chicks,easy silence,2006
671,24028,black sabbath,a national acrobat,1973
