,common_entity,entity1,entity2
39103,Oleanna: A Play,"Mamet, David","May, 1993"
17474,Humpty Dumpty,Mother Goose,"January, 1996"
59447,Ephesus,"Keskin, Naci","January, 1998"
84570,Light A Single Candle,Beverly Butler,"January, 1970"
87784,The Joy of Juggling,dave-finnigan,"January, 1993"
28293,He Shall Thunder In The Sky: An Amelia Peabody Mystery,"Peters, Elizabeth","May, 2000"
82053,Stars of David: Prominent Jews Talk About Being Jewish,"Pogrebin, Abigail","October, 2005"
100816,Through the Eyes of a Child an Introduction To,"Norton, Donna","January, 1983"
38839,Wild Horses I Have Known,"Ryden, Hope","March, 1999"
48306,A Touch of Hope,"Kraft, Dean and Kraft, Rochelle","July, 1999"
13597,A Bloodsmoor Romance,"Oates, Joyce Carol","September, 1982"
102961,My Heart 2 Heart Girlfriends' photo album,"Franklin, Linda Campbell, Dumont, Ninda","October, 2000"
22761,Everyone Worth Knowing,"Weisberger, Lauren","May, 2006"
66389,Invasion of the Boy Snatchers,Lisi Harrison,"October, 2005"
50020,Unclutter Your Mind: 500 Ways to Focus on What's Important,"Smallin, Donna","August, 2006"
98731,A Woman's Guide to Fasting,"Nelson, Lisa E.","August, 2011"
10661,The Airline Passenger's Guerrilla Handbook,"Brown, George Albert","July, 1989"
53191,How to Bake an American Pie,"Wilson, Karma and Colon, Raul (ILT)","May, 2007"
37483,All Dogs Go to Heaven: Movie Novelization,Author Unknown,"December, 1989"
87840,Heaven and Earth: Making the Psychic Connection,"Van Praagh, James","September, 2006"
68149,All Night Long,"Krentz, Jayne Ann","January, 2007"
31879,The Seventh Day: The Story of the Jewish Sabbath,"Chaikin, Miriam","August, 1980"
88389,The Gardener's Palette: The Complete Guide to Selecting Plants by Color,"Dale, John C. and Gunnell, Kevin","March, 1992"
67681,Primal Desires,"Sizemore, Susan","September, 2007"
32558,The Daily Six: Simple Steps to Prosperity and Purpose,"Chappelear, John","November, 2006"
70571,Dave Barry's Complete Guide to Guys,"Barry, Dave","September, 2000"
50733,Exile's Song: A Novel of Darkover,"Bradley, Marion Zimmer","June, 1996"
95099,My Faith Still Holds,"Williams, Joyce (EDT)","January, 2004"
72814,Catastrophe,"Morris, Dick and McGann, Eileen","June, 2009"
98340,Peanuts Treasury,"Schulz, Charles M.","January, 2000"
64484,Peter Rabbit's Easter,"Potter, Beatrix","January, 2004"
16419,The Relationship Rescue Workbook: A Seven Step Strategy For Reconnecting with Your Partner,"McGraw, Phillip C., Ph.D.","October, 2000"
84332,Mother Of The Groom: Everything you Need to Know to Enjoy the Best Wedding Ever,"Naylor, Sharon","April, 2005"
72355,Christy: The Women of Primrose Creek,"Miller, Linda Lael","July, 2000"
31316,Ballad of Frankie Silver,"McCrumb, Sharyn","May, 1998"
82979,The Catholic Youth Bible Revised: New American Bible,,"August, 2005"
47146,Keeping Faith: Memoirs of a President,"Carter, Jimmy","October, 1982"
84070,Talking Leadership: Conversations with Powerful Women,"Hartman, Mary S. (EDT)","February, 1999"
83701,Becoming a Master Student,"Toft, Doug (EDT) and Mancina, Dean (EDT)","January, 2010"
62140,The Long Mynd,"Hughes, Edward P.","November, 1985"
50901,We Drink from Our Own Wells: The Spiritual Journey of a People,"Gutierrez, Gustavo","February, 1984"
25832,The Potato Garden: A Grower's Guide,"Oster, Maggie and Ehlers, Lesley (ILT)","June, 1993"
59477,The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate The Major Developmental Milestones,"American Academy of Pediatrics (COR) and Remer Altmann, Tanya (EDT)","September, 2006"
20399,The God of Stones and Spiders: Letters to a Church in Exile,"Colson, Charles","September, 1990"
2250,The Last Full Measure: The Life and Death of the First Minnesota Volunteers,"Moe, Richard","March, 1993"
18907,My Dog Tulip,"Ackerley, J. R","February, 1990"
44278,Get a Life: A Novel,"Gordimer, Nadine","November, 2005"
66965,Silhouette Christmas Stories 1989,"Marilyn Pappano, Lass Small, Bay Matthews, Brittany Young","October, 1989"
53340,On Strike for Christmas: A Novel,"Roberts, Sheila","October, 2007"
1844,An American Bestiary,"Haverstock, Mary Sayre","October, 1979"
55263,My Monster Mama Loves Me So,"Buehner, Mark (ILT) and Leuck, Laura","August, 2002"
81170,The Microwave Master,"Fandre, Donovan Jon","September, 1991"
3464,The English Year: A Personal Selection from Chamber's Book of Days,"Strong, Roy and Oman, Julia Trevelyan","September, 1982"
56379,Coastal North Carolina and the Outer Banks,n/a,"June, 1986"
4851,Family Pictures: A Novel,"Miller, Sue","April, 1990"
84650,Alaska Almanac,Alaska Northwest Books,"November, 2007"
74948,The Stencil Patch,"Martin, Nancy J.","January, 1984"
17941,Garden of Tea,"Pallan, Nancy Shumaker","February, 2001"
82557,Bringing Back the Bay: The Chesapeake in the Photographs of Marion Warren and the Voices of Its People,"Warren, Marion E. and Warren, Mame","August, 1994"
17059,The Best Is Yet To Come,"Asmus, Dr. Barry","July, 2001"
26344,Renewal for All God's People,"Fox, Robert J.","December, 1975"
33943,Disney's Aladdin The Magic Carpet Ride,"Margulies, Teddy Slater, Thompkins, Kenny (ILT), and Eggleston, Gary (ILT)","August, 1995"
708,You Say You Want a Revolution : A Story of Information Age Politics,"Hundt, Reed E.","March, 2000"
41415,Choices,"Settle, Mary Lee","May, 1995"
63884,Super String Games,"Gryski, Camilla and Sankey, Tom (ILT)","March, 1988"
61092,Camelot 30K,"Forward, Robert L.","August, 1996"
43496,Woman: An Intimate Geography,"Angier, Natalie","February, 2000"
94376,Changing the World One Smile At a Time,Various,"January, 2010"
27829,Sleeper Spy,"Safire, William","August, 1995"
22022,Don't Throw in the Trowel: 154 Practical Tips and Cheerful Quips on Gardening,"Bender, Texas Bix","March, 1999"
23557,The Mirror,"Freed, Lynn","September, 1997"
87945,The Minimalist Cooks at Home: Recipes That Give You More Flavor from Fewer Ingredients in Less Time,"Bittman, Mark","April, 2000"
97850,124 Prayers for Caregivers,"Guntzelman, Joan","September, 1995"
84559,The Boy Who Saved the Town,"Seabrooke, Brenda and Burns, Howard M. (ILT)","July, 2009"
67054,The Desire of Ages: God's Greatest Gift,"White, Ellen G.","January, 1990"
72949,The Christian Husband: God's Vision for Loving and Caring for Your Wife,"Lepine, Bob","March, 1999"
91907,There's Still a Person in There: The Complete Guide to Treating and Coping with Alzheimer's,"Naythons, Matthew, Castleman, Michael, and Gallagher-Thompson, Dolores","November, 2000"
62287,The Other Extreme,"MacGregor, T. J.","December, 2001"
74137,Exposing the Scoffers: Sign of the End Times,Dr. Joe Van Koevering,"January, 2001"
39768,The Assault on Reason,"Gore, Al","May, 2007"
86789,Pets Living With Cancer: A Pet Owner's Resource,"Downing, Robin","April, 2000"
72424,The Gifted Gabaldón Sisters,"Lopez, Lorraine","October, 2008"
25127,The Good Cigar,"Jeffers, H. P., Gordon, Kevin (ILT), and Gordon, Kevin","October, 1996"
96962,Profit from Your Vacation Home Dream: The Complete Guide to a Savvy Financial and Emotional Investment,"Karpinski, Christine Hrib","July, 2005"
65269,The colorful Du Pont Company,"Wingate, P. J","January, 1982"
36788,Pippi Longstocking,"Lindgren, Astrid, Glanzman, Louis S. (ILT), and Glanzman, Louis S.","May, 1988"
94416,Eatsmart: The Nutrition Cookbook You Can't Live Without,"Carper, Jean","January, 2004"
79567,The Bourgeois Experience: Victoria to Freud Volume 1: Education of the Senses,"Gay, Peter","November, 1985"
94583,Complete Guide to Antiques,Martin Miller,"January, 2003"
50828,Lowfat Cooking For Dummies,"Fischer, Lynn","May, 1997"
802,Pioneering Ascents,"Mazel, David (EDT)","April, 1991"
58114,My Land and My People: The Original Autobiography of His Holiness the Dalai Lama of Tibet,Dalai Lama XIV,"December, 1997"
51072,Tropical Freeze,"Hall, James W.","March, 1995"
90020,Ian Fleming's Master Spy James Bond In For Special Services,John Gardner,"January, 1982"
46391,God's Eye View: Worshiping Your Way To A Higher Perspective,"Tenney, Tommy","February, 2002"
10623,Do Your Own Drywall: An Illustrated Guide,"Kozloski, A. J.","July, 1992"
7420,Knee Deep in Paradise,"Butler, Brett","May, 1996"
85094,Savannah Seasons,"Terry, Elizabeth and Terry, Alexis","May, 1996"
71430,The Late Great Future,"Gregory, Walter M. Miller, Dillon, John (editors) (Frederik Pohl, and C Fitz Gerald","January, 1976"
265,Princess Margaret,"Hope, Alice","January, 1955"
65989,Papercraft and paper Fun,"Painter, Lucy","May, 2002"
675,Geography and Development: A World Regional Approach,FISHER,"January, 1989"
47284,Concerning the Spiritual in Art,"Kandinsky, Wassily","June, 1977"
74752,Democracy in America Volume 1,Alexis de Tocqueville,"January, 1960"
81481,A Picture Book of Dinosaurs,"Kinnealy, Janice (ILT) and Nemes, Claire","January, 1990"
34756,Triathlon Training in Four Hours a Week,"Harr, Eric","May, 2003"
49260,Civilization of Europe in the Renaissance,"Hale, John R.","June, 1995"
63387,The All New Ultimate Bread Machine Cookbook: 101 Brand New Irresistible Foolproof Recipes For Family And Friends,"Lacalamita, Tom","October, 1999"
50150,The Tastemakers,"Lynes, Russell","January, 1954"
55104,The Song of the Bird,"De Mello, Anthony","August, 1984"
54238,Tender Mercy for a Mother's Soul: Inspiration to Renew Your Spirit,"Guffey, Angela Thomas","March, 2001"
49074,Sex and the Seasoned Woman: Pursuing the Passionate Life,"Sheehy, Gail","January, 2006"
34864,The Home Alone Survival Guide,"Hammerslough, Jane","January, 1993"
31350,High Crimes,"Finder, Joseph","January, 1998"
90902,Beautiful Creatures,"Garcia, Kami and Stohl, Margaret","September, 2010"
2556,First Ladies: From Martha Washington to Laura Bush,"Caroli, Betty Boyd","September, 2003"
33606,The Year My Parents Ruined My Life,"Freeman, Martha","September, 1999"
64686,The Butter Did It: A Gastronomic Tale of Love and Murder,"Richman, Phyllis","May, 1998"
46655,Gourmet Vegetarian Feast: An International Selection of Appetizing Recipes for All Occasions,"Shulman, Martha Rose","May, 1987"
58749,Low Cholesterol Cook Book,Sunset Books,"January, 1990"
35312,Winning 'em Over: A New Model for Management in the Age of Persuasion,"Conger, Jay Alden","June, 1998"
94822,Camera Trickery,"Croy, O.R.","January, 1977"
5662,Peel My Love Like an Onion,"Castillo, Ana","September, 1999"
24905,If I Had a Hammer Women's Work,"Martz, Sandra","January, 2010"
58880,The Martyred,"Kim, Richard E.","January, 1965"
57947,Who Stole the Wizard of Oz?,"Avi and James, Derek (ILT)","January, 1990"
78199,The 1995: What Color Is Your Parachute? A Practical Manual for Job Hunters and Career Changers,"Bolles, Richard Nelson","October, 1994"
89260,Profitable Photography in Digital Age: Strategies for Success,"Heller, Dan","June, 2005"
92541,London Bridges: A Novel,"Stevenson, Jane","September, 2002"
8384,Every Eye Beholds You,"Craughwell, Thomas","January, 1998"
17606,Living History,"Clinton, Hillary Rodham","June, 2003"
69807,Silver Angel,"Lindsey, Johanna","April, 1999"
16398,True Work: The Sacred Dimension of Earning a Living,"Toms, Michael, Willis, Justine, and Toms, Justine Willis","February, 1998"
18778,Broken Lives : Personal View of the Bosnian Conflict,"STEWART, Lieutenant-Colonel Bob.","January, 1993"
30279,Furry Logic: A Guide to Life's Little Challenges,"Seabrook, Jane","December, 2003"
59873,The Lucky Guide to Mastering Any Style: How to Wear Iconic Looks and Make Them Your Own,"France, Kim and Linett, Andrea","October, 2008"
98408,Kick the Clutter: Clear Out Excess Stuff Without Losing What You Love,Ellen Phillips,"January, 2007"
22405,Arco Making Money in Technical Writing,"Kent, Peter","October, 1997"
47666,The Other Side of the Story,"Powell, Jody","April, 1984"
44733,Splintered Icon,"Napier, Bill","August, 2005"
26351,No Place Left Called Home,"Cogswell, James A.","February, 1983"
44150,When I Get Bigger,"Mayer, Mercer","November, 1999"
65514,The Book Whisperer: Awakening the Inner Reader in Every Child,"Anderson, Jeff (FRW) and Miller, Donalyn","February, 2009"
47539,Better Homes and Gardens After Work Cook Book,"""Better Homes and Gardens""","March, 1974"
57647,501 Spanish Verbs,"Kendris, Christopher and Kendris, Theodore N.","May, 2003"
96900,Memory Makers,"Fields, Doug and Robbins, Duffy","April, 1996"
19136,Sexual confidence,"Phillips, Debora","January, 1980"
82404,Playing The Game,"Sheard, Jim, Armstrong, Wally","April, 1998"
15404,The Book of Outdoor Gardening,"Smith & Hawken (EDT) and Anderson, Jim (ILT)","January, 1996"
37883,Life in the Meadow,"Curran, Eileen","March, 1987"
77614,The Crystal Skull,"Scott, Manda","February, 2009"
5971,Dancers in the Afterglow,Jack L. Chalker,"August, 1978"
16682,On the Up and Up: A Survival Guide for Women Living with Men on the Down Low,"Hunter, Karen and Browder, Brenda Stone","February, 2005"
1781,The Stuntwoman's Workout: Get Your Body Ready for Anything,"Burgio, Danielle and Worick, Jennifer (CON)","March, 2005"
49452,Target Hitler: The Plots to Kill Adolf Hitler,"Duffy, James P. and Ricci, Vincent L.","August, 1992"
49707,Crazy Time: Surviving Divorce,"Trafford, Abigail","September, 1982"
30815,Nighttime Is My Time,"Clark, Mary Higgins","April, 2004"
21587,When Christ and His Saints Slept: A Novel,"Penman, Sharon Kay","February, 1996"
79303,The Sweetwater Saga,Roxanne Dent,"September, 1979"
59489,Vegetables: Artichokes to Zucchini,"Famularo, Joe and Imperiale, Louise","September, 1993"
11854,The Prize: A Collection of Stories,"Weedn, Flavia","June, 1983"
26781,Will This Do?: An Autobiography,"Waugh, Auberon","May, 1998"
103010,Birds in Your Backyard,"Dolezal, Robert J.","October, 2004"
51175,What I Know Now: Letters to My Younger Self,"Spragins, Ellyn (EDT)","April, 2008"
42773,The Worst Case Scenario Survival Handbook: Travel,"Borgenicht, David and Piven, Joshua","April, 2001"
43749,War Is a Force that Gives Us Meaning,"Hedges, Chris","June, 2003"
70017,Stainless Steal Hearts,"Kraus, Harry Lee","June, 1994"
4042,Mandarin,"Elegant, Robert","September, 1983"
16712,The Underground Man,"MacDonald, Ross","January, 1971"
16940,Writing in General and the Short Story in Particular: An Informal Textbook,"Hills, L. Rust","June, 1987"
100273,Bug in a Rug,Sue Graves,"January, 2006"
97015,Serenity,"Kraus, Harry Lee","July, 2002"
41811,Daily Candy A to Z: An Insider's Guide to the Sweet Life,,"April, 2006"
87103,Type 2 Diabetes for Beginners,"Barrier, Phyllis","February, 2005"
61029,The Oil Factor: Protect Yourself and Profit from the Coming EnergyCrisis,"Leeb, Stephen and Leeb, Donna","February, 2005"
92345,The Christmas story,"Watson, Jane Werner","January, 1972"
95473,We Would See Jesus,"Hession, Roy","June, 1964"
72557,The Best American Travel Writing 2007,"Wilson, Jason (EDT) and Orlean, Susan (EDT)","October, 2007"
61743,The Husband,"Koontz, Dean R.","May, 2007"
52577,Angels Among Us,"Alabama and Shin, Laura (EDT)","May, 1998"
38821,Ultimate Questions,John Blanchard,"June, 1992"
75510,Diplomats and Demagogues: The Memoirs of Spruille Braden,"Braden, Spruille","January, 1971"
83985,The Covenant In Action,"Smiley, Tavis (COM)","February, 2007"
31140,A Bear for All Seasons,"Brown, Kathryn (ILT) and Fuchs, Diane Marcial","October, 1995"
43405,The Ultimate Joke Book: 100s of Great Clean Jokes,"Harmon, Daniel E.","January, 2002"
92876,The Magdalene Cipher,JIM HOUGAN,"January, 2000"
95333,High Crimes: A Novel,"Finder, Joseph","March, 2011"
34763,American Red Cross standard first aid: Workbook,American Red  Cross,"January, 1988"
81955,Office XP For Dummies,"Wang, Wally","May, 2001"
9794,Microcomputer dictionary,"Sippl, Charles J.,","January, 1981"
71255,Smile On The Void,"Gordon, Stuart","September, 1982"
53297,Maggie Bean Stays Afloat,"Rayburn, Tricia","May, 2008"
19677,Great Ideas And Theories Of Modern Cosmology,"Singh, Jagjit","January, 1961"
5878,Poems Of Childhood,Rh Value Publishing,"December, 1988"
7473,Wall Street Words: An Essential A to Z Guide for Today's Investor,"Scott, David L.","July, 1997"
67634,The Everything Baby Shower Book,"Jenkins, Jennifer","March, 2000"
55176,Magic's Price,"Lackey, Mercedes","July, 1990"
5649,Until Proven Innocent,"Kelly, Susan","July, 1990"
40,The Book of Courtly Love: The Passionate Code of the Troubadours,"Hopkins, Andrea","November, 1994"
29569,Chapman Piloting 52ED,"Chapman, Charles F.","January, 1976"
39584,Personal Finance for Seniors,frank-w-cawood-and-associates-staf,"January, 2005"
28750,Macroeconomics,Robert C. Bingham~William B. Walstad,"August, 1992"
31989,Mastering Serial Communications,"Gofton, Peter W.","November, 2000"
95014,Dog Heroes,Karl Meyer,"January, 2008"
92632,J Is for Judgment,"Grafton, Sue","June, 1997"
88869,And Still We Rise: Interviews With 50 Black Role Models,"Reynolds, Barbara A.","February, 1988"
58719,A Three Dog Life: A Memoir,"Thomas, Abigail","September, 2006"
68089,Everything Bartender,"Resnick, Jane Parker","August, 1997"
96178,Aircraft Owners Handbook,"Foster, Timothy R.V.","April, 1979"
63161,Decorating cakes and Cookies,"Jenne, Gerhard","January, 1998"
12870,Natural Healing Foods Encyclopedia,FC A,"December, 1993"
6456,The Depression Sourcebook,"Quinn, Brian","April, 2000"
6323,The Pollinators of Eden,John Boyd,"January, 1969"
62108,Hour of the Horde,"Dickson, Gordon R.","August, 1978"
4766,Wall Coverings,Sunset,"October, 1982"
80253,Putting Amazing Back into Grace: Embracing the Heart of the Gospel,"Packer, J. I. (FRW) and Horton, Michael Scott","May, 2002"
6739,A Hovering of Vultures,"Barnard, Robert","September, 1993"
92313,Basic Portrait Techniques,"Wolf, Rachel (EDT) and Rubin Wolf, Rachel (EDT)","February, 1994"
19760,Ventus,"Schroeder, Karl","December, 2000"
32516,365 Ways to Prepare for Christmas,"Monn, David E.","September, 1993"
91491,Mel Bay presents Blues Harp,"Duncan, Phil","June, 1993"
33807,The Dark Side of Camelot,"Hersh, Seymour M.","September, 1998"
73663,The Very Large Church: New Rules for Leaders,"Schaller, Lyle E.","May, 2000"
2369,Heart of the Home: Notes From a Vineyard Kitchen,"Branch, Susan","October, 1986"
445,The practice of social research,"Babbie, Earl","January, 1983"
19863,Looking Back: A Book of Memories,"Lowry, Lois","March, 2000"
53071,Clifford's Bathtime,"Bridwell, Norman","September, 1991"
5704,Best New American Voices 2001,"Kulka, John (EDT), Danford, Natalie (EDT), and Baxter, Charles (EDT)","November, 2001"
37565,Glow: A Prescription for Radiant Health and Beauty,"Pirello, Christina","November, 2001"
96807,How Will the Easter Bunny Know?,"Weston, Martha (ILT) and Winters, Kay","February, 1999"
34463,Good News Travels Fast,"Flinn, Lisa and Younger, Barbara","January, 2002"
67592,East of the Sun and West of the Moon,"Hague, Kathleen, Hague, Michael, and Asbjornsen, Peter Christen","August, 1989"
32536,Pocket Guide to Herbs,"Kruger, Anna","January, 1997"
93632,The Block,"Litwin, Bob, Silverman, Chip","June, 1997"
55115,Don't Say Yes When You Want to Say No: Making Life Right When It Feels All Wrong,"Fensterheim, Herbert and Baer, Jean","October, 1975"
29826,The Bad Girl's Guide to Getting What You Want,"Tuttle, Cameron and Bettag, Susannah (ILT)","October, 2000"
4750,Mysteries of the Deep,"Thorndike, Joseph","January, 1980"
62234,Parenthood: Who's Raising Whom? Strategies for Saving Your Sanity,"Thomson, Michael M.","December, 1994"
33429,The Hundred Secret Senses,"Tan, Amy","October, 1995"
34408,Behind the Scenes at the Museum,"Atkinson, Kate","June, 1998"
1785,Wallys Workshop P,"W.brunner, Pan media produ","October, 1974"
9091,My Spy: Memoir of a Cia Wife,"Kiyonaga, Bina Cady","March, 2000"
21043,Lonely Planet Egyptian Arabic Phrasebook,"Wayne, Scott","October, 1990"
45260,Old Murders,"Whalley, Peter","December, 1988"
24195,Bella Tuscany: The Sweet Life in Italy,"Mayes, Frances","April, 1999"
9700,Guide to Writing Sociology Papers,"Sociology Writing Group, Richlin-Klonsky, Judith (EDT), Strenski, Ellen (EDT), Giarrusso, Roseann (EDT), and University of California, Los Angeles Sociology Writing Group (COR)","July, 1997"
87865,Compass Rose,"Casey, John","October, 2010"
28348,Weight Watchers Favorite Recipes,Weight Watchers International,"March, 1988"
12026,Steam Locomotives,"Kalla-Bishop, P. M. and Greggio, Luciano","December, 1985"
65079,The Bread Machine Book,"Lambert, Marjie","March, 1996"
27265,What Would Jesus Do?,"Morris, Deborah and Sheldon, Garrett W.","January, 1998"
24887,Maasai,"Saitoti, Tepilit Ole","September, 1980"
63492,Understanding Ballet,"Clarke, Mary and Crisp, Clement","March, 1978"
9268,Why Can't Men Open Up: Overcoming Men's Fear of Intimacy,"Naifeh, Steven and Smith, Gregory White","May, 1984"
31006,If I Live to Be 100: Lessons from the Centenarians,"Ellis, Neenah","September, 2002"
28219,Simply Stylish Flowers,"Vaughan, Mary Jane","January, 1998"
72664,Spider's Web: The Secret History of How the White House Illegally Armed Iraq,"Friedman, Alan","October, 1993"
49064,Ghost Canoe,"Hobbs, Will","July, 1998"
91613,Skyward: Why Flyers Fly,"Munson, Russell","October, 1989"
60219,Hot Ice: A Novel,"Roberts, Nora","August, 1987"
37869,Lean Mean Urkell Machine,"Worth, Bonnie","February, 1992"
16180,Portraits of Guilt,"Boylan, Jeanne","June, 2000"
42922,Tomorrow Is Mom's Birthday,"Dorflinger, Carolyn and Trapani, Iza (ILT)","February, 1996"
78764,Capital Classics,Junior League of Washington (EDT),"October, 1997"
64998,New Testament Survey,Merrill C. Tenney,"January, 1982"
93009,Delphi,Manolis Andronicos,"January, 1976"
16748,The New California Cuisine: Great Recipes from the Los Angeles Times,"Dosti, Rose","April, 1987"
85257,Help,"Stockett, Kathryn","January, 2010"
1685,The Lost Chronicles: The Official Companion Book with Bonus DVD Behind the Scenes of LOST,"Vaz, Mark Cotta","September, 2005"
52640,Taking Charge: The Dynamics of Personal Decision Making and Self Management,"McMinn, Gordon","June, 1980"
35942,Perfect Business: How To Make A Million From Home With No Payroll No Debts No: How To Make A Million From Home With No Payroll No Employee Headaches No Debt,"Leboeuf, Michael (NRT)","July, 1996"
15608,Ten Stupid Things Men Do to Mess Up Their Lives,"Schlessinger, Laura","August, 1997"
23204,The Corporate Closet: The Professional Lives of Gay Men in America,"Woods, James D. and Lucas, Jay H.","August, 1993"
17595,The pathology of leadership,"L'Etang, Hugh","January, 1970"
9097,Better Homes and Gardens Quick and Easy Woodcrafts,Better Homes and Gardens Books,"August, 1987"
32537,Taylor's Guide to Ornamental Grasses,"Holmes, Roger (EDT)","September, 1996"
23640,Disappearances,"Wiser, William","April, 1984"
70700,Memoirs of a Scandalous Red Dress,"Boyle, Elizabeth","April, 2009"
50662,Up Where You Belong: A God's Eye View Devotional,"Tenney, Tommy","October, 2002"
83558,SCANDINAVIA: A Picture Book to Remember,Gibbon,"June, 1988"
43510,Henry and Mudge and the Forever Sea,"Rylant, Cynthia","July, 1997"
68367,Tertio Millennio Adveniente: of His Holiness Pope John Paul II,Pope John Paul II,"January, 1994"
5022,Bradshaw on the Family: A Revolutionary Way of Self Discovery,"Bradshaw, John","January, 1988"
41995,Antonia Saw The Oryx First,"Thomas, Maria","January, 1988"
85466,James McNair's Fish Cookbook,"McNair, James","October, 1991"
8150,Alaska and the Yukon,"Walker, Joyce","March, 1992"
92659,Genomic Medicine: Articles from the New England Journal of Medicine,"Guttmacher, Alan E., M.D., Collins, Francis S. (EDT), Drazen, Jeffrey M. (EDT), and Zerhouni, Elias (FRW)","March, 2004"
51909,The Cat Who Dropped a Bombshell,"Braun, Lilian Jackson","January, 2006"
83847,Discovering Maryland Wineries,"Atticks, Kevin M.","December, 1998"
36726,Living Through the Meantime: Learning to Break the Patterns of the Past and Begin the Healing Process,"Vanzant, Iyanla","August, 2001"
29689,Troublemaker,"Vecsey, George and Wu, Hongda Harry","March, 1998"
16453,The Boy Who Dared to Rock: The Definitive Elvis,"Lichter, Paul","July, 1978"
79131,College Knowledge: What It Really Takes for Students to Succeed and What We Can Do to Get Them Ready,"Conley, David T.","April, 2005"
80498,Dogs For Dummies 2e,"Spadafori, Gina","November, 2000"
6424,I Call the Shots: Straight Talk About the Game of Golf Today,"Miller, Johnny and Yocom, Guy","May, 2004"
33521,No Time for Tears,"Freeman, Cynthia","October, 1981"
17416,Void Moon,"Connelly, Michael","December, 1999"
13690,Where There's Smoke,"Hunter, Evan","June, 1975"
49128,Tiger Burning Bright,"Lackey, Mercedes, Bradley, Marion Zimmer, and Norton, Andre","October, 1996"
