,common_entity,entity3,entity2,entity1,entity4
52,Transformers: Dark of the Moon,2011.0,Michael Bay,Glenn Morshower,1965
53,Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Steven Spielberg,Harrison Ford,1946
54,The Good Dinosaur,2015.0,Peter Sohn,A.J. Buckley,1977
56,Star Trek Beyond,2016.0,Justin Lin,Sofia Boutella,1971
57,WALL·E,2008.0,Andrew Stanton,John Ratzenberger,1965
58,Rush Hour 3,2007.0,Brett Ratner,Tzi Ma,1969
59,2012,2009.0,Roland Emmerich,Oliver Platt,1955
60,A Christmas Carol,2009.0,Robert Zemeckis,Robin Wright,1952
61,Jupiter Ascending,2015.0,Lana Wachowski,Channing Tatum,1965
62,The Legend of Tarzan,2016.0,David Yates,Christoph Waltz,1963
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,Andrew Adamson,Jim Broadbent,1966
64,X-Men: Apocalypse,2016.0,Bryan Singer,Jennifer Lawrence,1965
65,The Dark Knight,2008.0,Christopher Nolan,Christian Bale,1970
66,Up,2009.0,Pete Docter,John Ratzenberger,1968
67,Monsters vs. Aliens,2009.0,Rob Letterman,Amy Poehler,1970
68,Iron Man,2008.0,Jon Favreau,Robert Downey Jr.,1966
69,Hugo,2011.0,Martin Scorsese,Chloë Grace Moretz,1942
70,Wild Wild West,1999.0,Barry Sonnenfeld,Will Smith,1953
71,The Mummy: Tomb of the Dragon Emperor,2008.0,Rob Cohen,Jet Li,1949
72,Suicide Squad,2016.0,David Ayer,Will Smith,1968
73,Evan Almighty,2007.0,Tom Shadyac,Jimmy Bennett,1958
74,Edge of Tomorrow,2014.0,Doug Liman,Tom Cruise,1965
76,G.I. Joe: The Rise of Cobra,2009.0,Stephen Sommers,Joseph Gordon-Levitt,1962
77,Inside Out,2015.0,Pete Docter,Amy Poehler,1968
78,The Jungle Book,2016.0,Jon Favreau,Scarlett Johansson,1966
79,Iron Man 2,2010.0,Jon Favreau,Robert Downey Jr.,1966
80,Snow White and the Huntsman,2012.0,Rupert Sanders,Chris Hemsworth,1971
82,Dawn of the Planet of the Apes,2014.0,Matt Reeves,Gary Oldman,1966
83,The Lovers,2015.0,Roland Joffé,Tamsin Egerton,1945
87,Tomorrowland,2015.0,Brad Bird,Judy Greer,1957
89,Wreck-It Ralph,2012.0,Rich Moore,Jack McBrayer,1963
90,The Polar Express,2004.0,Robert Zemeckis,Tom Hanks,1952
91,Independence Day: Resurgence,2016.0,Roland Emmerich,Vivica A. Fox,1955
92,How to Train Your Dragon,2010.0,Dean DeBlois,Gerard Butler,1970
93,Terminator 3: Rise of the Machines,2003.0,Jonathan Mostow,Nick Stahl,1961
94,Guardians of the Galaxy,2014.0,James Gunn,Bradley Cooper,1966
95,Interstellar,2014.0,Christopher Nolan,Matthew McConaughey,1970
96,Inception,2010.0,Christopher Nolan,Leonardo DiCaprio,1970
97,Godzilla Resurgence,2016.0,Hideaki Anno,Mark Chinnery,1960
98,The Hobbit: An Unexpected Journey,2012.0,Peter Jackson,Aidan Turner,1961
99,The Fast and the Furious,2001.0,Rob Cohen,Paul Walker,1949
100,The Curious Case of Benjamin Button,2008.0,David Fincher,Brad Pitt,1962
101,X-Men: First Class,2011.0,Matthew Vaughn,Jennifer Lawrence,1971
102,The Hunger Games: Mockingjay - Part 2,2015.0,Francis Lawrence,Jennifer Lawrence,1971
103,The Sorcerer's Apprentice,2010.0,Jon Turteltaub,Nicolas Cage,1963
104,Poseidon,2006.0,Wolfgang Petersen,Jimmy Bennett,1941
107,Warcraft,2016.0,Duncan Jones,Dominic Cooper,1971
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,Michael Apted,Bruce Spence,1941
110,Pearl Harbor,2001.0,Michael Bay,Jennifer Garner,1965
111,Transformers,2007.0,Michael Bay,Zack Ward,1965
112,Alexander,2004.0,Oliver Stone,Anthony Hopkins,1946
113,Harry Potter and the Order of the Phoenix,2007.0,David Yates,Robert Pattinson,1963
115,Hancock,2008.0,Peter Berg,Will Smith,1964
116,I Am Legend,2007.0,Francis Lawrence,Will Smith,1971
117,Charlie and the Chocolate Factory,2005.0,Tim Burton,Johnny Depp,1958
118,Ratatouille,2007.0,Brad Bird,Janeane Garofalo,1957
119,Batman Begins,2005.0,Christopher Nolan,Christian Bale,1970
120,Madagascar: Escape 2 Africa,2008.0,Eric Darnell,Bernie Mac,1961
121,Night at the Museum: Battle of the Smithsonian,2009.0,Shawn Levy,Robin Williams,1968
122,X-Men Origins: Wolverine,2009.0,Gavin Hood,Hugh Jackman,1963
123,The Matrix Revolutions,2003.0,Lana Wachowski,Essie Davis,1965
124,Frozen,2013.0,Chris Buck,Josh Gad,1958
125,The Matrix Reloaded,2003.0,Lana Wachowski,Steve Bastoni,1965
128,Angels & Demons,2009.0,Ron Howard,Tom Hanks,1954
129,Thor,2011.0,Kenneth Branagh,Chris Hemsworth,1960
130,Bolt,2008.0,Byron Howard,Chloë Grace Moretz,1968
131,G-Force,2009.0,Hoyt Yeatman,Kelli Garner,1955
132,Wrath of the Titans,2012.0,Jonathan Liebesman,Liam Neeson,1976
133,Dark Shadows,2012.0,Tim Burton,Johnny Depp,1958
134,Mission: Impossible - Rogue Nation,2015.0,Christopher McQuarrie,Tom Cruise,1968
136,The Legend of Tarzan,2016.0,David Yates,Christoph Waltz,1963
138,Kung Fu Panda 2,2011.0,Jennifer Yuh Nelson,Angelina Jolie Pitt,1972
139,The Last Airbender,2010.0,M. Night Shyamalan,Seychelle Gabriel,1970
140,Mission: Impossible III,2006.0,J.J. Abrams,Philip Seymour Hoffman,1966
141,White House Down,2013.0,Roland Emmerich,Channing Tatum,1955
144,Pan,2015.0,Joe Wright,Hugh Jackman,1972
145,Mr. Peabody & Sherman,2014.0,Rob Minkoff,Ty Burrell,1962
146,Troy,2004.0,Wolfgang Petersen,Brad Pitt,1941
147,Madagascar 3: Europe's Most Wanted,2012.0,Eric Darnell,Jada Pinkett Smith,1961
149,Ghostbusters,2016.0,Paul Feig,Ed Begley Jr.,1962
150,Armageddon,1998.0,Michael Bay,Bruce Willis,1965
151,Men in Black II,2002.0,Barry Sonnenfeld,Will Smith,1953
152,Beowulf,2007.0,Robert Zemeckis,Robin Wright,1952
154,Mission: Impossible - Ghost Protocol,2011.0,Brad Bird,Tom Cruise,1957
155,Rise of the Guardians,2012.0,Peter Ramsey,Hugh Jackman,1962
156,Fun with Dick and Jane,2005.0,Dean Parisot,John Michael Higgins,1952
157,The Last Samurai,2003.0,Edward Zwick,Tom Cruise,1952
158,Exodus: Gods and Kings,2014.0,Ridley Scott,Christian Bale,1937
159,Star Trek,2009.0,J.J. Abrams,Chris Hemsworth,1966
160,Spider-Man,2002.0,Sam Raimi,J.K. Simmons,1959
161,How to Train Your Dragon 2,2014.0,Dean DeBlois,Gerard Butler,1970
162,Gods of Egypt,2016.0,Alex Proyas,Gerard Butler,1963
163,Stealth,2005.0,Rob Cohen,Sam Shepard,1949
164,Watchmen,2009.0,Zack Snyder,Matt Frewer,1966
165,Lethal Weapon 4,1998.0,Richard Donner,Jet Li,1930
166,Hulk,2003.0,Ang Lee,Kevin Rankin,1954
167,G.I. Joe: Retaliation,2013.0,Jon M. Chu,Channing Tatum,1979
168,Sahara,2005.0,Breck Eisner,Matthew McConaughey,1970
169,Final Fantasy: The Spirits Within,2001.0,Hironobu Sakaguchi,Steve Buscemi,1962
171,The World Is Not Enough,1999.0,Michael Apted,Colin Salmon,1941
172,Master and Commander: The Far Side of the World,2003.0,Peter Weir,James D'Arcy,1944
173,The Twilight Saga: Breaking Dawn - Part 2,2012.0,Bill Condon,Robert Pattinson,1955
175,The Incredible Hulk,2008.0,Louis Leterrier,Ty Burrell,1973
176,The BFG,2016.0,Steven Spielberg,Mark Rylance,1946
177,The Revenant,2015.0,Alejandro G. Iñárritu,Leonardo DiCaprio,1963
179,Rango,2011.0,Gore Verbinski,Johnny Depp,1964
180,Penguins of Madagascar,2014.0,Eric Darnell,Benedict Cumberbatch,1961
181,The Bourne Ultimatum,2007.0,Paul Greengrass,Matt Damon,1955
183,Ant-Man,2015.0,Peyton Reed,Judy Greer,1964
184,The Hunger Games: Catching Fire,2013.0,Francis Lawrence,Jennifer Lawrence,1971
185,The Twilight Saga: Breaking Dawn - Part 2,2012.0,Bill Condon,Robert Pattinson,1955
187,War of the Worlds,2005.0,Steven Spielberg,Tom Cruise,1946
188,Bad Boys II,2003.0,Michael Bay,Will Smith,1965
190,Salt,2010.0,Phillip Noyce,Angelina Jolie Pitt,1950
191,Noah,2014.0,Darren Aronofsky,Anthony Hopkins,1969
192,The Adventures of Tintin,2011.0,Steven Spielberg,Toby Jones,1946
193,Harry Potter and the Prisoner of Azkaban,2004.0,Alfonso Cuarón,Daniel Radcliffe,1961
194,Australia,2008.0,Baz Luhrmann,Essie Davis,1962
195,After Earth,2013.0,M. Night Shyamalan,Will Smith,1970
198,Night at the Museum: Secret of the Tomb,2014.0,Shawn Levy,Robin Williams,1968
201,R.I.P.D.,2013.0,Robert Schwentke,Ryan Reynolds,1968
202,Godzilla Resurgence,2016.0,Hideaki Anno,Mark Chinnery,1960
203,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,Gore Verbinski,Johnny Depp,1964
205,The Hunger Games: Mockingjay - Part 1,2014.0,Francis Lawrence,Jennifer Lawrence,1971
206,The Da Vinci Code,2006.0,Ron Howard,Tom Hanks,1954
207,Rio 2,2014.0,Carlos Saldanha,Miguel Ferrer,1965
208,X-Men 2,2003.0,Bryan Singer,Hugh Jackman,1965
209,Fast Five,2011.0,Justin Lin,Paul Walker,1971
210,Sherlock Holmes: A Game of Shadows,2011.0,Guy Ritchie,Robert Downey Jr.,1968
211,Clash of the Titans,2010.0,Louis Leterrier,Liam Neeson,1973
212,Total Recall,1990.0,Paul Verhoeven,Ronny Cox,1938
213,The 13th Warrior,1999.0,John McTiernan,Tony Curran,1951
214,The Bourne Legacy,2012.0,Tony Gilroy,Jeremy Renner,1956
215,Batman & Robin,1997.0,Joel Schumacher,Michael Gough,1939
216,How the Grinch Stole Christmas,2000.0,Ron Howard,Clint Howard,1954
217,The Day After Tomorrow,2004.0,Roland Emmerich,Jake Gyllenhaal,1955
218,Mission: Impossible II,2000.0,John Woo,Tom Cruise,1946
219,The Perfect Storm,2000.0,Wolfgang Petersen,Karen Allen,1941
221,Life of Pi,2012.0,Ang Lee,Suraj Sharma,1954
222,Ghost Rider,2007.0,Mark Steven Johnson,Nicolas Cage,1964
223,Jason Bourne,2016.0,Paul Greengrass,Matt Damon,1955
224,Charlie's Angels: Full Throttle,2003.0,McG,Demi Moore,1968
225,Prometheus,2012.0,Ridley Scott,Michael Fassbender,1937
226,Stuart Little 2,2002.0,Rob Minkoff,Nathan Lane,1962
227,Elysium,2013.0,Neill Blomkamp,Matt Damon,1979
228,The Chronicles of Riddick,2004.0,David Twohy,Vin Diesel,1955
229,RoboCop,2014.0,José Padilha,Gary Oldman,1967
230,Speed Racer,2008.0,Lana Wachowski,Scott Porter,1965
231,How Do You Know,2010.0,James L. Brooks,Shelley Conn,1940
232,Knight and Day,2010.0,James Mangold,Tom Cruise,1963
233,Oblivion,2013.0,Joseph Kosinski,Morgan Freeman,1974
234,Star Wars: Episode III - Revenge of the Sith,2005.0,George Lucas,Natalie Portman,1944
235,Star Wars: Episode II - Attack of the Clones,2002.0,George Lucas,Natalie Portman,1944
236,"Monsters, Inc.",2001.0,Pete Docter,Steve Buscemi,1968
237,The Wolverine,2013.0,James Mangold,Hugh Jackman,1963
238,Star Wars: Episode I - The Phantom Menace,1999.0,George Lucas,Natalie Portman,1944
239,The Croods,2013.0,Kirk De Micco,Ryan Reynolds,1969
241,Windtalkers,2002.0,John Woo,Nicolas Cage,1946
242,The Huntsman: Winter's War,2016.0,Cedric Nicolas-Troyan,Chris Hemsworth,1969
243,Teenage Mutant Ninja Turtles,2014.0,Jonathan Liebesman,Noel Fisher,1976
244,Gravity,2013.0,Alfonso Cuarón,Phaldut Sharma,1961
245,Dante's Peak,1997.0,Roger Donaldson,Jamie Renée Smith,1945
247,Fantastic Four,2015.0,Josh Trank,Tim Blake Nelson,1984
248,Night at the Museum,2006.0,Shawn Levy,Robin Williams,1968
249,San Andreas,2015.0,Brad Peyton,Dwayne Johnson,1978
250,Tomorrow Never Dies,1997.0,Roger Spottiswoode,Vincent Schiavelli,1945
251,The Patriot,2000.0,Roland Emmerich,Heath Ledger,1955
252,Ocean's Twelve,2004.0,Steven Soderbergh,Brad Pitt,1963
253,Mr. & Mrs. Smith,2005.0,Doug Liman,Brad Pitt,1965
254,Insurgent,2015.0,Robert Schwentke,Kate Winslet,1968
255,The Aviator,2004.0,Martin Scorsese,Leonardo DiCaprio,1942
256,Gulliver's Travels,2010.0,Rob Letterman,James Corden,1970
257,The Green Hornet,2011.0,Michel Gondry,Christoph Waltz,1963
258,300: Rise of an Empire,2014.0,Noam Murro,Eva Green,1961
259,The Smurfs,2011.0,Raja Gosnell,Mahadeo Shivraj,1958
261,Allegiant,2016.0,Robert Schwentke,Naomi Watts,1968
262,Real Steel,2011.0,Shawn Levy,Hugh Jackman,1968
263,The Smurfs 2,2013.0,Raja Gosnell,Jacob Tremblay,1958
264,Speed 2: Cruise Control,1997.0,Jan de Bont,Jason Patric,1943
265,Ender's Game,2013.0,Gavin Hood,Harrison Ford,1963
266,Live Free or Die Hard,2007.0,Len Wiseman,Bruce Willis,1973
267,The Lord of the Rings: The Fellowship of the Ring,2001.0,Peter Jackson,Christopher Lee,1961
268,Around the World in 80 Days,2004.0,Frank Coraci,Jim Broadbent,1966
269,Ali,2001.0,Michael Mann,Will Smith,1943
270,The Cat in the Hat,2003.0,Bo Welch,Sean Hayes,1951
271,"I, Robot",2004.0,Alex Proyas,Will Smith,1963
272,Kingdom of Heaven,2005.0,Ridley Scott,Liam Neeson,1937
273,Stuart Little,1999.0,Rob Minkoff,Chazz Palminteri,1962
274,The Princess and the Frog,2009.0,Ron Clements,Oprah Winfrey,1953
275,The Martian,2015.0,Ridley Scott,Matt Damon,1937
276,The Island,2005.0,Michael Bay,Scarlett Johansson,1965
277,Town & Country,2001.0,Peter Chelsom,Del Zamora,1956
278,Gone in Sixty Seconds,2000.0,Dominic Sena,Nicolas Cage,1949
279,Gladiator,2000.0,Ridley Scott,Djimon Hounsou,1937
280,Minority Report,2002.0,Steven Spielberg,Tom Cruise,1946
282,Casino Royale,2006.0,Martin Campbell,Eva Green,1943
283,Planet of the Apes,2001.0,Tim Burton,Cary-Hiroyuki Tagawa,1958
284,Terminator 2: Judgment Day,1991.0,James Cameron,Joe Morton,1954
285,Public Enemies,2009.0,Michael Mann,Johnny Depp,1943
286,American Gangster,2007.0,Ridley Scott,Denzel Washington,1937
287,True Lies,1994.0,James Cameron,Jamie Lee Curtis,1954
288,The Taking of Pelham 1 2 3,2009.0,Tony Scott,Denzel Washington,1944
290,The Other Guys,2010.0,Adam McKay,Dwayne Johnson,1968
291,Eraser,1996.0,Chuck Russell,Vanessa Williams,1958
292,Django Unchained,2012.0,Quentin Tarantino,Leonardo DiCaprio,1963
293,The Hunchback of Notre Dame,1996.0,Gary Trousdale,Demi Moore,1960
295,The Expendables 2,2012.0,Simon West,Jason Statham,1961
296,National Treasure,2004.0,Jon Turteltaub,Nicolas Cage,1963
297,Eragon,2006.0,Stefen Fangmeier,Djimon Hounsou,1960
298,Where the Wild Things Are,2009.0,Spike Jonze,Catherine O'Hara,1969
299,Pan,2015.0,Joe Wright,Hugh Jackman,1972
300,Epic,2013.0,Chris Wedge,Josh Hutcherson,1957
301,The Tourist,2010.0,Florian Henckel von Donnersmarck,Johnny Depp,1973
302,End of Days,1999.0,Peter Hyams,CCH Pounder,1943
303,Blood Diamond,2006.0,Edward Zwick,Leonardo DiCaprio,1952
304,The Wolf of Wall Street,2013.0,Martin Scorsese,Leonardo DiCaprio,1942
305,Batman Forever,1995.0,Joel Schumacher,Michael Gough,1939
306,Starship Troopers,1997.0,Paul Verhoeven,Jake Busey,1938
307,Cloud Atlas,2012.0,Tom Tykwer,Tom Hanks,1965
308,Legend of the Guardians: The Owls of Ga'Hoole,2010.0,Zack Snyder,Abbie Cornish,1966
309,Catwoman,2004.0,Pitof,Frances Conroy,1957
310,Hercules,2014.0,Brett Ratner,Dwayne Johnson,1969
311,Treasure Planet,2002.0,Ron Clements,Joseph Gordon-Levitt,1953
312,Land of the Lost,2009.0,Brad Silberling,Will Ferrell,1963
315,Son of the Mask,2005.0,Lawrence Guterman,Jamie Kennedy,1966
316,In the Heart of the Sea,2015.0,Ron Howard,Chris Hemsworth,1954
317,The Adventures of Pluto Nash,2002.0,Ron Underwood,Rosario Dawson,1953
318,Green Zone,2010.0,Paul Greengrass,Matt Damon,1955
319,The Peanuts Movie,2015.0,Steve Martino,Francesca Capaldi,1959
320,The Spanish Prisoner,1997.0,David Mamet,Ben Gazzara,1947
321,The Mummy Returns,2001.0,Stephen Sommers,Dwayne Johnson,1962
322,Gangs of New York,2002.0,Martin Scorsese,Leonardo DiCaprio,1942
323,The Flowers of War,2011.0,Yimou Zhang,Christian Bale,1951
324,Surf's Up,2007.0,Ash Brannon,Jeff Bridges,1969
325,The Stepford Wives,2004.0,Frank Oz,Jon Lovitz,1944
326,Black Hawk Down,2001.0,Ridley Scott,Ioan Gruffudd,1937
327,The Campaign,2012.0,Jay Roach,Will Ferrell,1957
328,The Fifth Element,1997.0,Luc Besson,Milla Jovovich,1959
329,Sex and the City 2,2010.0,Michael Patrick King,Chris Noth,1954
330,The Road to El Dorado,2000.0,Bibo Bergeron,Frank Welker,1965
331,Ice Age: Continental Drift,2012.0,Steve Martino,Peter Dinklage,1959
332,Cinderella,2015.0,Kenneth Branagh,Hayley Atwell,1960
333,The Lovely Bones,2009.0,Peter Jackson,Michael Imperioli,1961
334,Finding Nemo,2003.0,Andrew Stanton,Alexander Gould,1965
335,The Lord of the Rings: The Return of the King,2003.0,Peter Jackson,Orlando Bloom,1961
336,The Lord of the Rings: The Two Towers,2002.0,Peter Jackson,Christopher Lee,1961
337,Seventh Son,2014.0,Sergey Bodrov,Jeff Bridges,1948
338,Lara Croft: Tomb Raider,2001.0,Simon West,Angelina Jolie Pitt,1961
339,Transcendence,2014.0,Wally Pfister,Johnny Depp,1961
341,Rise of the Planet of the Apes,2011.0,Rupert Wyatt,James Franco,1972
342,The Spiderwick Chronicles,2008.0,Mark Waters,Martin Short,1964
344,The Alamo,2004.0,John Lee Hancock,Dennis Quaid,1956
345,The Incredibles,2004.0,Brad Bird,Holly Hunter,1957
346,Cutthroat Island,1995.0,Renny Harlin,Christopher Masterson,1959
348,Men in Black,1997.0,Barry Sonnenfeld,Will Smith,1953
349,Toy Story 2,1999.0,John Lasseter,Tom Hanks,1957
350,Unstoppable,2010.0,Tony Scott,Denzel Washington,1944
351,Rush Hour 2,2001.0,Brett Ratner,Mei Melançon,1969
352,What Lies Beneath,2000.0,Robert Zemeckis,Harrison Ford,1952
353,Cloudy with a Chance of Meatballs,2009.0,Phil Lord,Will Forte,1975
354,Ice Age: Dawn of the Dinosaurs,2009.0,Carlos Saldanha,Denis Leary,1965
355,The Secret Life of Walter Mitty,2013.0,Ben Stiller,Adam Scott,1965
356,Charlie's Angels,2000.0,McG,Bill Murray,1968
357,The Departed,2006.0,Martin Scorsese,Leonardo DiCaprio,1942
359,Tropic Thunder,2008.0,Ben Stiller,Robert Downey Jr.,1965
360,The Girl with the Dragon Tattoo,2011.0,David Fincher,Robin Wright,1962
361,Die Hard with a Vengeance,1995.0,John McTiernan,Bruce Willis,1951
362,Sherlock Holmes,2009.0,Guy Ritchie,Robert Downey Jr.,1968
363,Ben-Hur,2016.0,Timur Bekmambetov,Morgan Freeman,1961
364,Atlantis: The Lost Empire,2001.0,Gary Trousdale,Leonard Nimoy,1960
366,Valkyrie,2008.0,Bryan Singer,Tom Cruise,1965
367,You Don't Mess with the Zohan,2008.0,Dennis Dugan,Adam Sandler,1946
369,A.I. Artificial Intelligence,2001.0,Steven Spielberg,Haley Joel Osment,1946
370,The Haunted Mansion,2003.0,Rob Minkoff,Marsha Thomason,1962
371,Contact,1997.0,Robert Zemeckis,Matthew McConaughey,1952
372,Hollow Man,2000.0,Paul Verhoeven,Greg Grunberg,1938
373,The Interpreter,2005.0,Sydney Pollack,Curtiss Cook,1934
374,Percy Jackson: Sea of Monsters,2013.0,Thor Freudenthal,Logan Lerman,1972
375,Lara Croft Tomb Raider: The Cradle of Life,2003.0,Jan de Bont,Gerard Butler,1943
376,Now You See Me 2,2016.0,Jon M. Chu,Daniel Radcliffe,1979
377,The Saint,1997.0,Phillip Noyce,Alun Armstrong,1950
378,Spy Game,2001.0,Tony Scott,Brad Pitt,1944
379,Mission to Mars,2000.0,Brian De Palma,Don Cheadle,1940
380,Rio,2011.0,Carlos Saldanha,Anne Hathaway,1965
383,The Devil's Own,1997.0,Alan J. Pakula,Harrison Ford,1928
384,K-19: The Widowmaker,2002.0,Kathryn Bigelow,Liam Neeson,1951
385,Fantastic Four,2015.0,Josh Trank,Tim Blake Nelson,1984
386,Conan the Barbarian,1982.0,John Milius,William Smith,1944
387,Cinderella Man,2005.0,Ron Howard,Paddy Considine,1954
388,The Nutcracker in 3D,2010.0,Andrey Konchalovskiy,Shirley Henderson,1937
389,Seabiscuit,2003.0,Gary Ross,Jeff Bridges,1956
390,Twister,1996.0,Jan de Bont,Philip Seymour Hoffman,1943
391,The Fast and the Furious,2001.0,Rob Cohen,Paul Walker,1949
392,Cast Away,2000.0,Robert Zemeckis,Tom Hanks,1952
394,The Bourne Supremacy,2004.0,Paul Greengrass,Matt Damon,1955
395,Air Force One,1997.0,Wolfgang Petersen,Harrison Ford,1941
396,Ocean's Eleven,2001.0,Steven Soderbergh,Brad Pitt,1963
397,The Three Musketeers,2011.0,Paul W.S. Anderson,Milla Jovovich,1965
398,Hotel Transylvania,2012.0,Genndy Tartakovsky,Steve Buscemi,1970
399,Enchanted,2007.0,Kevin Lima,Jeff Bennett,1962
400,Safe House,2012.0,Daniel Espinosa,Denzel Washington,1977
401,102 Dalmatians,2000.0,Kevin Lima,Ioan Gruffudd,1962
402,Tower Heist,2011.0,Brett Ratner,Matthew Broderick,1969
403,The Holiday,2006.0,Nancy Meyers,Kate Winslet,1949
404,Enemy of the State,1998.0,Tony Scott,Will Smith,1944
405,It's Complicated,2009.0,Nancy Meyers,Meryl Streep,1949
406,Ocean's Thirteen,2007.0,Steven Soderbergh,Al Pacino,1963
407,Open Season,2006.0,Roger Allers,Jon Favreau,1949
409,Enemy at the Gates,2001.0,Jean-Jacques Annaud,Bob Hoskins,1943
410,The Rundown,2003.0,Peter Berg,Dwayne Johnson,1964
411,Last Action Hero,1993.0,John McTiernan,F. Murray Abraham,1951
412,Memoirs of a Geisha,2005.0,Rob Marshall,Li Gong,1960
413,The Fast and the Furious: Tokyo Drift,2006.0,Justin Lin,Amber Stevens West,1971
415,Meet Joe Black,1998.0,Martin Brest,Anthony Hopkins,1951
417,All That Jazz,1979.0,Bob Fosse,Roy Scheider,1927
418,Mirror Mirror,2012.0,Tarsem Singh,Julia Roberts,1961
419,Scott Pilgrim vs. the World,2010.0,Edgar Wright,Anna Kendrick,1974
420,The Core,2003.0,Jon Amiel,Glenn Morshower,1948
422,Scooby-Doo,2002.0,Raja Gosnell,Sarah Michelle Gellar,1958
424,Click,2006.0,Frank Coraci,Adam Sandler,1966
425,Creepshow,1982.0,George A. Romero,Ted Danson,1940
426,Cats & Dogs: The Revenge of Kitty Galore,2010.0,Brad Peyton,Jack McBrayer,1978
427,Jumper,2008.0,Doug Liman,Kristen Stewart,1965
428,Hellboy II: The Golden Army,2008.0,Guillermo del Toro,Seth MacFarlane,1964
429,Zodiac,2007.0,David Fincher,Robert Downey Jr.,1962
430,The 6th Day,2000.0,Roger Spottiswoode,Robert Duvall,1945
431,Bruce Almighty,2003.0,Tom Shadyac,Morgan Freeman,1958
432,The Expendables,2010.0,Sylvester Stallone,Jason Statham,1946
433,Mission: Impossible,1996.0,Brian De Palma,Tom Cruise,1940
434,The Hunger Games,2012.0,Gary Ross,Jennifer Lawrence,1956
