,index,common_entity,entity3,entity2,entity1
97,98,Godzilla Resurgence,2016.0,Hideaki Anno,Mark Chinnery
98,99,The Hobbit: An Unexpected Journey,2012.0,Peter Jackson,Aidan Turner
99,100,The Fast and the Furious,2001.0,Rob Cohen,Paul Walker
100,101,The Curious Case of Benjamin Button,2008.0,David Fincher,Brad Pitt
101,102,X-Men: First Class,2011.0,Matthew Vaughn,Jennifer Lawrence
102,103,The Hunger Games: Mockingjay - Part 2,2015.0,Francis Lawrence,Jennifer Lawrence
103,104,The Sorcerer's Apprentice,2010.0,Jon Turteltaub,Nicolas Cage
104,105,Poseidon,2006.0,Wolfgang Petersen,Jimmy Bennett
105,106,Alice Through the Looking Glass,2016.0,James Bobin,Johnny Depp
106,107,Shrek the Third,2007.0,Chris Miller,Justin Timberlake
107,108,Warcraft,2016.0,Duncan Jones,Dominic Cooper
108,109,Terminator Genisys,2015.0,Alan Taylor,J.K. Simmons
109,110,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,Michael Apted,Bruce Spence
110,111,Pearl Harbor,2001.0,Michael Bay,Jennifer Garner
111,112,Transformers,2007.0,Michael Bay,Zack Ward
112,113,Alexander,2004.0,Oliver Stone,Anthony Hopkins
113,114,Harry Potter and the Order of the Phoenix,2007.0,David Yates,Robert Pattinson
114,115,Harry Potter and the Goblet of Fire,2005.0,Mike Newell,Robert Pattinson
115,116,Hancock,2008.0,Peter Berg,Will Smith
116,117,I Am Legend,2007.0,Francis Lawrence,Will Smith
117,118,Charlie and the Chocolate Factory,2005.0,Tim Burton,Johnny Depp
118,119,Ratatouille,2007.0,Brad Bird,Janeane Garofalo
119,120,Batman Begins,2005.0,Christopher Nolan,Christian Bale
120,121,Madagascar: Escape 2 Africa,2008.0,Eric Darnell,Bernie Mac
121,122,Night at the Museum: Battle of the Smithsonian,2009.0,Shawn Levy,Robin Williams
122,123,X-Men Origins: Wolverine,2009.0,Gavin Hood,Hugh Jackman
123,124,The Matrix Revolutions,2003.0,Lana Wachowski,Essie Davis
124,125,Frozen,2013.0,Chris Buck,Josh Gad
125,126,The Matrix Reloaded,2003.0,Lana Wachowski,Steve Bastoni
126,127,Thor: The Dark World,2013.0,Alan Taylor,Chris Hemsworth
127,128,Mad Max: Fury Road,2015.0,George Miller,Tom Hardy
128,129,Angels & Demons,2009.0,Ron Howard,Tom Hanks
129,130,Thor,2011.0,Kenneth Branagh,Chris Hemsworth
130,131,Bolt,2008.0,Byron Howard,Chloë Grace Moretz
131,132,G-Force,2009.0,Hoyt Yeatman,Kelli Garner
132,133,Wrath of the Titans,2012.0,Jonathan Liebesman,Liam Neeson
133,134,Dark Shadows,2012.0,Tim Burton,Johnny Depp
134,135,Mission: Impossible - Rogue Nation,2015.0,Christopher McQuarrie,Tom Cruise
135,136,The Wolfman,2010.0,Joe Johnston,Anthony Hopkins
136,137,The Legend of Tarzan,2016.0,David Yates,Christoph Waltz
137,138,Bee Movie,2007.0,Steve Hickner,Matthew Broderick
138,139,Kung Fu Panda 2,2011.0,Jennifer Yuh Nelson,Angelina Jolie Pitt
139,140,The Last Airbender,2010.0,M. Night Shyamalan,Seychelle Gabriel
140,141,Mission: Impossible III,2006.0,J.J. Abrams,Philip Seymour Hoffman
141,142,White House Down,2013.0,Roland Emmerich,Channing Tatum
142,143,Mars Needs Moms,2011.0,Simon Wells,Elisabeth Harnois
143,144,Flushed Away,2006.0,David Bowers,Hugh Jackman
144,145,Pan,2015.0,Joe Wright,Hugh Jackman
145,146,Mr. Peabody & Sherman,2014.0,Rob Minkoff,Ty Burrell
146,147,Troy,2004.0,Wolfgang Petersen,Brad Pitt
147,148,Madagascar 3: Europe's Most Wanted,2012.0,Eric Darnell,Jada Pinkett Smith
148,149,Die Another Day,2002.0,Lee Tamahori,Toby Stephens
149,150,Ghostbusters,2016.0,Paul Feig,Ed Begley Jr.
150,151,Armageddon,1998.0,Michael Bay,Bruce Willis
151,152,Men in Black II,2002.0,Barry Sonnenfeld,Will Smith
152,153,Beowulf,2007.0,Robert Zemeckis,Robin Wright
153,154,Kung Fu Panda 3,2016.0,Alessandro Carloni,J.K. Simmons
154,155,Mission: Impossible - Ghost Protocol,2011.0,Brad Bird,Tom Cruise
155,156,Rise of the Guardians,2012.0,Peter Ramsey,Hugh Jackman
156,157,Fun with Dick and Jane,2005.0,Dean Parisot,John Michael Higgins
157,158,The Last Samurai,2003.0,Edward Zwick,Tom Cruise
158,159,Exodus: Gods and Kings,2014.0,Ridley Scott,Christian Bale
159,160,Star Trek,2009.0,J.J. Abrams,Chris Hemsworth
160,161,Spider-Man,2002.0,Sam Raimi,J.K. Simmons
161,162,How to Train Your Dragon 2,2014.0,Dean DeBlois,Gerard Butler
162,163,Gods of Egypt,2016.0,Alex Proyas,Gerard Butler
163,164,Stealth,2005.0,Rob Cohen,Sam Shepard
164,165,Watchmen,2009.0,Zack Snyder,Matt Frewer
165,166,Lethal Weapon 4,1998.0,Richard Donner,Jet Li
166,167,Hulk,2003.0,Ang Lee,Kevin Rankin
167,168,G.I. Joe: Retaliation,2013.0,Jon M. Chu,Channing Tatum
168,169,Sahara,2005.0,Breck Eisner,Matthew McConaughey
169,170,Final Fantasy: The Spirits Within,2001.0,Hironobu Sakaguchi,Steve Buscemi
170,171,Captain America: The First Avenger,2011.0,Joe Johnston,Chris Evans
171,172,The World Is Not Enough,1999.0,Michael Apted,Colin Salmon
172,173,Master and Commander: The Far Side of the World,2003.0,Peter Weir,James D'Arcy
173,174,The Twilight Saga: Breaking Dawn - Part 2,2012.0,Bill Condon,Robert Pattinson
174,175,Happy Feet 2,2011.0,George Miller,Robin Williams
175,176,The Incredible Hulk,2008.0,Louis Leterrier,Ty Burrell
176,178,The BFG,2016.0,Steven Spielberg,Mark Rylance
177,179,The Revenant,2015.0,Alejandro G. Iñárritu,Leonardo DiCaprio
178,180,Turbo,2013.0,David Soren,Ryan Reynolds
179,181,Rango,2011.0,Gore Verbinski,Johnny Depp
180,182,Penguins of Madagascar,2014.0,Eric Darnell,Benedict Cumberbatch
181,183,The Bourne Ultimatum,2007.0,Paul Greengrass,Matt Damon
182,184,Kung Fu Panda,2008.0,Mark Osborne,Angelina Jolie Pitt
183,185,Ant-Man,2015.0,Peyton Reed,Judy Greer
184,186,The Hunger Games: Catching Fire,2013.0,Francis Lawrence,Jennifer Lawrence
185,187,The Twilight Saga: Breaking Dawn - Part 2,2012.0,Bill Condon,Robert Pattinson
186,188,Home,2015.0,Tim Johnson,Jim Parsons
187,189,War of the Worlds,2005.0,Steven Spielberg,Tom Cruise
188,190,Bad Boys II,2003.0,Michael Bay,Will Smith
189,191,Puss in Boots,2011.0,Chris Miller,Salma Hayek
190,192,Salt,2010.0,Phillip Noyce,Angelina Jolie Pitt
191,193,Noah,2014.0,Darren Aronofsky,Anthony Hopkins
192,194,The Adventures of Tintin,2011.0,Steven Spielberg,Toby Jones
193,195,Harry Potter and the Prisoner of Azkaban,2004.0,Alfonso Cuarón,Daniel Radcliffe
194,196,Australia,2008.0,Baz Luhrmann,Essie Davis
195,197,After Earth,2013.0,M. Night Shyamalan,Will Smith
196,198,Dinosaur,2000.0,Eric Leighton,Alfre Woodard
197,199,Harry Potter and the Deathly Hallows: Part II,2011.0,Matt Birch,Rupert Grint
198,200,Night at the Museum: Secret of the Tomb,2014.0,Shawn Levy,Robin Williams
199,201,Megamind,2010.0,Tom McGrath,J.K. Simmons
200,202,Harry Potter and the Sorcerer's Stone,2001.0,Chris Columbus,Daniel Radcliffe
201,203,R.I.P.D.,2013.0,Robert Schwentke,Ryan Reynolds
202,204,Godzilla Resurgence,2016.0,Hideaki Anno,Mark Chinnery
203,205,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,Gore Verbinski,Johnny Depp
204,206,Harry Potter and the Deathly Hallows: Part I,2010.0,Matt Birch,Rupert Grint
205,207,The Hunger Games: Mockingjay - Part 1,2014.0,Francis Lawrence,Jennifer Lawrence
206,208,The Da Vinci Code,2006.0,Ron Howard,Tom Hanks
207,209,Rio 2,2014.0,Carlos Saldanha,Miguel Ferrer
208,210,X-Men 2,2003.0,Bryan Singer,Hugh Jackman
209,211,Fast Five,2011.0,Justin Lin,Paul Walker
210,212,Sherlock Holmes: A Game of Shadows,2011.0,Guy Ritchie,Robert Downey Jr.
211,213,Clash of the Titans,2010.0,Louis Leterrier,Liam Neeson
212,214,Total Recall,1990.0,Paul Verhoeven,Ronny Cox
213,215,The 13th Warrior,1999.0,John McTiernan,Tony Curran
214,216,The Bourne Legacy,2012.0,Tony Gilroy,Jeremy Renner
215,217,Batman & Robin,1997.0,Joel Schumacher,Michael Gough
216,218,How the Grinch Stole Christmas,2000.0,Ron Howard,Clint Howard
217,219,The Day After Tomorrow,2004.0,Roland Emmerich,Jake Gyllenhaal
218,220,Mission: Impossible II,2000.0,John Woo,Tom Cruise
219,221,The Perfect Storm,2000.0,Wolfgang Petersen,Karen Allen
220,222,Fantastic 4: Rise of the Silver Surfer,2007.0,Tim Story,Chris Evans
221,223,Life of Pi,2012.0,Ang Lee,Suraj Sharma
222,224,Ghost Rider,2007.0,Mark Steven Johnson,Nicolas Cage
223,225,Jason Bourne,2016.0,Paul Greengrass,Matt Damon
224,226,Charlie's Angels: Full Throttle,2003.0,McG,Demi Moore
225,227,Prometheus,2012.0,Ridley Scott,Michael Fassbender
226,228,Stuart Little 2,2002.0,Rob Minkoff,Nathan Lane
227,229,Elysium,2013.0,Neill Blomkamp,Matt Damon
228,230,The Chronicles of Riddick,2004.0,David Twohy,Vin Diesel
229,231,RoboCop,2014.0,José Padilha,Gary Oldman
230,232,Speed Racer,2008.0,Lana Wachowski,Scott Porter
231,233,How Do You Know,2010.0,James L. Brooks,Shelley Conn
232,234,Knight and Day,2010.0,James Mangold,Tom Cruise
233,235,Oblivion,2013.0,Joseph Kosinski,Morgan Freeman
234,236,Star Wars: Episode III - Revenge of the Sith,2005.0,George Lucas,Natalie Portman
235,237,Star Wars: Episode II - Attack of the Clones,2002.0,George Lucas,Natalie Portman
236,238,"Monsters, Inc.",2001.0,Pete Docter,Steve Buscemi
237,239,The Wolverine,2013.0,James Mangold,Hugh Jackman
238,240,Star Wars: Episode I - The Phantom Menace,1999.0,George Lucas,Natalie Portman
239,241,The Croods,2013.0,Kirk De Micco,Ryan Reynolds
240,242,Asterix at the Olympic Games,2008.0,Frédéric Forestier,Alain Delon
241,243,Windtalkers,2002.0,John Woo,Nicolas Cage
242,244,The Huntsman: Winter's War,2016.0,Cedric Nicolas-Troyan,Chris Hemsworth
243,245,Teenage Mutant Ninja Turtles,2014.0,Jonathan Liebesman,Noel Fisher
244,246,Gravity,2013.0,Alfonso Cuarón,Phaldut Sharma
245,247,Dante's Peak,1997.0,Roger Donaldson,Jamie Renée Smith
246,248,Teenage Mutant Ninja Turtles: Out of the Shadows,2016.0,Dave Green,Stephen Amell
247,249,Fantastic Four,2015.0,Josh Trank,Tim Blake Nelson
248,250,Night at the Museum,2006.0,Shawn Levy,Robin Williams
249,251,San Andreas,2015.0,Brad Peyton,Dwayne Johnson
250,252,Tomorrow Never Dies,1997.0,Roger Spottiswoode,Vincent Schiavelli
251,253,The Patriot,2000.0,Roland Emmerich,Heath Ledger
252,254,Ocean's Twelve,2004.0,Steven Soderbergh,Brad Pitt
253,255,Mr. & Mrs. Smith,2005.0,Doug Liman,Brad Pitt
254,256,Insurgent,2015.0,Robert Schwentke,Kate Winslet
255,257,The Aviator,2004.0,Martin Scorsese,Leonardo DiCaprio
256,258,Gulliver's Travels,2010.0,Rob Letterman,James Corden
257,259,The Green Hornet,2011.0,Michel Gondry,Christoph Waltz
258,261,300: Rise of an Empire,2014.0,Noam Murro,Eva Green
259,262,The Smurfs,2011.0,Raja Gosnell,Mahadeo Shivraj
260,263,Home on the Range,2004.0,Will Finn,Steve Buscemi
261,264,Allegiant,2016.0,Robert Schwentke,Naomi Watts
262,265,Real Steel,2011.0,Shawn Levy,Hugh Jackman
263,266,The Smurfs 2,2013.0,Raja Gosnell,Jacob Tremblay
264,267,Speed 2: Cruise Control,1997.0,Jan de Bont,Jason Patric
265,268,Ender's Game,2013.0,Gavin Hood,Harrison Ford
266,269,Live Free or Die Hard,2007.0,Len Wiseman,Bruce Willis
267,270,The Lord of the Rings: The Fellowship of the Ring,2001.0,Peter Jackson,Christopher Lee
268,271,Around the World in 80 Days,2004.0,Frank Coraci,Jim Broadbent
269,272,Ali,2001.0,Michael Mann,Will Smith
270,273,The Cat in the Hat,2003.0,Bo Welch,Sean Hayes
271,274,"I, Robot",2004.0,Alex Proyas,Will Smith
272,275,Kingdom of Heaven,2005.0,Ridley Scott,Liam Neeson
273,276,Stuart Little,1999.0,Rob Minkoff,Chazz Palminteri
274,277,The Princess and the Frog,2009.0,Ron Clements,Oprah Winfrey
275,278,The Martian,2015.0,Ridley Scott,Matt Damon
276,280,The Island,2005.0,Michael Bay,Scarlett Johansson
277,281,Town & Country,2001.0,Peter Chelsom,Del Zamora
278,282,Gone in Sixty Seconds,2000.0,Dominic Sena,Nicolas Cage
279,283,Gladiator,2000.0,Ridley Scott,Djimon Hounsou
280,284,Minority Report,2002.0,Steven Spielberg,Tom Cruise
281,285,Harry Potter and the Chamber of Secrets,2002.0,Chris Columbus,Daniel Radcliffe
282,286,Casino Royale,2006.0,Martin Campbell,Eva Green
283,287,Planet of the Apes,2001.0,Tim Burton,Cary-Hiroyuki Tagawa
284,288,Terminator 2: Judgment Day,1991.0,James Cameron,Joe Morton
285,289,Public Enemies,2009.0,Michael Mann,Johnny Depp
286,290,American Gangster,2007.0,Ridley Scott,Denzel Washington
287,291,True Lies,1994.0,James Cameron,Jamie Lee Curtis
288,292,The Taking of Pelham 1 2 3,2009.0,Tony Scott,Denzel Washington
289,293,Little Fockers,2010.0,Paul Weitz,Robert De Niro
290,294,The Other Guys,2010.0,Adam McKay,Dwayne Johnson
291,295,Eraser,1996.0,Chuck Russell,Vanessa Williams
292,296,Django Unchained,2012.0,Quentin Tarantino,Leonardo DiCaprio
293,297,The Hunchback of Notre Dame,1996.0,Gary Trousdale,Demi Moore
294,298,The Emperor's New Groove,2000.0,Mark Dindal,Eartha Kitt
295,299,The Expendables 2,2012.0,Simon West,Jason Statham
296,300,National Treasure,2004.0,Jon Turteltaub,Nicolas Cage
297,301,Eragon,2006.0,Stefen Fangmeier,Djimon Hounsou
298,302,Where the Wild Things Are,2009.0,Spike Jonze,Catherine O'Hara
299,303,Pan,2015.0,Joe Wright,Hugh Jackman
300,304,Epic,2013.0,Chris Wedge,Josh Hutcherson
301,305,The Tourist,2010.0,Florian Henckel von Donnersmarck,Johnny Depp
302,306,End of Days,1999.0,Peter Hyams,CCH Pounder
303,307,Blood Diamond,2006.0,Edward Zwick,Leonardo DiCaprio
304,308,The Wolf of Wall Street,2013.0,Martin Scorsese,Leonardo DiCaprio
305,309,Batman Forever,1995.0,Joel Schumacher,Michael Gough
306,310,Starship Troopers,1997.0,Paul Verhoeven,Jake Busey
307,311,Cloud Atlas,2012.0,Tom Tykwer,Tom Hanks
308,312,Legend of the Guardians: The Owls of Ga'Hoole,2010.0,Zack Snyder,Abbie Cornish
309,313,Catwoman,2004.0,Pitof,Frances Conroy
310,314,Hercules,2014.0,Brett Ratner,Dwayne Johnson
311,315,Treasure Planet,2002.0,Ron Clements,Joseph Gordon-Levitt
312,316,Land of the Lost,2009.0,Brad Silberling,Will Ferrell
313,317,The Expendables 3,2014.0,Patrick Hughes,Jason Statham
314,318,Point Break,2015.0,Ericson Core,Ray Winstone
315,319,Son of the Mask,2005.0,Lawrence Guterman,Jamie Kennedy
316,320,In the Heart of the Sea,2015.0,Ron Howard,Chris Hemsworth
317,321,The Adventures of Pluto Nash,2002.0,Ron Underwood,Rosario Dawson
318,322,Green Zone,2010.0,Paul Greengrass,Matt Damon
319,323,The Peanuts Movie,2015.0,Steve Martino,Francesca Capaldi
320,324,The Spanish Prisoner,1997.0,David Mamet,Ben Gazzara
321,325,The Mummy Returns,2001.0,Stephen Sommers,Dwayne Johnson
322,326,Gangs of New York,2002.0,Martin Scorsese,Leonardo DiCaprio
323,327,The Flowers of War,2011.0,Yimou Zhang,Christian Bale
324,328,Surf's Up,2007.0,Ash Brannon,Jeff Bridges
325,329,The Stepford Wives,2004.0,Frank Oz,Jon Lovitz
326,330,Black Hawk Down,2001.0,Ridley Scott,Ioan Gruffudd
327,331,The Campaign,2012.0,Jay Roach,Will Ferrell
328,332,The Fifth Element,1997.0,Luc Besson,Milla Jovovich
329,333,Sex and the City 2,2010.0,Michael Patrick King,Chris Noth
330,334,The Road to El Dorado,2000.0,Bibo Bergeron,Frank Welker
331,335,Ice Age: Continental Drift,2012.0,Steve Martino,Peter Dinklage
332,336,Cinderella,2015.0,Kenneth Branagh,Hayley Atwell
333,337,The Lovely Bones,2009.0,Peter Jackson,Michael Imperioli
334,338,Finding Nemo,2003.0,Andrew Stanton,Alexander Gould
335,339,The Lord of the Rings: The Return of the King,2003.0,Peter Jackson,Orlando Bloom
336,340,The Lord of the Rings: The Two Towers,2002.0,Peter Jackson,Christopher Lee
337,341,Seventh Son,2014.0,Sergey Bodrov,Jeff Bridges
338,342,Lara Croft: Tomb Raider,2001.0,Simon West,Angelina Jolie Pitt
339,343,Transcendence,2014.0,Wally Pfister,Johnny Depp
340,344,Jurassic Park III,2001.0,Joe Johnston,Michael Jeter
341,345,Rise of the Planet of the Apes,2011.0,Rupert Wyatt,James Franco
342,346,The Spiderwick Chronicles,2008.0,Mark Waters,Martin Short
343,347,A Good Day to Die Hard,2013.0,John Moore,Bruce Willis
344,348,The Alamo,2004.0,John Lee Hancock,Dennis Quaid
345,349,The Incredibles,2004.0,Brad Bird,Holly Hunter
346,350,Cutthroat Island,1995.0,Renny Harlin,Christopher Masterson
347,351,Percy Jackson & the Olympians: The Lightning Thief,2010.0,Chris Columbus,Logan Lerman
348,352,Men in Black,1997.0,Barry Sonnenfeld,Will Smith
349,353,Toy Story 2,1999.0,John Lasseter,Tom Hanks
350,354,Unstoppable,2010.0,Tony Scott,Denzel Washington
351,355,Rush Hour 2,2001.0,Brett Ratner,Mei Melançon
352,356,What Lies Beneath,2000.0,Robert Zemeckis,Harrison Ford
353,357,Cloudy with a Chance of Meatballs,2009.0,Phil Lord,Will Forte
354,358,Ice Age: Dawn of the Dinosaurs,2009.0,Carlos Saldanha,Denis Leary
355,359,The Secret Life of Walter Mitty,2013.0,Ben Stiller,Adam Scott
356,360,Charlie's Angels,2000.0,McG,Bill Murray
357,361,The Departed,2006.0,Martin Scorsese,Leonardo DiCaprio
358,362,Mulan,1998.0,Tony Bancroft,Ming-Na Wen
359,363,Tropic Thunder,2008.0,Ben Stiller,Robert Downey Jr.
360,364,The Girl with the Dragon Tattoo,2011.0,David Fincher,Robin Wright
361,365,Die Hard with a Vengeance,1995.0,John McTiernan,Bruce Willis
362,366,Sherlock Holmes,2009.0,Guy Ritchie,Robert Downey Jr.
363,367,Ben-Hur,2016.0,Timur Bekmambetov,Morgan Freeman
364,368,Atlantis: The Lost Empire,2001.0,Gary Trousdale,Leonard Nimoy
365,369,Alvin and the Chipmunks: The Road Chip,2015.0,Walt Becker,Bella Thorne
366,370,Valkyrie,2008.0,Bryan Singer,Tom Cruise
367,371,You Don't Mess with the Zohan,2008.0,Dennis Dugan,Adam Sandler
368,372,Pixels,2015.0,Chris Columbus,Peter Dinklage
369,373,A.I. Artificial Intelligence,2001.0,Steven Spielberg,Haley Joel Osment
370,374,The Haunted Mansion,2003.0,Rob Minkoff,Marsha Thomason
371,375,Contact,1997.0,Robert Zemeckis,Matthew McConaughey
372,376,Hollow Man,2000.0,Paul Verhoeven,Greg Grunberg
373,377,The Interpreter,2005.0,Sydney Pollack,Curtiss Cook
374,378,Percy Jackson: Sea of Monsters,2013.0,Thor Freudenthal,Logan Lerman
375,379,Lara Croft Tomb Raider: The Cradle of Life,2003.0,Jan de Bont,Gerard Butler
376,380,Now You See Me 2,2016.0,Jon M. Chu,Daniel Radcliffe
377,381,The Saint,1997.0,Phillip Noyce,Alun Armstrong
378,382,Spy Game,2001.0,Tony Scott,Brad Pitt
379,383,Mission to Mars,2000.0,Brian De Palma,Don Cheadle
380,384,Rio,2011.0,Carlos Saldanha,Anne Hathaway
381,385,Bicentennial Man,1999.0,Chris Columbus,Robin Williams
382,386,Volcano,1997.0,Mick Jackson,Don Cheadle
383,387,The Devil's Own,1997.0,Alan J. Pakula,Harrison Ford
384,388,K-19: The Widowmaker,2002.0,Kathryn Bigelow,Liam Neeson
385,389,Fantastic Four,2015.0,Josh Trank,Tim Blake Nelson
386,390,Conan the Barbarian,1982.0,John Milius,William Smith
387,391,Cinderella Man,2005.0,Ron Howard,Paddy Considine
