,common_entity,entity1,entity2
VCBI,Bandaranaike International Apt Colombo,7.1807599068,79.8841018677
EDNA,Ampfing-Waldkraiburg,48.2636108398,12.4116668701
2CO1,Cherokee Trail Ranch,39.1105466666667,-104.583859722222
LLYT,Yotvata Airfield,29.9062004089,35.0666999817
HTBS,Mbesa,-11.331675,37.067816
FCOT,Betou,3.0499999523,18.5
WIMT,Tebing Tinggi,3.3666670322,99.1166687012
MM82,Laguna Del Rey,27.0237998962,-103.375
LTFA,Kaklic,38.5176010132,26.977399826
KT15,Marlin,31.3406666666667,-96.8520277777778
3WI4,Flying 'O',44.9235805555556,-89.4023394444445
KY98,Grand Marais,46.6203647222222,-85.9200836388889
SJII,Fazenda Sao Marcos,-22.296667099,-54.9413871765
SDCW,Fazenda Paloma,-20.3261108398,-48.8283348083
75AR,The Bluffs,36.2961780555556,-92.2159886111111
KGSB,Seymour Johnson Afb,35.3393852777778,-77.9605944444445
ETAD,Spangdahlem Air Base,49.9726982117,6.6925001144
KSZP,Santa Paula,34.3470176111111,-119.061616611111
YSWA,Swansea,-42.1016998291,148.0679931641
HAGN,Gonder,12.519900322,37.4339981079
6MN8,Underland Airstrip,44.1527408333333,-93.2724355555556
NY07,Hurlbut Field,44.5458333333333,-75.1611111111111
LIPQ,Trieste / Ronchi Dei Legionari,45.8274993896,13.4722003937
VEAT,Agartala,23.8869991302,91.2404022217
EDRV,Wershofen/Eifel,50.4513893127,6.7833328247
CKD5,Kipling,50.0992012024,-102.6070022583
8OK4,Black I Ranch,36.4422222222222,-98.1038888888889
CYZS,Coral Harbour,64.1932983398,-83.3593978882
9MI5,Grass Roots,43.2378025,-83.5243986111111
ZUGU,Guangyuan,32.3911018372,105.702003479
FZOH,Moga,-2.4670000076,26.7999992371
SLCD,Canada,-20.0254001617,-63.089099884
TE27,Harrison Piloncillo Ranch,28.2544402777778,-99.5992108333333
VOJV,Vijayanagar Aerodrome (JSW),15.1749666667,76.6349472222
SWST,Santa Terezinha,-10.4647216797,-50.518611908
ND52,True North Airpark,46.8027777777778,-97.0122222222222
KT03,Tuba City,36.0926388888889,-111.383083333333
KRCP,Rooks County Regional,39.3465833333333,-99.3046388888889
30NY,Coye Field,42.7500644444444,-77.5580491666667
KAZE,Hazlehurst,31.8851901944444,-82.647891
SWGE,Fazenda Pirigara,-17.0072212219,-56.4780578613
HSBR,Bor,6.1999998093,31.5669994354
VI65,Kargil,34.5242996216,76.1558990479
SSZT,Fazenda Sao Joao,-22.7941665649,-49.3411102295
VA51,Banswara,23.5897006989,74.3126983643
EDQH,Herzogenaurach,49.5825004578,10.8780555725
CA03,Flying M,37.3499402777778,-120.2940725
2NM9,High Desert Ranch,34.1991666666667,-105.164166666667
LECA,La Nava - Corral De Ayllon,41.4108009338,-3.4483299255
KLOU,Bowman Field,38.2279840277778,-85.6637490555556
WY66,Chamberlain Brothers Ranch,42.7521777777778,-105.619611111111
SCCU,Lolco,-38.1580543518,-71.4238891602
AR43,Brickey,35.1000852777778,-92.7834994444444
VNRT,Rumjatar,27.3034992218,86.5503997803
SDXJ,Costa Rica,-18.48667,-53.15333
RPUD,Daet,14.1291999817,122.9800033569
LTBO,Usak,38.6814994812,29.4717006683
DIGN,Nero-Mer,4.6434130669,-6.9239616394
WY11,A Bar A Ranch,41.1583019444444,-106.557530833333
LFHQ,Saint-Flour-Coltines,45.0764007568,2.9936099052
SJGU,Araguatins,-5.684440136,-48.1156005859
3IN0,Flying M,41.55875,-87.1261111111111
YCBR,Collarenebri,-29.5216999054,148.5820007324
YBHB,Bathurst Harbour,-43.4207000732,146.1560058594
YAUR,Aurukun,-13.3538999557,141.720993042
XS68,Sky Lane Ranch,30.2568788888889,-96.3285747222222
WAMB,Kotamubagu,0.7288889885,124.3088912964
KU10,Preston,42.1069361111111,-111.912569722222
KCCB,Cable,34.1116111111111,-117.687388888889
48VA,Al's Field,39.2906569444444,-78.3508388888889
FAAD,Adelaide,-32.6831016541,26.2942008972
CYDF,Deer Lake,49.2108001709,-57.3913993835
HKLK,Lokichoggio,4.2041201591,34.3482017517
EDDS,Stuttgart,48.6898994446,9.2219600677
KFRI,Marshall Army Air Field,39.0526411111111,-96.7644875
WN76,Bergseth Field,47.2435738888889,-121.924553888889
SAVQ,Maquinchao,-41.2430992126,-68.7078018188
CYLK,Lutselk'e,62.4183006287,-110.6819992065
72XA,Stiffs Airpark,29.4866319444444,-96.0412861111111
NZGA,Galatea Airfield,-38.4039001465,176.7440032959
1SC3,Stol-It Farm,34.5528583333333,-83.0415111111111
ZSRG,Rugao Air Base,32.2578849792,120.5016555786
EGSS,London Stansted,51.8849983215,0.2349999994
KD82,Ovid,42.6547927777778,-76.7963427777778
SBPN,Porto Nacional,-10.7194004059,-48.3997001648
SURV,Presidente General Don Oscar D. Gestido International,-30.9745998383,-55.4762001038
KBMQ,Burnet Municipal/Kate Craddock Field,30.7389272222222,-98.2386102777778
3KS7,Berwick,37.8289138888889,-97.3493472222222
SAVP,Paso De Los Indios,-43.8666992188,-69.0500030518
LFGE,Avallon,47.5031013489,3.8994400501
4VG2,Cool Water,37.8580555555556,-77.5472222222222
XWSG,Engels Airbase,51.466667,46.2
6LA1,Cottonwood,32.9840133333333,-91.2059433333333
EIBA,Ballyboughal Aerodrome,53.5336990356,-6.2460699081
K2P7,Alderman,40.0568630833333,-80.9631879444444
SJHM,Fazenda Globo,-12.9536113739,-58.5902786255
FAQT,Queenstown,-31.9202003479,26.8822002411
K5Z5,Kantishna,63.5409861111111,-150.995077777778
ESGV,Varberg Getteron airfield,57.1245994568,12.2283000946
RKSG,A 511,36.9622001648,127.03099823
FL34,Eglin Test Site B6,30.6318583333333,-86.7471777777778
K2J8,Pierson Municipal,29.2500277777778,-81.4593333333333
SNQX,Quixada,-4.9790701866,-38.9875984192
YCGI,Carnegie Station,-25.7999992371,122.9670028687
KCXE,Chase City Municipal,36.7883355555556,-78.5015536111111
2WI1,Uff-Da,42.9436116666667,-89.2866452777778
CA05,Machado Dusters,36.1602288888889,-119.813464722222
NZNS,Nelson,-41.2983016968,173.220993042
NA22,Vernon Miller Pvt,46.0125022222222,-103.796313611111
DGSN,Sunyani,7.3618302345,-2.3287599087
1XS1,Dunham Field,29.9382791666667,-95.0464833333333
12OH,Mcgregor Airfield,39.8347775,-84.3346677777778
SJIQ,Usina Coruripe - Filial Limeira do Oeste,-19.5233325958,-50.6555557251
OPDG,Dera Ghazi Khan,29.9610004425,70.4859008789
CJT2,Matheson Island,51.7322006226,-96.9344024658
MRQP,Quepos Managua,9.4431600571,-84.1297988892
EDLE,Essen Mulheim,51.4023017883,6.9373297691
CEH6,Provost,52.3381004333,-110.2789993286
CLA2,L'Assomption,45.8231010437,-73.4606018066
51FL,Chiefland Sky Ranch,29.3949444444444,-82.8697777777778
IA27,Antique Airfield,40.9777905555556,-92.5876894444444
FSMA,Marie-Louise,-6.17416,53.144402
SWAK,Assuncao do Icana,1.0663889647,-67.6005554199
YHMB,Hermannsburg,-23.9300003052,132.8049926758
NTGY,Tureia,-20.7896995544,-138.5700073242
MRSH,Shiroles,9.5807695389,-82.9598999023
KDEC,Decatur,39.8345625,-88.8656891666667
74NY,New Salem Aerodrome,43.0056166666667,-77.2913777777778
SWFR,Formosa,-15.555100441,-47.3456993103
SMCI,Coeroeni,3.367000103,-57.3330001831
KSME,Lake Cumberland Regional,37.0535833333333,-84.6156388888889
YEUO,Eulo,-28.1667003632,145.0420074463
PA84,Level Acres Farm,39.9538194444444,-76.9092611111111
SKCB,Carmen De Bolivar,9.68417,-75.1261
CCG4,Moncton / McEwen,46.1539001465,-64.7686004639
CYBG,CFB Bagotville,48.3306007385,-70.9963989258
2GE7,Petty Farms,34.9580555555556,-84.7791666666667
SLMB,Mangabalito,-13.7878332138,-68.3546676636
SNYU,Iturama,-19.7179898013,-50.2201795578
SCSP,El Sobrante,-32.223611,-70.8
CKF2,Radville,49.4606018066,-104.2720031738
DATG,In Guezzam,19.5669994354,5.75
1OH2,Dougherty,41.244,-82.8662777777778
K6R1,Welsh,30.2418545555556,-92.8307383333333
SVRL,San Pancracio,8.516667366,-69.6416702271
K2R1,Le Maire Memorial,29.8990694444444,-91.666
FWKK,Nkhota Kota,-12.9169998169,34.266998291
MUSG,Sagua La Grande,22.8015995026,-80.0548019409
3NC5,Flying Bj,35.8133694444444,-81.0692416666667
YLMU,Mungo Lodge,-33.7458244463,143.001308441
16MI,Barnstormers 5,42.8891666666667,-83.8666241666667
YCLY,Coleambally,-34.7999992371,145.8500061035
K28U,Owyhee Reservoir State,43.4248333333333,-117.345666666667
LKNY,Nymburk Ul Ploch,50.168598175,15.0524997711
K2I3,Rough River State Park,37.6098055555556,-86.5071666666667
66WI,J-3 Cub Field,43.0775038888889,-88.6628797222222
K60M,Spencer,42.2905,-71.9646944444444
KAWG,Washington Municipal,41.2756944444444,-91.6760833333333
YCLQ,Cape Leveque,-16.3983001709,122.9319992065
SEIS,Isabel Maria,-1.8666700125,-79.7332992554
KMCI,Kansas City International,39.2976111111111,-94.7138888888889
SCME,Los Cuatro Diablos,-33.676109314,-71.1433334351
WPFL,Abisu Airfield,-8.4436101913,126.9889984131
WAWB,Betoambari,-5.4868798256,122.5690002441
USCC,Chelyabinsk Balandino,55.3058013916,61.5032997131
0NY8,Wenskoski Field,42.9972961111111,-74.24541
CRL7,Reindeer Lake / Lindbergh Lodge Airstrip,57.28805555,-102.525
MHIC,Islas Del Cisne,17.4073009491,-83.9327011108
YMRW,Morawa,-29.2017002106,116.0220031738
TN11,Mountain Outlaw,36.5014766666667,-83.2554538888889
YBDP,Bridport,-41.0167007446,147.4170074463
VTSF,Nakhon Si Thammarat,8.5396203995,99.9447021484
SEPV,Reales Tamarindos,-1.0416500568,-80.4721984863
KABR,Aberdeen Regional,45.4467980555556,-98.4224408333333
2MD3,Fly Away Farm,39.229,-77.3453333333333
K53T,Cannon Field,29.2160733333333,-98.5494619444444
SKUL,Farfan,4.08836,-76.2351
OIBQ,Khark Island,29.2602996826,50.3238983154
WN11,Red Roof,45.5857958333333,-88.0037288888889
KMBL,Manistee County/Blacker,44.272465,-86.2469008333333
SSDO,Dourados,-22.2019004822,-54.9266014099
K1H1,Airlane Enterprises,43.2058888888889,-76.1793055555556
SWWG,Fazenda Canamari,-18.54806,-50.38111
K3J6,Davis Field,30.7963611111111,-82.0281666666667
K45S,Silver Lake F S Strip,43.1109725,-121.094166666667
WASE,Kebar,-0.6371009946,133.1280059814
YWDJ,Windjana Grove,-17.421387587,124.925107956
LZTR,Letisko,48.4557991028,17.5263996124
WT37,Lockwood Dry Coulee,48.36875,-119.616569444444
SKAM,Amalfi,6.91667,-75.0667
61ND,Bakke,47.9474908333333,-97.6620319444445
YMAK,Mabel Creek Station,-28.9416999817,134.3329925537
NVSU,Ulei,-16.3297,168.3011
MDMC,Monte Cristi,19.8652992249,-71.6453018188
K6U7,Hysham,46.2934722222222,-107.193305555556
74XA,Gun Barrel City Airpark,32.3547222222222,-96.1455555555556
SSXO,Pousada das Aguias,-23.2888889313,-52.1291656494
MMGT,Guanajuato,20.9172000885,-101.3339996338
1AL2,Tri-L Acres Airpark,33.2471527777778,-86.5979166666667
SPSS,Masisea,-8.6052780151,-74.304725647
WS69,Log Cabin,44.5749638888889,-91.5471
CO00,Flagler Aerial Spraying Inc,39.2799908333333,-103.066602222222
ETSN,Neuburg,48.7109985352,11.2115001678
CT43,Spruce,41.5937094444444,-71.9311844444445
VG09,Starbase,37.2277777777778,-75.9833333333333
K7K5,Kenmare Municipal,48.6676125,-102.048002777778
YSHN,Shannon River,-34.75,116.483001709
LFRP,Ploermel Loyat,48.0027999878,-2.3772199154
KTRM,Jacqueline Cochran Regional,33.6266705555556,-116.159654444444
K09T,Lazy G Bar Ranch,33.2813206944444,-97.4966933333333
OP31,Kashmor,28.4706001282,69.5990982056
97FL,Love Field,28.9619286111111,-81.8914708333333
KACP,Allen Parish,30.7505086111111,-92.6884908333333
FA50,Wings-N-Wheels,29.3613616666667,-82.1498163888889
WA63,Pleasant Farm,45.5623416666667,-122.256088888889
KY23,Chetek Municipal/Southworth,45.3064875555556,-91.6368230277778
FD71,O'Brien Airpark East/West,30.0483333333333,-82.9838888888889
EGST,Elmsett,52.0772018433,0.9775000215
YYOO,Yalymboo,-31.8033008575,136.8600006104
KH75,Hernando Village Airpark,34.7981544444444,-90.0370358333333
5CO6,La Garita Creek Ranch,37.8115527777778,-106.315272222222
SSBT,Fazenda Santa Ilidia,-22.324300766,-53.0950012207
KBRD,Brainerd Lakes Regional,46.4042222222222,-94.1338055555556
LIMR,Novi Ligure Glider,44.7799987793,8.7863903046
OP16,Khorewah,24.7872009277,68.5571975708
06IL,Humm,41.5995277777778,-88.8699444444444
4NA1,Ring Rock Ranch,48.2427777777778,-103.686388888889
MYAP,Spring Point,22.4417991638,-73.9709014893
NV50,Goldfield,37.7220586111111,-117.236365833333
1KS1,Cochran,38.4589666666667,-95.2264583333333
K84Y,Bloomfield Municipal,42.5797244444444,-97.6736752777778
VYML,Meiktila Air Base,20.8864002228,95.892791748
KDUH,Toledo Suburban,41.735875,-83.6557638888889
SBOI,Oiapoque,3.8554899693,-51.7969017029
SCTH,Tres Chorrillos,-52.525278,-70.723889
SBLS,Lagoa Santa,-19.6616001129,-43.8964004517
PANT,Annette Island,55.0422935833333,-131.570899361111
SKPZ,Paz De Ariporo,5.87615,-71.8866
4TA2,V-Bar,31.74225,-97.3198611111111
OENN,Neom Bay,27.923833,35.293833
ME14,Bald Mountain,44.2306336111111,-69.1230944444444
DTTA,Tunis Carthage International,36.8510017395,10.2271995544
SIJJ,Fazenda Salamanca,-22.8086109161,-55.5333328247
PAPK,Napaskiak,60.7029125,-161.7783075
54FD,Lm-Ets,28.3675,-81.0761111111111
YNAU,Nannup,-34.0332984924,115.733001709
SIXX,Usinas Braco Norte,-9.6583328247,-54.9544448853
SVEK,El Capitan,10.1135997772,-72.5765991211
IL24,Bills Last Resort Rla,39.7075,-89.8830555555555
KRWN,Arens Field,41.0922630555556,-86.6128711111111
KDYR,Dyersburg Regional,35.9979722222222,-89.4065833333333
AYAO,Aiome,-5.145699978,144.7307003
SSWV,Fazenda Barra Grande,-23.590555191,-50.0411109924
LOAT,Trausdorf,47.7999992371,16.5669994354
CJR4,Eston,51.1441993713,-108.7630004883
MMCB,General Mariano Matamoros,18.8348007202,-99.2612991333
CKX5,Dinsmore,51.3306007385,-107.43800354
03ME,Maple Ridge,44.0842372222222,-70.6272827777778
95TA,Thunder Creek,29.6349488888889,-99.4822688888889
KN03,Cortland County/Chase Field,42.5926416666667,-76.2148827777778
91WI,Gottschalk Field,44.2938519444444,-90.0320744444444
WMKK,Kuala Lumpur International,2.745579958,101.7099990845
DIDB,Dabou,5.3513851166,-4.4034576416
SIFU,Fazenda Ribeirao,-22.415555954,-43.7752761841
KT87,Flying C,33.3422222222222,-97.27
30KS,Flugplatz,38.0248375,-97.7339222222222
12CN,Richter Aviation,39.2684055555556,-122.116781944444
SWNW,Fazenda Tuiuiu,-13.7994441986,-55.4550018311
CYAV,Winnipeg / St. Andrews,50.0564002991,-97.0325012207
OINB,Babolsar,36.7200012207,52.6500015259
NE25,Orr Field,41.1815333333333,-100.859998611111
GQNI,Nema,16.6219997406,-7.3165998459
EICS,Castleforbes,53.778301239,-7.8352799416
5OR9,Lone Oaks Ranch,44.7767886111111,-122.760087777778
CAG2,Regina / Aerogate,50.5977310536,-104.601312876
38CN,Sanborn,39.1093372222222,-121.883859166667
80SD,Comstock Field,45.772675,-98.3528944444444
SCUZ,Aerosanta Cruz,-34.6491661072,-71.3861083984
UNNE,Yeltsovka,55.0923995972,83.0045013428
K4F9,La Moure Rott Municipal,46.3472805555556,-98.2814861111111
SJEK,Satelite Aviacao Agricola,-13.5455560684,-52.2638893127
SAVA,Piedra Del Aguila,-40.192199707,-70.0100021362
FMSM,Mananjary,-21.2017993927,48.3582992554
CT15,Wysocki Field,41.9453747222222,-72.477585
KLTY,Liberty County,48.5107222222222,-110.990863888889
KCQF,H L Sonny Callahan,30.4605,-87.8770277777778
85NY,High Acres,42.578395,-78.5200213888889
13NR,Dusenbury Field,36.2975,-80.1616666666667
WAPA,Amahai,-3.3480000496,128.925994873
MHLP,Mapulaca,14.0341672897,-88.6283340454
SWBI,Barreirinha,-2.7924199104,-57.0578994751
SIOU,Fazenda Santa Helena,-18.2980556488,-57.0147209167
GA49,Hamilton Strip,31.2127361111111,-83.6360555555556
XA32,Wolfe Field,30.9114722222222,-97.1712777777778
FVTS,Tsholothso,-19.7670001984,27.7670001984
SVLZ,Las Cruces,8.3288803101,-68.7519989014
OK10,Canadian River Corrientes,35.5393777777778,-98.4301888888889
47NY,Elk Creek,42.045,-77.35
RKRG,G 301,37.5003013611,127.6190032959
WIPK,Pangkal Pinang (Depati Amir),-2.1621999741,106.138999939
MT72,Hedditch,46.3460330555556,-114.176209444444
UKON,Mykolaiv International,47.0578994751,31.9197998047
CYCC,Cornwall Regional,45.0928001404,-74.5633010864
BGGH,Godthaab / Nuuk,64.19090271,-51.6781005859
YBAL,Balladonia,-32.3499984741,123.6179962158
CSS3,Montreal / Les Cedres,45.3474998474,-74.0766983032
FSSB,Bird Island,-3.72472,55.205299
SSRH,Fazenda Retiro do Marimbondo,-20.778055191,-55.9827766418
KAUS,Austin-Bergstrom International,30.1945272222222,-97.6698761111111
YCWR,Cowra,-33.8446998596,148.6490020752
OK48,Rollers,36.1553638888889,-97.8483444444444
SJNV,Fazenda Sao Francisco,-18.431388855,-50.256111145
FCBM,Mouyondzi,-4.0148739815,13.9661121368
23MU,Sean D Sheldon Memorial Airfield,38.0185833333333,-93.6932222222222
EYUT,Utena,55.4900016785,25.7168998718
KPDX,Portland International,45.5887088611111,-122.596869416667
UNIB,Baykit,61.676700592,96.3550033569
KCMY,Sparta/Fort Mc Coy,43.9587161111111,-90.7378413888889
KK11,Sam Riggs Airpark,36.2181666666667,-95.6518888888889
SAVM,Lago Musters,-45.5777777778,-69.0727777778
CEE4,Hinton / Entrance,53.381401062,-117.700996399
EGYP,Mount Pleasant,-51.8227996826,-58.4472007751
XA08,Los Cuernos Ranch,28.1576111111111,-99.0955277777778
ETSF,Furstenfeldbruck,48.2055549622,11.2669439316
GLRB,Roberts International,6.2337899208,-10.3622999191
EPPB,Bednary Airfield,52.5344009399,17.2187995911
12ME,Ridgeview,44.3223277777778,-69.20725
NV27,Circle L Ranch,37.7165966666667,-118.084271944444
K2N2,Newfound Valley,43.5920180555556,-71.7514680555555
YMUI,Murray Island,-9.9166698456,144.0549926758
LEIG,Igualada/Odena,41.5856018066,1.6530599594
SVJH,Juancho,8.1797199249,-63.5960006714
KLSK,Lusk Municipal,42.7538055555556,-104.404555555556
KDKR,Houston County,31.3069722222222,-95.4038333333333
FD72,Kings Port,27.1828266666667,-81.3906288888889
6NJ9,Bridgeport-Cahill Field,39.7917797222222,-75.3746352777778
K72S,Rosalia Municipal,47.2365678333333,-117.421378555556
KSMD,Smith Field,41.1433611111111,-85.1527777777778
KS79,Green Sea,34.1855555555556,-79.0205875
SVMS,Guasimal,7.7166671753,-67.9833297729
WIMM,Polonia International,3.5580599308,98.6716995239
SDCO,Sorocaba,-23.4780006409,-47.4900016785
SNCQ,Cocorobo,-10.5272216797,-39.0330543518
SLCS,Cerdas,-20.8083333333,-66.4011111111
EGDC,Royal Marines Base Chivenor,51.0872001648,-4.1503400803
KS70,Othello Municipal,46.7942222222222,-119.080111111111
34MS,Colle Field,30.4738333333333,-88.6961944444444
90WA,Waldron Airstrip,48.71177,-123.018241944444
SNUL,Fazenda Aurora III,-21.4524993896,-53.3533325195
KXSA,Tappahannock/Essex County,37.8596091666667,-76.8941194444445
RJSF,Fukushima,37.2274017334,140.4309997559
80CA,Bacchi Valley Industries,38.8174008333333,-120.922439444444
PHNL,Daniel K Inouye International,21.3178172222222,-157.9202275
SCLS,Esperanza,-38.5488891602,-72.1458358765
FZGT,Boteka,-0.3170000017,19.0669994354
7TE1,Double D Farms,29.9989722222222,-96.7611388888889
UA34,Chardara,41.2765007019,67.9710006714
EDSK,Kehl-Sundheim,48.5611114502,7.8433327675
85XA,Windmillcreek,33.30955,-97.3111611111111
FALE,King Shaka International,-29.6144444444,31.1197222222
33WA,Franz Ranch,47.0498655555556,-118.851111111111
HLLM,Mitiga,32.8941001892,13.2760000229
SPHO,Coronel FAP Alfredo Mendivil Duarte,-13.154800415,-74.2043991089
EFPH,Pyhoselka,62.4646987915,30.0352993011
KFEP,Albertus,42.2461147222222,-89.5819766666667
RPUK,Calapan,13.4169998169,121.1999969482
28TX,Lehman,34.0859188888889,-99.4550858333333
KICR,Winner Regional,43.3894846666667,-99.8412144166667
OEKM,King Khaled Air Base,18.2973003387,42.8035011292
KRTN,Raton Municipal/Crews Field,36.7424391666667,-104.501726388889
SAVB,El Bolson,-41.9431991577,-71.5323028564
SNTL,Tamboril,-4.8578300476,-40.3745994568
RJSH,Hachinohe,40.5564002991,141.466003418
KEBG,South Texas International At Edinburg,26.4416666666667,-98.1222222222222
9KS4,Rose Port Inc,39.6362611111111,-98.3603277777778
YLMB,Lambrook,-31.1000003815,149.9329986572
CYMO,Moosonee,51.2910995483,-80.6078033447
K4AK,Livengood Camp,65.4672694444444,-148.653747222222
66IN,Oakes Field,39.7875,-85.6369444444445
SNFH,Fazenda Dom Felipe,-22.55917,-55.37583
VEPG,Pasighat,28.0660991669,95.3356018066
UTKN,Namangan,40.9846000671,71.5567016602
OR30,D M Stevenson Ranch,44.0031727777778,-121.271973333333
UHBE,Zeya,53.6904983521,127.0907974243
AK02,Bear Creek 1,65.5398866666667,-161.062377777778
CES2,St-Esprit,45.914399704,-73.6723959446
MHUY,Cucuyagua,14.6269435883,-88.8763885498
UAFE,Kerben,41.484500885,71.7337036133
SBPJ,Brigadeiro Lysias Rodrigues,-10.2915000916,-48.3569984436
LGIO,Ioannina,39.6963996887,20.8225002289
85KS,Sanders,39.3007444444444,-95.2151152777778
K52I,Gross,43.8468388888889,-84.0127944444444
YGDR,The Garden,-23.286699295,134.4400024414
EDMH,Gunzenhausen-Reutberg,49.1119422913,10.7808332443
K79D,Philippi/Barbour County Regional,39.1661902777778,-80.0623486111111
58IA,Diewold,40.8739833333333,-91.1633
K95E,Stallion Army Air Field,33.8189563888889,-106.645014166667
0MT9,Lone Hawk,48.4833333333333,-114.4925
ME69,Cliffords,44.0689641666667,-70.0644969444444
CZGI,Gods River,54.8396987915,-94.0785980225
CL56,Ranchaero,39.71952125,-121.870495416667
YCDE,Cobden,-38.326666,143.056666
39OK,Paradise Air Haven,35.1114833333333,-97.4792527777778
MNBR,Los Brasiles,12.1899995804,-86.3538970947
9TE7,Flying G H Ranch,30.2452777777778,-97.0827777777778
LILR,Cremona / Migliaro,45.1674003601,10.0018997192
K9I0,Havana Regional,40.2226930555556,-90.0227819444444
K3X5,North Bass Island,41.718,-82.8211111111111
SNRV,Fazenda Rio Vermelho,-6.8827781677,-49.4638900757
LLET,Eilat,29.5613002777,34.9600982666
67OK,Flying J Ranch,36.0331494444444,-95.0780141666667
UAFG,Cholpon-Ata,42.6537017822,77.0567016602
CAV6,Beausejour/Av-Ranch Airpark,50.041111,-96.585833
OP37,Pano Aqil Southeast,27.8131008148,69.167098999
TE88,Bb Airpark,29.3569416666667,-95.4594027777778
WBGT,Tanjung Manis,2.1778399944,111.202003479
SJVM,Estancia California,-9.8919439316,-56.1294441223
FL00,Griffins Peace River Ranch,27.41893,-81.8325825
SWCH,Fazenda Charqueada Norte,-10.0002784729,-57.0672225952
52TS,Fall Creek Air Ranch,30.41853,-98.1627947222222
SNWN,Fazenda Alianca,-16.668056488,-54.3858337402
NTKF,Faaite,-16.6867008209,-145.328994751
CSF3,Poste Montagnais (Mile 134),51.8885993958,-65.7149963379
88ND,Goodman Strip,48.7088825,-97.9939897222222
RJFG,New Tanegashima,30.6051006317,130.9909973145
PHMU,Waimea-Kohala,20.0013269444444,-155.668107222222
CEG2,Acme,51.456401825,-113.5149993896
YAMT,Amata,-26.1082992554,131.2070007324
XA89,Faith Ranch,28.2085555555556,-100.018805555556
KBFD,Bradford Regional,41.8029543333333,-78.6399659722222
OPPN,Pishin,30.5562000275,66.985496521
LFDK,Soulac Sur Mer,45.4949989319,-1.0822199583
WI47,Timberline,44.4333111111111,-89.1501122222222
FVRE,Renroc,-16.966999054,29.5669994354
KOWA,Owatonna Degner Regional,44.1229518055556,-93.2588264166667
EDEG,Gotha-Ost,50.9700012207,10.7277784348
ETME,Eggebeck Air Base,54.6248016357,9.3459997177
VYPT,Putao,27.3299007416,97.4263000488
SWOM,Fazenda Salto Bello II,-14.9611110687,-53.4880561829
KLCK,Rickenbacker International,39.8137777777778,-82.9278055555556
SPLC,Mariano Melgar,-16.7915000916,-71.8865966797
